name,category,street,contact,state,township
Thet Thet Oo,Umbrellas,"Rm 21, 2nd Flr, Shwe Mingalar Market,","tel: 09-5144054,tel: 09-262609900,tel: 09-8633513,tel: 09-974733300",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
Yè Thiha,Umbrellas,"58, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone (2),",tel: 01-685837,Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
Win Pwint Khaing,Umbrellas,"Rm 443, Shwe Mingalar Market, Car Pat Lan,","tel: 09-265625108,tel: 09-257675151",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
Thet Mu [Daw],Umbrellas,"77, Nga Moe Yeik 10th St., Nga Moe Yeik Ward,",tel: 09-8629311,Yangon Region,Thingangyun(Thingangyun)
Win Thit Heiw,Umbrellas,"144/146, Anawrahta Rd.,","tel: 01-370776,tel: 09-73082455",Yangon Region,Kyauktada(Kyauktada)
Yadanar Tun,Umbrellas,"Rm 1/2/4/5, Upper Pazundaung Rd., Kyi Taw Ward,","tel: 09-965164533,tel: 09-972443333,tel: 09-5164533,tel: 09-73177143,tel: 01-577578 [Res]",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
Yaung Chi Oo,Water Pipes & Accessories,"828, Tapin Shwe Htee St., Corner of Har Khar St., Near Kyauk Lan Sone Bus Stop, Ward (7),",tel: 09-73131671,Yangon Region,East Dagon(East Dagon)
Zin Yaw Ni,Water Pipes & Accessories,"8/6 Shed, Rm D, Shwe Wah St., Sawbwargyi Gone Warehouse Complex,","tel: 01-647853,tel: 09-5090073,tel: 09-785090073",Yangon Region,Insein(Insein)
Tun Tauk Kyal,Press & Printers [Offset],"160, 34th St., Upper Middle Block,","tel: 09-43157216,tel: 09-797931926,tel: 09-428029021",Yangon Region,Kyauktada(Kyauktada)
Tokyo Pipe,Water Pipes & Accessories,"11 Shed, Rm 5/6, Pearl 6th St., Sawbwargyi Gone Warehouses,","tel: 01-642192,tel: 09-5013395",Yangon Region,Insein(Insein)
TAC Water Engineering Enterprise,,"31/32,  Phawkan,  San Thit Oo (2) St,","tel: 09-5136377,tel: 01-645705,tel: 09-30222054",Insein,
Win Pwint Khaing,Umbrellas,"Rm 382/383/364/365,2nd Flr,Mingalar Market","tel: 01-298797,tel: 09-792881179,tel: 09-792881129,tel: 09-792881128",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
Wah Wah Khaing [Daw],Umbrellas,"769, Kar Ya 12th St., Kaya Ward,",tel: 09-43197506,Yangon Region,Mingalardon(Mingalardon)
Strength Company Limited.,,"19/A, Airport Avenue Rd.,","tel: 09-5129283,tel: 01-666925",Insein,
Tech Talk,Water Treatment Systems,"340, Bldg B-212, 7th St., Yangon Industrial Zone,","tel: 09-262934469,tel: 09-260337263",Yangon Region,Mingalardon(Mingalardon)
Yaung Chi Thit,Water Pipes & Accessories,"4/3 Shed, Rm D, Padamyar St., Sawbwargyi Gone Warehouses,","tel: 01-643948,tel: 09-5167143,tel: 09-43028169,tel: 09-5148352,tel: 01-253602,tel: 01-646313",Yangon Region,Insein(Insein)
Pentair,,"4006/B,3rd Flr, Taw Win Centre,",tel: 09-73037772,Dagon,
Yangon Pipe,Water Pipes & Accessories,"35, No.(3) Main Rd., Pyinmabin Industrial Zone,","tel: 01-296331,tel: 01-708625,tel: 09-254049326",Yangon Region,Mingalardon(Mingalardon)
"Win, Than, Htay, Min Co.,Ltd.",Water Pipes & Accessories,"78, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone (2),","tel: 01-684844,tel: 01-684990,tel: 01-685841,tel: 01-685842,tel: 09-73029916",Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
"MJ Co.,Ltd (Daito Filtration Legal Business Opearation)",,"62, 2nd Flr, Marlar Myaing 4th St., Ward (16),","tel: 09-799903951,tel: 09-796613090,tel: 09-448046044",Hlaing,ဒုတိယထပ္၊ မာလာျမိဳင္(၄)လမ္း၊ (၁၆)ရပ္ကြက္၊
NEW TON,,"17, 22 St., Between 81 St. and 82 St.,","tel: 02-68354,tel: 02-35569",Aung Myay Thar Zan,၂၂လမ္း၊ ၈၁လမ္း ႏွင့္ ၈၂လမ္း ၾကား၊
"Myanmar Water Engineering And Products Co., Ltd.(M.W.E.P)",,"15, Thu Mingalar 1st St., Thu Mingalar Housing,","tel: 01-571694,tel: 01-8564547",Thingangyun,အမွတ္ ၁၅၊ သုမဂၤလာ(၁)လမ္း၊ သုမဂၤလာအိမ္ရာ၊
"M.K.A Shwe Myanmar Co.,Ltd",,"217, Rm 8, Bo Soon Pat St.,","tel: 09-5142400,tel: 09-421016268,tel: 01-246588",Pabedan,
"Swe Zin May Co., Ltd.",,"836, Maha Bandoola Rd., Between Lan Thit St. and 9th St.,","tel: 01-2303088,tel: 09-421142266",Lanmadaw,အမွတ္ ၈၃၆၊ မဟာဗႏၶဳလလမ္း၊ လမ္းသစ္လမ္း ႏွင့္ (၉)လမ္း ၾကား၊
Win,Water Pipes & Accessories,"Bldg 215, Rm 2, Yan Aung St., Ward (2),",tel: 09-43206700,Yangon Region,Yankin(Yankin)
"Win Than Htay Min Co.,Ltd.",Water Pipes & Accessories,"98, Yaw Ah Twin Wun U Pho Hlaing St., Shwe Linban Industrial Zone,","tel: 01-613514,tel: 01-613640,tel: 01-613786,tel: 01-684990,tel: 09-255829072",Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
Tun Tun [U],Water Pipes & Accessories,"136,Lanmadaw St.,Upper Block",,Yangon,Lanmadaw(Lanmadaw)
Win Tun [Ko],Water Pipes & Accessories,"D/1/38, Zaung Tu St., Industrial Zone (3),",tel: 09-5168456,Yangon Region,South Dagon(South Dagon)
Ko Ko Aung [U],Foodstuffs,"448, Than Lwin St., Industrial Zone(2),","tel: 09-43104900,tel: 09-5081221,tel: 09-8613652",Yangon Region,South Dagon(South Dagon)
"Jet Mega Co.,Ltd.",Wafers [Manu/Dist],"60, Mya Taung Wun Gyi U Hmo St., Industrial Zone (3),","tel: 01-618105,tel: 01-618576",Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar)
Diamond Wafer,Wafers [Manu/Dist],"89, Hledan St., Middle Block,","tel: 01-225254,tel: 09-254112286",Yangon Region,Lanmadaw(Lanmadaw)
Tun Yadanar Myat,Umbrellas,"2 Shed, Rm 136, New Bogyoke Aung San Market,","tel: 09-43055339,tel: 01-380974 [Res]",Yangon Region,Pabedan(Pabedan)
Two Elephant M.S Pipe Production,Water Pipes & Accessories,"116, Bayint Naung Rd., Industrial Zone (4),","tel: 09-5167658,tel: 01-618732,tel: 01-618733,tel: 01-8627638",Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar)
"Brands & Fashion Co.,Ltd.",Wafers [Manu/Dist],"79/B/1/B/2, Shwe Gon Daing Rd., Near S.S.C Hospital, Shwe Gon Daing (East) Ward,","tel: 01-558989,tel: 01-401284,tel: 01-401280,tel: 01-559403~6",Yangon Region,Bahan(Bahan)
Value Myanmar,Umbrellas,"Karaweik Garden Recreation Zone,",tel: 09-5032623,Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
Kone Baung Health Centre,Clinics [Special],"303/A, Shwe Bon Tha St., Upper Block,","tel: 01-241074,tel: 01-383609",Yangon Region,Pabedan(Pabedan)
999,Electrical Goods Sales,"958, Bo Aung Kyaw St., Near Bo Aung Kyaw Housing, Ward (7),",tel: 09-789441662,Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
May Khalar,Clinics [Private],"323/327, Shwe Bon Tha St., Upper Block,","tel: 01-375222,tel: 01-387721",Yangon Region,Pabedan(Pabedan)
Aye Khaing [Ma],Fashion Shops,"East B Shed, Rm 697, Bogyoke Aung San Market,",tel: 09-254178453,Yangon Region,Pabedan(Pabedan)
96,Electrical Goods Sales,"691, Sittaung St., Industrial Zone (2),","tel: 01-242285,tel: 09-31031534,tel: 09-73189179,tel: 09-30001904,tel: 09-30001905",Yangon Region,South Dagon(South Dagon)
75,Electrical Goods Sales,"75,6th St.,Upper Block",tel: 09-5194782,Yangon Region,Lanmadaw(Lanmadaw)
7 Star,Electrical Goods Sales,"39/A, 123th St., Tha Pyay Gone Ward,","tel: 09-420307034,tel: 09-420307035",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
7 Stars,Electrical Goods Sales,"449/B, New University Avenue Rd., Saya San Ward,","tel: 01-541417,tel: 09-5193041",Yangon Region,Bahan(Bahan)
Gold Golf,Plastic Shopping Bags [Manu/Dist],"21, Kanaung Min Thar Gyi St., Shwe Pauk Kan Industrial Zone,","tel: 01-695278,tel: 09-5006678,tel: 09-73089220",Yangon Region,North Okkalapa (North Okkalapa )
Kang Kang Jelly,Jellies,"41, Bagan Rd., Shwe Pauk Kan Industrial Zone,","tel: 01-695045,tel: 01-695514,tel: 01-651876",Yangon Region,North Okkalapa (North Okkalapa )
9 Star,Electrical Goods Sales,"Bldg 2/B, Rm 199, Phan Chet Set St., Muditar Housing (2),","tel: 09-73100372,tel: 09-262328710",Yangon Region,Insein(Insein)
Shwe Hlay,Food Stalls,"75, Yarza Thin Gyan St., East Dagon Industrial Zone (2),","tel: 09-421100707,tel: 09-73119270",Yangon Region,South Dagon(South Dagon)
K.T Sun Moon Star,,"22/A, G Flr, Kamar Kyi Rd., Thuwunna,","tel: 09-783166177,tel: 09-783155166,tel: 09-783177188",Thingangyun,အမွတ္ ၂၂/A၊ ေျမညီထပ္၊ ကမာၾကည္လမ္း၊ သု၀႑၊
Tomo Food Mfg Group,Snacks,"471, Inntaw St., Industrial Zone (2),","tel: 09-5132772,tel: 09-5075225",Yangon Region,South Dagon(South Dagon)
"POLARIS International Co., Ltd.",Water Treatment Systems,"951, Kone Myint Thar Yar St., Corner of Aye Theiddi St., Near High Park Bus Stop,","tel: 09-260603060,tel: 09-254636360,tel: 09-786808010",Yangon Region,Insein(Insein)
"KMT Engineering Co., Ltd.",,"Rm 4, Bldg 1, Kyan Sit Thar St., Aung Myay Thar Yar Shop House,","tel: 09-421106468,tel: 09-420712716,tel: 09-421079375",Hlaing Thar Yar,အခန္း ၄၊ တိုက္ ၁၊ က်န္စစ္သားလမ္း၊ ေအာင္ေျမသာယာအိမ္ဆိုင္၊
Aqua Land,,"H9/10,Lay Daunt Kan Rd., May Kha Housing,","tel: 01-8566609,tel: 01-8566621",Thingangyun,
Mahar Ayeyar Company Limited,,"95, Shwe Taung Dan St.,","tel: 09-5176345,tel: 09-73176600",Lanmadaw,
5 Star,Electrical Goods Sales,"363/D, Kyaikkasan Rd., Near Mega Ace [Shwe Baho Cineplex], Tarmway Gyee (Kha) Ward,","tel: 09-5417956,tel: 09-785417956,tel: 01-546369",Yangon Region,Tarmwe(Tarmwe)
CAG Engineering Company Limited,,"38/A, 3rd Flr, Moe Kaung Rd., Ward (13),","tel: 09-257070200,tel: 09-257070300,tel: 09-257070400",Yankin,အမွတ္ ၃၈/A၊ တတိယထပ္၊ မိုးေကာင္းလမ္း၊ (၁၃)ရပ္ကြက္၊
"Asia Face Trading  Co., Ltd.(Double M)",,"SA30,Rm 004,Lay Daunt Kan Rd.,  Tarmway Lay Ward","tel: 09-421176448,tel: 09-5173853",Tarmwe,
"AMW Co., Ltd.",,"541, Thu Dhamar Rd.,","tel: 09-73252597,tel: 09-49209007,tel: 09-425020855",North Okkalapa,အမွတ္ ၅၄၁၊ သုဓမၼာလမ္း၊
47,Electric Motors & Dynamo Sales & Repair,"47/D, Yangon-Insein Rd., Near Butar Yon St. Bus Stop, Ward (9),","tel: 09-73102073,tel: 09-261642868,tel: 09-31067657,tel: 09-253536806",Yangon Region,Hlaing(Hlaing)
Zaw Win [U],Wafers [Manu/Dist],"862/863, Chaung Thar St., Industrial Zone (2),","tel: 09-450048931,tel: 09-5066900",Yangon Region,South Dagon(South Dagon)
"Win Food Co.,Ltd",Wafers [Manu/Dist],"6, Anawrahta Rd., Ward (20),","tel: 01-9648114,tel: 01-9648115",Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
Three Prawns,Wafers [Manu/Dist],"102/103, Loikaw St., Industrial Zone (1),","tel: 01-590406,tel: 01-591062,tel: 01-595149,tel: 01-686062~30",Yangon Region,South Dagon(South Dagon)
Annawah Min,Wafers [Manu/Dist],"238,Than Lwin St.,Industrial Zone (2)","tel: 09-5192060,tel: 09-73100448,tel: 09-8620231",Yangon,South Dagon(South Dagon)
999,Air Compressor Sales & Manufacturers,"10, Yangon-Insein Rd., Ward (13),","tel: 09-5104675,tel: 09-73059673,tel: 01-521369,tel: 01-519549,tel: 01-519333,tel: 01-521999",Yangon Region,Hlaing(Hlaing)
Aye Aye Naing [Ma],Coconuts & Bananas,"46, Melzi Gone St., Ward (7),","tel: 01-536990,tel: 09-254233613",Yangon Region,Hlaing(Hlaing)
Aung Pann Thee,Longyis,"B Shed, Rm 395, Thein Gyi Market,","tel: 09-5105968,tel: 01-370622,tel: 01-394866 [Res]",Yangon Region,Pabedan(Pabedan)
Royal Star,,"44, Thamadeikhti St., Ma Hlwa Gone Htay Kywe Ward,","tel: 09-73143774,tel: 09-32337507",Tarmwe,အမွတ္ ၄၄၊ သမာဒိဌိလမ္း၊ မလႊကုန္းေဌးႂကြယ္ရပ္ကြက္၊
Aye Chan Moe [Academy],Fashion Shops,"554/555, Bogyoke Aung San St., Ward (5),","tel: 09-5073945,tel: 09-73008001",Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
"My Moon Co.,Ltd.",Foodstuffs,"453/238, Than Lwin St., Industrial Zone (2),","tel: 09-448037052,tel: 09-73117718,tel: 09-450038833",Yangon Region,South Dagon(South Dagon)
Zawtika,Umbrellas,"754,Net Mauk St.,Ward (55)",tel: 09-790138827,Yangon Region,South Dagon(South Dagon)
"Fountain of Youth Co., Ltd.",,"42, San Chaung St.,","tel: 09-49230980,tel: 09-798290677",Sanchaung,အမွတ္ ၄၂၊ စမ္းေခ်ာင္းလမ္း၊
RUBY,,"Rm 7, Bldg 10, 1st Flr, Yuzana St., Near Yuzana Plaza,","tel: 09-970817555,tel: 09-5012686",Tarmwe,
Global Lotus Limited,,"D-17 & 18, Thu Dhamar Rd., Thiri Yadanar Retail/Wholesale Market,","tel: 09-450066870,tel: 09-250666266",North Okkalapa,အမွတ္ D-၁၇ & ၁၈၊ သုဓမၼာလမ္း၊ သီရိရတနာလက္လီ/လက္ကားေဈး၊
Strong Force(Forbes Water Purifier),,"275/A,Rm 1,G Flr,Yankin Rd.,Infront Of Golden City,","tel: 09-420169982,tel: 09-775008070",Yankin,
"Can-Hui Water Treatment Co., Ltd.",,"Rm 69, Bldg M, Thiri Yadanar Retail/Wholesale Market,","tel: 09-977135999,tel: 09-776451056",North Okkalapa,
"J & W Holding Co., Ltd. (Waterlaylay)",,"23, Rm 6/A, 6th Flr, Htan Ta Pin St.,","tel: 09-448008037,tel: 09-253676220,tel: 09-253676221",Kamayut,
"A & H Development Co.,Ltd.",,"49, 5th Flr, Moe Sandar St., Ward (1),","tel: 09-254298826,tel: 09-261009301",Kamayut,အမွတ္ ၄၉၊ ၅ထပ္၊ မိုးစႏၵာလမ္း၊ (၁)ရပ္ကြက္၊
Asia Water Treatment,,"Rm 2, Bldg 4/1,  Shwe Ohn Pin Housing,  (4),","tel: 01-8605073,tel: 09-5048295",Yankin,
Ichiryu,,"746/747, 1st Flr, Kyaung St., Hanthar Yeik Mon Housing,","tel: 09-420255108,tel: 09-972854305,tel: 09-73197613",Kamayut,
"Yonno Trading Co.,Ltd.",Umbrellas,"Rm S-24, G Flr, Yuzana Plaza,","tel: 09-5260833,tel: 09-975787833",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
1221,Mobile Phones & Accessories,"803, Bagan Rd., Shwe Paukkan Ward (12),","tel: 09-43125999,tel: 09-790216612",Yangon Region,North Okkalapa (North Okkalapa )
Apex Water,,"1932, Myit Nge 9th St., Shwe Kyar Pin Ward,","tel: 09-401593593,tel: 09-43043956",Zabu Thiri,အမွတ္ ၁၉၃၂၊ ျမစ္ငယ္(၉)လမ္း၊ ေရႊၾကာပင္ရပ္ကြက္၊
3.T.Tun Tun,Real Estate Agents,"84, Lan Thit St., Lower Block,",tel: 09-73137041,Yangon Region,Lanmadaw(Lanmadaw)
"Yonno Trading Co.,Ltd.",Umbrellas,"52, Sabei Phyu St., Ward (30),","tel: 09-975787833,tel: 09-5174802,tel: 01-8550194,tel: 09-5260833,tel: 09-448009466",Yangon Region,Thingangyun(Thingangyun)
Yè [Ko] + Yu [Ma],Umbrellas,"Rm 775/776,2nd Flr,Mingalar Market","tel: 01-381474 [Res],tel: 09-5061137,tel: 09-73130015",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
Yi Yi Oo [Ma],Umbrellas,"1061, Pyi Taw Thar St., Ward (65),",tel: 09-260020965,Yangon Region,South Dagon(South Dagon)
Ah Shay Gyi,Car Wiring,"82, Yangon-Insein Rd., Ward (2),","tel: 09-73194021,tel: 09-420043842",Yangon Region,Mayangone(Mayangone)
Kaung Htet Thar,X-ray & Ultrasound Clinics,"432/444, Rm 17, 2nd Flr, Shwe Bon Tha St., Upper Block,","tel: 01-380429,tel: 09-5153738,tel: 09-5404042",Yangon Region,Pabedan(Pabedan)
"Int'l Marine Centre Medical Yangon, Myanmar",Clinics [Private],"17/1, Kyun Taw Rd., Kyun Taw (South) Ward,",tel: 01-524299,Yangon Region,Sanchaung(Sanchaung)
Ah Mae Thar,Electrical Goods Sales,"22, Bo Min Yaung Rd., Near Gate Haung, Ward (43),",tel: 09-450035018,Yangon Region,North Dagon(North Dagon)
Ah Lin Yaung,Car Engine Repair,"17 Shed,Rm 21,Bayint Naung Market","tel: 09-31284914,tel: 09-31281914",Yangon,Mayangone(Mayangone)
Ah Lin Yaung [U Maung Ngwe & Sons],Electrical Goods Sales,"34, Myay Ni Gone Zay St., Myae Ni Gone (North) Ward,","tel: 09-5402433,tel: 01-516562 [Res],tel: 09-5076307",Yangon Region,Sanchaung(Sanchaung)
"Accellence Myanmar Co.,Ltd.",Export & Import Companies,"38/A, 1st Flr, Ohn Pin St., Zay Gyi (East) Ward,","tel: 09-795259504,tel: 09-795304720",Yangon Region,Kyeemyin Daing(Kyeemyin Daing)
AAA,Air Compressor Sales & Manufacturers,"646, Yangon-Insein Rd., Ward (12),","tel: 09-5149882,tel: 09-73085695",Yangon Region,Hlaing(Hlaing)
Ah Thay Lay,Generators & Transformers Sales/Services & Rental,"8, Baho Rd. (Lower), Corner of Mya Yadanar St.,Ward (2),",tel: 09-421054453,Yangon Region,Mayangone(Mayangone)
999,Building Materials,"51, G Flr, 54th St., Upper Middle Block,","tel: 09-73102569,tel: 09-250277376,tel: 09-73125008",Yangon Region,Pazundaung(Pazundaung)
Ah Lin Yaung,Electrical Goods Sales,"274, Kyaikkasan Rd., Ma Hlwa Gone Htay Kywe Ward,",tel: 09-43040462,Yangon Region,Tarmwe(Tarmwe)
"Amigo's Int'l Co., Ltd.",Water Treatment Systems,"SH-B5 (4), Yadanar Rd., Malikha Housing, 14/Bawamyint Quarter,","tel: 09-5025972,tel: 09-73087709",Yangon Region,Thingangyun(Thingangyun)
Ah Lin Thit,Electrical Goods Sales,"10/472, Zar Wai Yar St., (Nga/Ka) Ward,","tel: 09-5157447,tel: 09-259629798",Yangon Region,Thingangyun(Thingangyun)
"Accellence Myanmar Co.,Ltd.",Water Treatment Systems,"38/A, Ohn Pin St.,",,Yangon Region,Kyeemyin Daing(Kyeemyin Daing)
"Law Ka Thit Family Co., Ltd.",,"284, G Flr, 11th St., Thamaing, Ward (1),",tel: 09-960100065,Mayangone,အမွတ္ ၂၈၄၊ ေျမညီထပ္၊ (၁၁)လမ္း၊ (၁)ရပ္ကြက္၊
Pure Show Room,,"205/B, Bo Soon Pat St.,","tel: 09-73362266,tel: 01-381969",Pabedan,
Play Young,,"3, G Flr, Maha Zeya St., Ward (7),",tel: 09-786258065,Pazundaung,
"Aquatornics Engineering Co., Ltd.",Water Treatment Systems,"100, Set Hmu 3rd St., Myittar Nyunt Ward,","tel: 09-456337840,tel: 09-788242208",Yangon Region,Tarmwe(Tarmwe)
Amd,,"20/A, Ywar Lel St.,","tel: 09-73176248,tel: 01-565797",Thingangyun,
"Home Medicare Service [Global Service Interlink Co.,Ltd.] [G.S.I]",Clinics [Private],"30, Shwe Taung Dan St., Lower Block,","tel: 01-225791,tel: 09-5029486,tel: 09-791973571,tel: 09-73144525,tel: 09-421055085",Yangon Region,Lanmadaw(Lanmadaw)
ENT,Clinics [Private],"D Shed, 4th Flr, Thein Gyi Market,",tel: 01-240600 Ext.4497,Yangon Region,Latha(Latha)
GEC,Electrical Goods Sales,"C Shed, Rm O/35, G Flr, Thein Gyi Market,","tel: 09-31069184,tel: 01-382893 [Office]",Yangon Region,Pabedan(Pabedan)
Ei Ei,Shoe Shops,"C Shed, Rm O/27, G Flr, Thein Gyi Market,","tel: 01-371800 Ext.333,tel: 09-5057088",Yangon Region,Pabedan(Pabedan)
Htet Asia,Clinics [Special],"341, Shwe Bon Tha St., Upper Block,","tel: 01-374735,tel: 01-242471",Yangon Region,Pabedan(Pabedan)
City Point,Fashion Shops,"385,Shwe Gon Daing Rd.,Near Tarmway Roundabout,Bo Sein Hman Ward","tel: 09-5032570,tel: 09-420014744",Yangon Region,Bahan(Bahan)
"Salika Trading Co., Ltd.",,"12, Yadanar St.,  Kyaikkasan Ward","tel: 09-43096480,tel: 09-73175875",Bahan,
"Creation Strength Co.,Ltd.",Export & Import Companies,"19/B, Parami Rd., Ward (5),","tel: 09-421116000,tel: 09-43089323,tel: 09-5093999,tel: 09-450055777",Yangon Region,South Okkalapa (South Okkalapa )
Cho,Fashion Shops,"353, Thudat Thana St., Corner of Pyi Tharyar St.,16/3 Ward,",tel: 09-420299984,Yangon Region,Thingangyun(Thingangyun)
Eaiksitan,Batteries & Accessories Sales,"Bldg 2, Rm 005, G Flr, Lower Kyee Myin Daing Rd., Golden Butterfly Housing,","tel: 09-425028999,tel: 09-5151668,tel: 01-228005,tel: 01-504295",Yangon Region,Kyeemyin Daing(Kyeemyin Daing)
Arr Thit,Concrete Products,"489/B, Min Ye Kyaw Swar Rd., Ward (133),","tel: 09-5038785,tel: 09-73110209",Yangon Region,East Dagon(East Dagon)
"Aqua Comrade Engineering Co.,Ltd.",Pipes & Pumps Accessories,"Bldg A, Tharyar Aye Lane (1), Thamaing, Ward (3),","tel: 01-522996,tel: 09-261113842,tel: 09-73164011",Yangon Region,Mayangone(Mayangone)
Annawah Tun,Electrical Goods Sales,"37, Baho Rd. (Lower), Corner of Bawga Theiddi St.,Near Thamaing Myoe Thit Butar, Ward (2),","tel: 01-522954,tel: 09-8616307,tel: 09-421167642",Yangon Region,Mayangone(Mayangone)
Annawah,Pipes & Pumps Accessories,"6 Shed, Rm 9, Pearl 5th St., Sawbwargyi Gone Warehouses,","tel: 01-655080,tel: 09-5125345,tel: 09-5006153,tel: 09-31042551,tel: 09-250559994",Yangon Region,Insein(Insein)
Arr Mhan,Well Drillers,"537, Khay Mar Thi Rd., Ga Gyi Ward,","tel: 09-450026413,tel: 09-73089722",Yangon Region,North Okkalapa (North Okkalapa )
Ai Ko,Electrical Goods Sales,"109, Anawrahta Rd.,",tel: 01-296910,Yangon Region,Pazundaung(Pazundaung)
AM,Electronic & Electrical Home Appliance,"124, Bawdi St., Pein Nel Gone Ward,",tel: 09-786665894,Yangon Region,Insein(Insein)
Ahli,Bathroom & Toilet Accessories,"85 Shed, Rm 6, Nilar 9th St., Sawbwargyi Gone Warehouses,","tel: 01-644901,tel: 01-644902,tel: 01-644975",Yangon Region,Insein(Insein)
Cho,Rice Merchants,"141, Zizawa St., Ward (2),","tel: 01-652970,tel: 09-450011552",Yangon Region,North Okkalapa (North Okkalapa )
Ei [Ma],Fancy Stores,"1006, Aung Theiddi St., Phawh Kan Ward,",tel: 09-31765605,Yangon Region,Insein(Insein)
Arrow Trade Int'l Ltd.,Export & Import Companies,"161, Bo Soon Pat St., Upper Middle Block,","tel: 01-245819,tel: 01-374586,tel: 09-5137608~9,tel: 09-5134909,tel: 09-5170753",Yangon Region,Pabedan(Pabedan)
30th Street Clinic,Clinics [Special],"295, Bo Soon Pat St., Upper Block,","tel: 01-371611~12,tel: 01-248107,tel: 01-387710",Yangon Region,Pabedan(Pabedan)
Cherry Pann,Bedroom Accessories,"Bldg 10, Rm 002, Cherry Lane., Kyan Sit Thar Housing,","tel: 09-5202337,tel: 09-785202337",Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
Aung,Clinics [Private],"749, Maha Bandoola Rd.,","tel: 01-226318,tel: 09-73077423",Yangon Region,Lanmadaw(Lanmadaw)
Bo Aung Kyaw,Clinics [Private],"106/B, Bo Aung Kyaw St., Lower Block,","tel: 09-448021641,tel: 09-789489747",Yangon Region,Botahtaung(Botahtaung)
AMW [Water Treatment Engineering],Water Treatment Systems,"541,Thu Dhamar Rd.,Za Gwel Ward","tel: 09-423741445,tel: 09-73252597,tel: 09-49209007,tel: 09-425020855,tel: 09-250876633",Yangon Region,North Okkalapa (North Okkalapa )
Kant Kaw Oo,Fashion Shops,"4/B, Shwe Zayti St., Kone Ta La Paung Bus Stop, Kone Ta La Paung,","tel: 09-790134886,tel: 09-5103706",Yangon Region,Mingalardon(Mingalardon)
Chan Thar,Fashion Shops,"294/A, Ta Pin Shwe Htee St., Ward (1),",tel: 09-420014377,Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
Htarwara,Toy Shops,"186, May Darwi Rd., Ga Gyi Ward,","tel: 09-792446929,tel: 09-782883823",Yangon Region,North Okkalapa (North Okkalapa )
HHA Metal Production,Glass Plates & Mirrors,"112/113, Pan Laung St., Industrial Zone (2),","tel: 01-590019,tel: 09-73007144,tel: 01-549896,tel: 09-5003784,tel: 09-420124393",Yangon Region,South Dagon(South Dagon)
Thidar Min,Clinics [Private],"398, Shwe Bon Tha St., Upper Block,",tel: 01-246422,Yangon Region,Pabedan(Pabedan)
"Hein Myanmar Co.,Ltd.",Export & Import Companies,"167, Set Hmu 3rd St., Myittar Nyunt Ward,","tel: 01-540214,tel: 09-5101167,tel: 01-8604324,tel: 09-5101168",Yangon Region,Tarmwe(Tarmwe)
Ingyin Pan,Fashion Shops,"38, Aung Zeya St., Corner of Aung Mingalar St.,Ward (4-North),","tel: 09-254450631,tel: 09-73159843",Yangon Region,Thaketa(Thaketa)
"Aung Gabar Co.,Ltd.",Fertilizers,"101, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone (1),","tel: 09-5035999,tel: 01-682763,tel: 01-684342,tel: 01-684346,tel: 01-701513",Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
JOY,Longyis,"286, Kyaikkasan Rd., Ma Hlwa Gone Htay Kywe Ward,","tel: 01-546141,tel: 01-543555,tel: 01-430175,tel: 09-5067099",Yangon Region,Tarmwe(Tarmwe)
Golden Family,Men's Wear Shops,"Bldg 1, C Shed, Rm 14, G Flr, Thein Gyi Market,","tel: 09-5044190,tel: 01-242899,tel: 09-73020877,tel: 09-31066331",Yangon Region,Pabedan(Pabedan)
Ingyin,Fashion Shops,"367, Padauk St., Die Su Village,",tel: 09-73008125,Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
"Golden Five Trading Co.,Ltd.",Export & Import Companies,"3rd Flr, Thiri Mingalar Old Market,","tel: 01-212355,tel: 01-212202",Yangon Region,Kyeemyin Daing(Kyeemyin Daing)
Aung Aung,Electrical Goods Sales,"875/A, Shukhin Thar Rd., Near Dhamar Yone Bus Stop, Ward (10-South),","tel: 09-73065906,tel: 09-43043287",Yangon Region,Thaketa(Thaketa)
