contact,name,category,township,street,state
"tel: 09-428194344,tel: 09-250500832,tel: 09-787004940",Wai Hlyan Phyo,Press & Printers [Offset],Kyauktada(Kyauktada),"172, 34th St., Upper Block,",Yangon Region
"tel: 09-425011461,tel: 09-450062125,tel: 09-420288034,tel: 09-401523718",Grown Fashion,Tailors,North Okkalapa (North Okkalapa ),"475, Eindar 4th St., Za Gwel Ward,",Yangon Region
"tel: 09-261692868,tel: 09-794456365",Yè Yint,Dyeing & Printing Textiles,Pabedan(Pabedan),"138, 32nd St., Upper Middle Block,",Yangon Region
"tel: 01-240143,tel: 01-246302,tel: 01-381929,tel: 01-376826,tel: 01-377016,tel: 01-705811","Wai Lwin Oo Enterprises Co.,Ltd.",Export & Import Companies,Pabedan(Pabedan),"104, 1st Flr, Kon Zay Dan St., Lower Middle Block,",Yangon Region
"tel: 01-538722,tel: 09-73032658,tel: 09-31958364,tel: 09-5040276,tel: 09-49245751,tel: 09-5016051",Zillion,Vinyl Printing,Sanchaung(Sanchaung),"77, G Flr, Dhamar Yon St., Myae Ni Gone (North) Ward,",Yangon Region
"tel: 09-5144911,tel: 09-796181127",Green Fashion,Tailors,Kyeemyin Daing(Kyeemyin Daing),"73, 3rd Flr, Bo Thura St., Corner of Ohn Pin St.,Zay Gyi (West) Ward,",Yangon Region
"tel: 09-420106998,tel: 09-250265431",Htet,Stainless Steel Wares,South Dagon(South Dagon),"229, Kyauk Pahtoe St., Industrial Zone (3),",Yangon Region
"tel: 01-553782,tel: 01-551607,tel: 09-5001969",Myat Thapyay,Thingans & Monk's Utensils,Bahan(Bahan),"Rm 3, Old Yae Tar Shae Rd., Kyae Thoon Pagoda Tike Tan, Gyar Taw Ya Ward,",Yangon Region
tel: 09-799769790,Greator,Tailors,Mayangone(Mayangone),"651, Thamaing Butar Yon 7th St., Ward (1),",Yangon Region
"tel: 09-428011885,tel: 09-791951960",Myat Thadar,Thingans & Monk's Utensils,Shwe Pyi Thar(Shwe Pyi Thar),"574, 1st Flr, Bayint Naung Rd., Ward (8),",Yangon Region
"tel: 09-5037664,tel: 09-5175689,tel: 09-73255066,tel: 09-73255077",Myat Phone Kyaw,Thingans & Monk's Utensils,Mayangone(Mayangone),"47, Aung Myittar St., Ward (2),",Yangon Region
"tel: 09-250376457,tel: 09-49305045",Myat Parami,Thingans & Monk's Utensils,North Dagon(North Dagon),"Yarza Di Yit Rd.,7/8 Junction,Ward (38)",Yangon Region
"tel: 09-32164947,tel: 09-31383747",Myat Tagon,Thingans & Monk's Utensils,North Okkalapa (North Okkalapa ),"Rm 1, Khay Mar Thi Rd., Min Yan Aung Cinema Hall, Za Myin Zwel Ward,",Yangon Region
tel: 09-428011885,Myat Thadar,Thingans & Monk's Utensils,South Dagon(South Dagon),"556,Maung Makan Kan Thar Rd.,Ward (18)",Yangon Region
tel: 09-73078044,"Khaing Htun Trading Co.,Ltd.",Stainless Steel Wares,South Dagon(South Dagon),"164, Inya St., Industrial Zone (2),",Yangon Region
"tel: 01-8550929,tel: 09-73127594,tel: 09-73127595","Khaing Htun Trading Co.,Ltd.",Stainless Steel Wares,Thingangyun(Thingangyun),"53/32/53/37, Lay Daunt Kan Rd., May Kha Housing, (Sa-Lein/Kha) Ward,",Yangon Region
"tel: 09-31347913,tel: 09-73022575,tel: 09-254744901,tel: 09-797794235",KBL,Stainless Steel Wares,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Rm 374, 3rd Flr, Mingalar Market,",Yangon Region
"tel: 09-5100739,tel: 09-976168433",Sport World,,,"87,84 St.,Between 28 St. and 29 St.,",Chan Aye Thar Zan
"tel: 09-8641163,tel: 09-8641164,tel: 09-8641166,tel: 09-8619037,tel: 01-450682,tel: 09-967767730","Premier Coffee Co.,Ltd.",Spices,Thaketa(Thaketa),"299/A, Mya Malar St., Industrial Zone,",Yangon Region
"tel: 09-5011415,tel: 01-9699361",Myint Swe [U],Soya Bean Sauces [Manu/Dist],North Okkalapa (North Okkalapa ),"40, Khay Mar Thi Rd., Industrial Zone,",Yangon Region
"tel: 09-425024950,tel: 09-5100896",Kaung Set Hein,Stainless Steel Wares,South Dagon(South Dagon),"448, Hlaw Gar Rd., Ward (19),",Yangon Region
"tel: 09-440442258,tel: 09-420161539",Myat Su Pan,Thingans & Monk's Utensils,Thaketa(Thaketa),"58/A, Zingama Rd., Near Anawmar Bus Stop, Ward (2-North),",Yangon Region
"tel: 09-2002255,tel: 01-8100422,tel: 01-590579,tel: 01-591243,tel: 01-595466","Khaing Htun Trading Co.,Ltd.",Stainless Steel Wares,South Dagon(South Dagon),"1, Pyi Htaung Su Rd., Industrial Zone (2),",Yangon Region
"tel: 09-795584746,tel: 09-448001436",Hero,Tailors,South Okkalapa (South Okkalapa ),"332, Yarza Thin Gyan St., Ward (11),",Yangon Region
tel: 09-5050094,Myanmar Archery Federation,Sports Clubs & Associations,Tarmwe(Tarmwe),"South Race Course Rd., Corner of East Race Course Rd., Kyaikkasan Sports Ground & Stadium, Tarmway Gyee (Kha) Ward,",Yangon Region
"tel: 09-425026526,tel: 09-420059074,tel: 09-2220371,tel: 09-253440004",ESUS5,Sound Recording Studios,Bahan(Bahan),"1st Flr, Kan Taw Gyi Nature Park, UTOPIA Tower,",Yangon Region
"tel: 01-8100103,tel: 09-5143887",Goal,Spices,South Dagon(South Dagon),"2924/2925, Set Hmu Zone Pat St., Industrial Zone (2),",Yangon Region
"tel: 09-425026526,tel: 09-420059074,tel: 09-2220371",Esus 5,Sound Recording Studios,Bahan(Bahan),"1st Flr, Utopia Tower,",Yangon Region
"tel: 01-652293,tel: 01-652234,tel: 01-507045,tel: 01-507160",Cho Cho Industry Ltd.,Export & Import Companies,Hlaing(Hlaing),"Bldg 3, Rm 5/6/7, 1st Flr, MICT Park,",Yangon Region
"tel: 01-572720,tel: 01-536842",Manaw Myay FC,Sports Clubs & Associations,Thingangyun(Thingangyun),"92, Zeya Thiri St., Thuwana/29 Ward,",Yangon Region
tel: 09-425293121,Chin United FC,Sports Clubs & Associations,Mingalardon(Mingalardon),"25, Kyaung Gyi 2nd St., Kyaung Gyi Ward,",Yangon Region
tel: 01-573096,Magwe FC,Sports Clubs & Associations,South Okkalapa (South Okkalapa ),"Than Thu Mar Rd.,Near Bali Bridge,Ward (15)",Yangon Region
"tel: 01-8579583,tel: 01-8566236,tel: 09-5159131,tel: 09-5114486",Khaing Myel,Stainless Steel Wares,Thingangyun(Thingangyun),"27/B, Thu Mingalar Rd., Corner of Thiri Haymar St.,Zawana Ward,",Yangon Region
"tel: 09-73186453,tel: 09-448015713",Ayeyarwady United F.C [Myanmar Awba],Sports Clubs & Associations,Thingangyun(Thingangyun),"Mee Done St.,Near Thuwunna Sports Stadium,Thuwana/29 Ward",Yangon Region
"tel: 09-425021305,tel: 01-523941",Sa Lin Sports Ground,Sports Grounds & Stadiums,Kyeemyin Daing(Kyeemyin Daing),"Upper Kyee Myin Daing Rd., Corner of Pan Pin Gyi St., Ma Gyee Dan (North-East) Ward,",Yangon Region
"tel: 01-378648,tel: 09-5029624",Hantharwady United FC,Sports Clubs & Associations,Kyauktada(Kyauktada),"120,40th St.,Lower Middle Block",Yangon Region
tel: 09-73153744,Echo,Sound Recording Studios,Mayangone(Mayangone),"56/A, Tay Nu Yin St., 7 Mile, Ward (7),",Yangon Region
tel: 09-31043104,Ah Phyu Yaung Thway Thit,Sports Clubs & Associations,North Okkalapa (North Okkalapa ),"427, Thu Marlar St., Corner of Thu Marlar 1st St.,Ward (2),",Yangon Region
"tel: 01-387994,tel: 01-387995",Myanma Table Tennis Federation,Sports Clubs & Associations,Dagon(Dagon),"U Wisara Rd., National Swimming Pool Compound, U Wisara Ward,",Yangon Region
"tel: 01-563591,tel: 09-5044283,tel: 09-43088952",Dream World [DW],Dancing Schools,Thingangyun(Thingangyun),"163, Theingar St., Thuwana/24 Ward,",Yangon Region
tel: 09-785160561,D.I.Y !,Sound Recording Studios,Tarmwe(Tarmwe),"91, Pin Shwe Nyaung St., Tarmway Lay Ward,",Yangon Region
"tel: 01-655272,tel: 01-655282",Bagan Entertainment,Exhibition Services,Mayangone(Mayangone),"Bldg A, G Flr, Min Dhama Rd., Min Dhama Housing,",Yangon Region
"tel: 09-5040019,tel: 09-73217608",New World,,,"2nd Flr, Mingalar Mon Market,",Mingalar Taung Nyunt
"tel: 09-5197875,tel: 09-31733577,tel: 09-31031805",Dream Sound Works,Sound Recording Studios,Botahtaung(Botahtaung),"16, 6th Flr, 64th St., Ward (3),",Yangon Region
tel: 01-011220551,Mawyawadi FC,Sports Clubs & Associations,Pazundaung(Pazundaung),"Rm 8/C, Lower Pazundaung Rd., Yadana Myaing Condo,",Yangon Region
tel: 01-523940,Padonmar Playground,Sports Grounds & Stadiums,Sanchaung(Sanchaung),"Bargayar Rd., Corner of Padonmar St., Shin Saw Pu Ward,",Yangon Region
tel: 01-399303,Myanmar Boxing Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Thein Phyu Rd., Thein Phyu Boxing Playground, Tha Pyay Gone Ward,",Yangon Region
tel: 01-571705,Myanmar Bowling Federation,Sports Clubs & Associations,Tarmwe(Tarmwe),"U Ba Kyaw St.,Tarmway Lay Ward",Yangon Region
"tel: 01-375942,tel: 09-5025383,tel: 09-5145679",Ally,Sound Recording Studios,Kyauktada(Kyauktada),"141, 36th St., Upper Middle Block,",Yangon Region
tel: 01-8550080,Myanmar Boxing Federation,Sports Clubs & Associations,Thingangyun(Thingangyun),"Waiza Yan Tar Rd., Thuwunna Sports Stadium, (Sa-Lone/Thu Mingalar) Ward,",Yangon Region
"tel: 01-375104,tel: 09-73006747",Myanmar Billiard & Snooker Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Aung San Stadium (South Wing)",Yangon Region
"tel: 01-221496,tel: 09-421030611,tel: 09-420706002",Myanmar Badminton Federation,Sports Clubs & Associations,Lanmadaw(Lanmadaw),"320/332, Anawrahta Rd.,",Yangon Region
tel: 01-393420,Myanmar Chin Lone Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Aung San Stadium (South Wing)",Yangon Region
"tel: 01-556952,tel: 01-558208",Myanmar Basketball Federation,Sports Clubs & Associations,Bahan(Bahan),"West Race Course Rd.,Kyaikkasan Sports Ground & Stadium,Saya San (North-East) Ward",Yangon Region
"tel: 09-973079408,tel: 09-43151043,tel: 09-5189074",AES Myanmar,Sound Recording Studios,Kamayut(Kamayut),"99, Rm 1/A, G Flr, Dhama Zedi Rd., Ward (10),",Yangon Region
tel: 01-525069,Khin Sabei Oo,Sound Recording Studios,Bahan(Bahan),"10, Shwe Taung Gyar St., Shwe Taung Gyar Ward (2),",Yangon Region
"tel: 01-375573,tel: 09-795889880",Myanmar Chess Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Aung San Stadium (West Wing)",Yangon Region
"tel: 01-536042,tel: 01-503174,tel: 09-73008785",City FM Studio [Kyi Min Thein [U]],Sound Recording Studios,Kamayut(Kamayut),"573,Pyay Rd.,Ward (2)",Yangon Region
"tel: 09-5094266,tel: 09-73005630",Harmony Studio,Sound Recording Studios,Bahan(Bahan),"67, Nat Mauk 1st  Lane., Bo Cho Ward (2),",Yangon Region
"tel: 09-73034066,tel: 09-73143852",Guardians Music Studio,Sound Recording Studios,Yankin(Yankin),"6, Thiri Yadanar St., Bauk Htaw, Ward (16),",Yangon Region
tel: 09-797266099,Gate Way,Sound Recording Studios,South Okkalapa (South Okkalapa ),"4/1, Than Thu Mar Rd., Ward (14/3),",Yangon Region
"tel: 09-43041435,tel: 09-250043525",Eternity,Sound Recording Studios,Sanchaung(Sanchaung),"58, 4th Flr, Nyaung Tone St., Kyun Taw (Mid) Ward,",Yangon Region
"tel: 01-222991,tel: 01-224564,tel: 01-227891,tel: 09-5102032",Kabar Kyaw,Sound Recording Studios,Lanmadaw(Lanmadaw),"11, 14th St., Lower Block,",Yangon Region
"tel: 01-586148,tel: 09-73033152",Jingle Bell,Sound Recording Studios,North Dagon(North Dagon),"848, U Wisara Rd., Ward (34),",Yangon Region
"tel: 01-584353,tel: 09-975631211",North Dagon Stadium,Sports Grounds & Stadiums,North Dagon(North Dagon),"Pyi Htaung Su Rd.,Ward (16)",Yangon Region
"tel: 09-254189859,tel: 09-780004122",Kingdom of Glory [KOG],Sound Recording Studios,Thingangyun(Thingangyun),"137, Loot Latt Yay St., (Ga-Gyi) Ward,",Yangon Region
tel: 09-5058640,North Dagon Shooting Range,Sports Grounds & Stadiums,North Dagon(North Dagon),"Pyi Htaung Su Rd.,Near National Swimming Pool,Ward (16)",Yangon Region
tel: 09-5068729,Dagon Seikkan Indoor Stadium,Sports Grounds & Stadiums,Dagon Seikkan(Dagon Seikkan),"98, Strand Rd., Industrial Zone,",Yangon Region
,Bahan Playground,Sports Grounds & Stadiums,Bahan(Bahan),"U Wisara Rd.,Shwe Gon Daing (West) Ward",Yangon Region
tel: 01-556952,Kyaikkasan Basketball Playground,Sports Grounds & Stadiums,Bahan(Bahan),"West Race Course Rd.,Kyaikkasan Sports Ground & Stadium,Saya San (North-East) Ward",Yangon Region
"tel: 01-8561701,tel: 09-73150572,tel: 09-250081773,tel: 09-259283878",Kaung San,Stainless Steel Wares,South Okkalapa (South Okkalapa ),"350, Yadanar Rd., Ward (12),",Yangon Region
"tel: 09-5008168,tel: 09-450025868",Myanmar Body Building & Physique Sports Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Set Yon Rd. (Mill Rd.),Myoe Taw Si Pin Sports Ground,Tharyar Gone Ward",Yangon Region
tel: 09-5104740,Myitzima Hline Music Bands,Sound Recording Studios,Sanchaung(Sanchaung),"10/A, Khattar St., Thiri Khaymar Ward,",Yangon Region
"tel: 09-450001444,tel: 09-8530340,tel: 09-5092799,tel: 09-5177240",Kaung San,Stainless Steel Wares,Tarmwe(Tarmwe),"Rm A/19, Kyaikkasan Rd., Army Recruit Compound,",Yangon Region
tel: 01-399022,Myanmar Letwhay Association [MLA],Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"18,Mandalay St.,Kan Daw Kalay (South) Ward",Yangon
"tel: 09-31268836,tel: 09-5409429,tel: 09-421005891","Mya KK Engineering Co.,Ltd.",Sound Recording Studios,North Dagon(North Dagon),"A/2,U Wisara Rd.,Industrial Zone",Yangon Region
tel: 01-379939,Myanmar Karatedo Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Aung San Stadium (North Wing)",Yangon Region
"tel: 01-380772,tel: 01-374941",Myanmar Judo Federation,Sports Clubs & Associations,Dagon(Dagon),"U Wisara Rd.,U Wisara Ward",Yangon Region
"tel: 09-5002265,tel: 09-8304748",Myanmar Hiking & Mountaineering Federation,Sports Clubs & Associations,Bahan(Bahan),"1/2/3/4, 4th Flr, Nat Mauk St., Bo Cho Ward (1),",Yangon Region
"tel: 01-8569960,tel: 01-8569961,tel: 01-8569964",Myanmar Football Federation,Sports Clubs & Associations,Thingangyun(Thingangyun),"Waiza Yan Tar Rd.,Aung Su Pan Ward",Yangon Region
tel: 01-542509,Myanmar Gymnastics Federation,Sports Clubs & Associations,Tarmwe(Tarmwe),"West Race Course Rd.,Kyaik Ka San Playground,Tarmway Gyee (Kha) Ward",Yangon Region
"tel: 01-551336,tel: 09-73056710",Myanmar Cycling Federation,Sports Clubs & Associations,Thingangyun(Thingangyun),"Waiza Yan Tar Rd., Thuwunna Sports Stadium, (Sa-Lone/Thu Mingalar) Ward,",Yangon Region
"tel: 01-701387,tel: 09-5180284",National Indoor Stadium [2] [Hlaing],Sports Grounds & Stadiums,Hlaing(Hlaing),"Thamine College St., Near MICT Park, Ward (12),",Yangon Region
"tel: 01-394440,tel: 01-8619371",Myanmar Hockey Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Thein Phyu Rd.,Thein Phyu Hockey Playground,Tha Pyay Gone Ward",Yangon Region
"tel: 09-456381763,tel: 01-704610",My Disc,Sound Recording Studios,Bahan(Bahan),"15, Kan Baw Za Yeikthar St., Shwe Taung Gyar Ward (2),",Yangon Region
"tel: 01-577380,tel: 01-577379,tel: 01-577373,tel: 01-577381",National Indoor Stadium [1] Thuwunna,Sports Grounds & Stadiums,Thingangyun(Thingangyun),Thuwunna Sports Stadium,Yangon Region
"tel: 01-583609,tel: 09-49328019,tel: 09-73004701",Myanmar Disable Sports Federation,Sports Clubs & Associations,North Dagon(North Dagon),"Pyi Htaung Su Rd.,Ka Pa Ya Bus Stop,Ward (29)",Yangon Region
tel: 09-421015822,Kyaw Saw,Sound Recording Studios,Hlaing Thar Yar(Hlaing Thar Yar),"358, Padauk St., Nyaung Village,",Yangon Region
"tel: 01-521511,tel: 01-521522,tel: 01-521533",Yangon United Sport Complex [YUSC],Sports Grounds & Stadiums,Hlaing(Hlaing),"Yangon-Insein Rd.,Hlaing Sport Ground,Ward (12)",Yangon Region
"tel: 01-241068,tel: 01-381972",Musicplug Sound Inc.,Sound Recording Studios,Latha(Latha),"382, Strand Rd.,",Yangon Region
"tel: 09-421117859,tel: 09-250643154",Mr.Rock,Sound Recording Studios,Tarmwe(Tarmwe),"Kyauk Yae Twin St., Corner of Thukha St.,Kyauk Myaung Gyi Ward,",Yangon Region
"tel: 01-400088,tel: 09-250018642",MM Studio,Sound Recording Studios,Yankin(Yankin),"2/A, Thiri Zeyar St., Bauk Htaw, Ward (16),",Yangon Region
tel: 01-370602,Aung San Sports Ground & Stadium,Sports Grounds & Stadiums,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Infront Of Yangon Railways Station,Hpa-Sa-Pa-La Ward",Yangon Region
tel: 01-513109,Universities Sports Ground,Sports Grounds & Stadiums,Kamayut(Kamayut),"Tha Htone Rd.,Ward (9)",Yangon Region
tel: 01-393247,Myanmar Cricket Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Aung San Stadium (North Wing)",Yangon Region
"tel: 09-450034354,tel: 09-253039800",Speed,Sports Grounds & Stadiums,Mingalardon(Mingalardon),"15, Thukha St., Kyan Khin Su Ward,",Yangon Region
tel: 01-8500340,South Okkalapa Padaethar Sports Ground,Sports Grounds & Stadiums,South Okkalapa (South Okkalapa ),"Thu Mingalar Rd.,Near Thu Mingalar Park,Ward (10)",Yangon Region
"tel: 09-254351019,tel: 01-372360",Thein Phyu Tennis Ground,Sports Grounds & Stadiums,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Banyar Dala Rd.,Thein Phyu Tennis Playground",Yangon Region
"tel: 01-571053,tel: 01-571057",Thuwunna Youth's Training Centre,Sports Grounds & Stadiums,Thingangyun(Thingangyun),"Waiza Yan Tar Rd., Thuwunna Sports Stadium, (Sa-Lone/Thu Mingalar) Ward,",Yangon Region
"tel: 09-73204749,tel: 09-5144766",Lin Studio,Sound Recording Studios,Mayangone(Mayangone),"93/A, Kone Myint Yeikthar St., 7 Mile, Ward (6),",Yangon Region
tel: 09-5057827,Shwe Pyi Thar Stadium,Sports Grounds & Stadiums,Shwe Pyi Thar(Shwe Pyi Thar),"Set Hmu 10th St.,Industrial Zone (1)",Yangon Region
"tel: 09-31067357,tel: 09-428172254",Light House,Sound Recording Studios,Kamayut(Kamayut),"50/E, 3rd Flr, Yangon-Insein Rd., Ward (2),",Yangon Region
tel: 09-49340184,Kaung Myat Kyaw,Stainless Steel Wares,Hlaing(Hlaing),"120,Baho Rd.,Ward (7)",Yangon Region
"tel: 01-254209,tel: 09-73252994,tel: 01-252994",Mingalar Sein [Yadanar Sein],Sound Recording Studios,Latha(Latha),"143, 23rd St., Upper Block,",Yangon Region
"tel: 01-585003,tel: 01-585005,tel: 01-585006,tel: 01-585009,tel: 01-585013,tel: 09-31869534",University Sports Ground,Sports Grounds & Stadiums,East Dagon(East Dagon),"Yarza Thin Gyan St.,Ward (52)",Yangon Region
"tel: 01-385927,tel: 01-385928,tel: 01-378550",Myanmar Swimming Federation,Sports Clubs & Associations,Dagon(Dagon),"U Wisara Rd.,U Wisara Ward",Yangon Region
tel: 09-73016654,"Zwekapin United FC Co.,Ltd.",Sports Grounds & Stadiums,Mayangone(Mayangone),"Oak Pon Seik St., Nawaday Sports Ground, Ward (5),",Yangon Region
tel: 09-2053600,Metal Zone,Sound Recording Studios,Kyauktada(Kyauktada),"244/254, Rm 81, 9th Flr, Seikkanthar St., Upper Block,",Yangon Region
"tel: 09-420076711,tel: 01-580712",Myanmar Thine Federation [MTF],Sports Clubs & Associations,North Dagon(North Dagon),"Pin Lon Rd.,Near Su Paung Yone,Ward (10)",Yangon Region
"tel: 01-372360,tel: 09-254351019",Myanmar Tennis Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Banyar Dala Rd.,Thein Phyu Tennis Playground",Yangon Region
"tel: 01-577461,tel: 09-5128985",Myanmar Sepak Takraw Federation,Sports Clubs & Associations,Thingangyun(Thingangyun),"Waiza Yan Tar Rd., Thuwunna Sports Stadium, (Sa-Lone/Thu Mingalar) Ward,",Yangon Region
tel: 01-8011075,Myanmar Shooting Sport Federation,Sports Clubs & Associations,North Dagon(North Dagon),"Pyi Htaung Su Rd.,Ward (16)",Yangon Region
"tel: 01-577343,tel: 01-577342,tel: 09-5011982",Myanmar Olympic Committee,Sports Clubs & Associations,Thingangyun(Thingangyun),"Waiza Yan Tar Rd., Thuwunna Sports Stadium, (Sa-Lone/Thu Mingalar) Ward,",Yangon Region
"tel: 01-2305858 Ext.6052,tel: 01-2306314",Myanmar National League,Sports Clubs & Associations,Kamayut(Kamayut),"Rm 201, 2nd Flr, Pyay Rd., Novotel Yangon Max Hotel,",Yangon Region
"tel: 09-5137084,tel: 09-73043712,tel: 09-43181783",Strings,Sound Recording Studios,Pazundaung(Pazundaung),"58/B, 6th Flr, Yae Kyaw St.,",Yangon Region
"tel: 01-583310,tel: 09-421171586",YZ FC [Family] [Yay Set Mitharsu],Sports Grounds & Stadiums,North Dagon(North Dagon),"14/A, Bo Hmu Ba Htoo Rd., Ward (42),",Yangon Region
"tel: 01-590105,tel: 09-420166794",South Dagon Township Sports Ground,Sports Grounds & Stadiums,South Dagon(South Dagon),"Myeik St.,Ward (25)",Yangon Region
"tel: 09-5134511,tel: 01-663400",PTL Digital Sound Studio,Sound Recording Studios,Mayangone(Mayangone),"108, Yangon-Insein Rd., Ward (3),",Yangon Region
"tel: 01-583609,tel: 09-49328019,tel: 09-73004701",Myanmar Paralympic Sport Federation,Sports Clubs & Associations,North Dagon(North Dagon),"Pyi Htaung Su Rd.,Ka Pa Ya Bus Stop,Ward (29)",Yangon Region
"tel: 09-264566014,tel: 09-972391022","Stereoimage Studio Co.,Ltd.",Sound Recording Studios,Tarmwe(Tarmwe),"7, 1st Flr, Kyauk Yae Twin St., Corner of Myo Thit 3rd St.,Kyauk Myaung (East) Ward,",Yangon Region
"tel: 09-5168929,tel: 09-31928399,tel: 09-6300974",PEMPO,Sound Recording Studios,Botahtaung(Botahtaung),"78, 4th Flr, 48th St., Middle Block,",Yangon Region
tel: 01-255935,Myanmar Taekwando Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Aung San Stadium (North Wing)",Yangon Region
"tel: 01-514986,tel: 01-526052,tel: 01-536688",Myanmar Rowing & Canoeing Federation,Sports Clubs & Associations,Kamayut(Kamayut),"132/A, Inya Rd., Ward (9),",Yangon Region
"tel: 01-541167,tel: 01-549478,tel: 01-541411","Shwe Nay Chi Services Co.,Ltd. [City FM]",Sound Recording Studios,Bahan(Bahan),"20, 2nd Flr, Pearl St., Shwe Taung Gyar Ward (2),",Yangon Region
"tel: 01-535298,tel: 01-513899",Myanmar Yachting Federation,Sports Clubs & Associations,Kamayut(Kamayut),"132, Inya Rd., Ward (9),",Yangon Region
"tel: 01-660634,tel: 09-43023313",Oasis,Sound Recording Studios,Mayangone(Mayangone),"117/A, Oasis St., 8 Mile, Ward (5),",Yangon Region
"tel: 09-43025231,tel: 01-562387 [Res]",Prosody Nectar [Ahlinkar Wut Yi],Sound Recording Studios,Thingangyun(Thingangyun),"91, Shwe Wah St., Corner of Khun Ni 2nd St., Thuwana/29 Ward,",Yangon Region
"tel: 01-401434,tel: 01-400637",Nay Pyi Taw FC,Sports Clubs & Associations,Tarmwe(Tarmwe),"50, Thamadi St., Myittar Nyunt Ward,",Yangon Region
tel: 09-421132958,Sky Voice,Sound Recording Studios,Pazundaung(Pazundaung),"94, 9th Flr, Bogyoke Aung San Rd.,",Yangon Region
"tel: 01-661106,tel: 09-73176589",Nawarat Digital Multitrack Recording,Sound Recording Studios,Mayangone(Mayangone),"9/D, Nawarat St., 8 Mile, Ward (7),",Yangon Region
"tel: 01-704610,tel: 09-785333361",Pro Music,Sound Recording Studios,Bahan(Bahan),"15, Kan Baw Za Yeikthar St., Shwe Taung Gyar Ward (2),",Yangon Region
"tel: 01-240450,tel: 09-5006016",Myanmar Volleyball Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Aung San Stadium (North Wing)",Yangon Region
"tel: 09-73054716,tel: 09-5135091",Kaung Myat Htoo,Stainless Steel Wares,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Rm 588/589/546/547,2nd Flr,Mingalar Market",Yangon Region
"tel: 09-5004231,tel: 09-250355063,tel: 09-260988984",Myanmar Trading Sports Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St., Aung San Stadium,",Yangon Region
"tel: 01-250153,tel: 09-73011707",Old Myoma Association,Sports Clubs & Associations,Dagon(Dagon),"68, Sagawah St., Pyay (East) Ward,",Yangon Region
tel: 09-5073348,Myauk Khant Chaw,Soya Bean Sauces [Manu/Dist],Thaketa(Thaketa),"691, Aung Myittar St., Ward (4-South),",Yangon Region
tel: 01-383907,Myanmar Track & Field Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Gyo Phyu St.,Aung San Stadium (South Wing)",Yangon Region
"tel: 09-5102278,tel: 09-5119563,tel: 09-5130348",Myauk Phyu & Woo Khone [Sein Thone Lone],Soya Bean Sauces [Manu/Dist],Mayangone(Mayangone),"D/7-B, Aung Tha Pyay St., Bayint Naung Warehouses,",Yangon Region
tel: 01-400893,Myanmar Women's Sports Federation,Sports Clubs & Associations,Tarmwe(Tarmwe),"West Race Course Rd.,Tarmway Gyee (Kha) Ward",Yangon Region
tel: 09-73254966,Myanmar Wrestling Federation,Sports Clubs & Associations,Tarmwe(Tarmwe),"South Race Course Rd.,Sport & Physical Education Compound,Tarmway Gyee (Kha) Ward",Yangon Region
"tel: 01-501117,tel: 09-73030683","Golden Bean Industry Co.,Ltd.",Soya Bean Sauces [Manu/Dist],Kamayut(Kamayut),"2, Htan Ta Pin St., Corner of U Hlaw Chan St.,Ward (3),",Yangon Region
tel: 01-388160,Myanmar Weight Lifting Federation,Sports Clubs & Associations,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"Upper Pansoedan Rd., Aung San Stadium (East Wing), Hpa-Sa-Pa-La Ward,",Yangon Region
"tel: 01-685771,tel: 09-73240507",Eagle,Soya Bean Sauces [Manu/Dist],Hlaing Thar Yar(Hlaing Thar Yar),"158, U Tayote Gyi St., Industrial Zone (4),",Yangon Region
