contact,name,category,township,street,state
" 095199145, 09421118860",Swel Mat,Toy Shops,Sanchaung,"Rm S/28, 2nd Flr, Dagon Centre I,",Yangon Region
 01577156,"MIT [Myanmar Interactive Telecom Co.,Ltd.]",Telecommunication Suppliers & Equipment,Thingangyun,"1/2, Than Thu Mar Rd., Thuwana/23 (Su Paung) Ward,",Yangon Region
" 018610475, 018610476",Nippon Denki Kabushiki Kaisha NEC Corporation [Yangon Branch],Telecommunication Suppliers & Equipment,Botahtaung,"Rm 08/04, 8th Flr, Union Financial Centre,",Yangon Region
" 01240769, 095101471",Super One,Toy Shops,Latha,"117, 24th St., Upper Block,",Yangon Region
" 09420178221, 0973208299",Than Hla [Daw],Toy Shops,Shwe Pyi Thar,"Myat Eain Yar Lane (2), Danyin Gone Housing,",Yangon Region
" 01387881, 095134740","Nadi Oo Trading Co.,Ltd.",Telecommunication Suppliers & Equipment,Kyauktada,"249, 3rd Flr, Bogyoke Aung San Rd.,",Yangon Region
,Swal Mat,Toy Shops,Sanchaung,"Rm 28/3,G Flr,Dagon Centre I",Yangon
" 095186953, 0949276763",Tet Nay Tun,Toy Shops,Dagon,"Rm 41, Shwe Dagon Pagoda (North Entrance),",Yangon Region
" 01242510, 09420029975","Myanmar Golden 11 Investment Int'l Co.,Ltd.",Telecommunication Suppliers & Equipment,Dagon,"9, Bldg C/5, Yaw Min Gyi St., Yaw Min Gyi Ward,",Yangon Region
" 01507208, 09422208213","Myanmar Mahar Dahna Co.,Ltd.",Telecommunication Suppliers & Equipment,Hlaing,"Bldg 11, Rm 606, 5th Flr, MICT Park,",Yangon Region
" 01657852, 09420043928, 01653329, 01657883, 092025718","Myanmar Technology Gateway Co.,Ltd.",Telecommunication Suppliers & Equipment,Mayangone,"6, Dana Theiddi St., Near Post Office Bus Stop, Ward (8),",Yangon Region
 0973128327,Super Min,Toy Shops,Insein,"252, Marlar Nwe 1st St., Pauk Taw Ward,",Yangon Region
" 01533366, 01655708","Nan Taw Networks Co.,Ltd.",Telecommunication Suppliers & Equipment,Insein,"45/55/C, Airport Rd., Saw Bwar Gyi Gone Ward,",Yangon Region
" 09420052598, 09795153203",Moe Zaw,Television Sales & Services,South Dagon,"1597, Hlaw Gar Rd., Corner of Maha Bandoola St., Ward (107),",Yangon Region
 018603338,Nera Telecommunications Ltd.,Telecommunication Suppliers & Equipment,Bahan,"Rm 01-06, G Flr, Nat Mauk St., Union Business Center,",Yangon Region
" 01374188, 01242054, 01389688",Multi World,Television Sales & Services,Kyauktada,"141/145, Bo Aung Kyaw St., United Condo, Lower Middle Block,",Yangon Region
" 01370852, 09250002895",Nesic [Thailand] Ltd. [Yangon Branch],Telecommunication Suppliers & Equipment,Dagon,"Rm 305/D, 3rd Flr, La Pyayt Wun Plaza,",Yangon Region
" 09421150277, 0943168598, 0943138643",Aye Chan Eain,Soft Drinks/Juices & Beverages,Sanchaung,"10/A, Pathein St., Kyun Taw (Mid) Ward,",Yangon Region
 09799809567,Min Zaw [Ko],Television Sales & Services,Shwe Pyi Thar,"399, Sein Si Gon Yaung St., Ward (9),",Yangon Region
 09421133202,Moe Pyar Aung,Television Sales & Services,Hlaing Thar Yar,"Kyan Sit Thar St.,Near Sein Pan Bus Stop,Ward (23)",Yangon Region
 01526746,Aye Aye Nwet [Daw],Soft Drinks/Juices & Beverages,Hlaing,"161, Than St., Ward (9),",Yangon Region
 01224927,Aye Aye Nwe [Daw],Soft Drinks/Juices & Beverages,Lanmadaw,"63, 15th St., Lower Block,",Yangon Region
 095122497,Myanmar Padauk,Telecommunication Suppliers & Equipment,South Okkalapa ,"273/A, Migathi St., Ward (12),",Yangon Region
" 01226357, 09254052621",Aye Aye [Daw],Soft Drinks/Juices & Beverages,Lanmadaw,"24, 15th St., Lower Block,",Yangon Region
" 01246272, 09252428937",Aye Aye Myint [Daw],Soft Drinks/Juices & Beverages,Pabedan,"178, 28th St., Upper Block,",Yangon Region
" 09796538666, 09964927111, 09264667977, 09264297977, 095140932","Shan Dong Province Post & Telecom Engineering Co.,Ltd.",Telecommunication Suppliers & Equipment,Hlaing,"Bldg 17, Rm 501, 5th Flr, MICT Park,",Yangon Region
 0943163755,Aye Aye Win [Ma],Soft Drinks/Juices & Beverages,North Okkalapa ,"168, Setka Wut St., Za Myin Zwel Ward,",Yangon Region
 09795873118,Mitharsu,Television Sales & Services,North Okkalapa ,"48, Khay Mar Thi 2nd St., Sa Lein Ward,",Yangon Region
" 0933895965, 0931544254",Aye Aye Maw [Daw],Soft Drinks/Juices & Beverages,Thingangyun,"Yae Nant Thar St., Thuwana/24 Ward,",Yangon Region
" 01218152 Ext.1309, 0943138326, 01218158 Ext.1309","Red Link Communications Co.,Ltd.",Telecommunication Suppliers & Equipment,Lanmadaw,"Rm 309, 2nd Flr, Junction Centre Maw Tin,",Yangon Region
" 01290170, 01294002, 01294045",Recharge Ltd.,Telecommunication Suppliers & Equipment,Botahtaung,"40,67th St.",Yangon Region
" 01293331, 019000822, 09420003305","Prodigy Co.,Ltd.",Telecommunication Suppliers & Equipment,Pazundaung,"Bldg A, Rm 403, 4th Flr, Maha Bandoola Rd., Maha Bandoola Housing Complex,",Yangon Region
" 095133339, 012339246","Safe, Sound & Modernize Co.,Ltd.",Telecommunication Suppliers & Equipment,South Okkalapa ,"167/2, Shwe Pyi Soe St., Ward (14/2),",Yangon Region
 09420096642,Myo [Ko],Television Sales & Services,Mayangone,"44, Bogyoke St., Ward (3),",Yangon Region
 09421076100,Myo [Ko],Television Sales & Services,Thaketa,"907, Dhamar Yon St., Ward (10-South),",Yangon Region
 09420297763,Myo Myanmar,Television Sales & Services,North Okkalapa ,"454, Nilar St., Near B.E.P.S (6), Ga Nge Ward,",Yangon Region
 0949308853,Aye Aye Khaing [Ma],Soft Drinks/Juices & Beverages,Thaketa,"38, Shukhin Thar Rd., Corner of Dhamar Yon St.,Ward (7-East),",Yangon Region
 09250008846,Myo Thu,Television Sales & Services,North Dagon,"1484, Bo Min Yaung Rd., Corner of Ta Pin Shwe Htee Rd.,Ward (41),",Yangon Region
" 01242488 Ext.3037, 09450024916",Theiddi Aung,Toy Shops,Latha,"D Shed, Rm F/447/448, G Flr, Thein Gyi Market,",Yangon Region
 09420112450,Myint Win,Television Sales & Services,East Dagon,"976, Nga Htwai Yue St., Ward (8),",Yangon Region
 09260110799,Myint Myat Soe,Television Sales & Services,Mingalar Taung Nyunt,"Rm 5/6,G Flr,New Mingalar Market",Yangon Region
" 0973104188, 09799469700",Myoma,Television Sales & Services,North Okkalapa ,"597, Bonmar St., Corner of Bonmar 1st St.,Za Myin Zwel Ward,",Yangon Region
 01255032,NTT Communications,Telecommunication Suppliers & Equipment,Kyauktada,"Rm 1504, 15th Flr, Sakura Tower,",Yangon Region
" 01388862, 095198325",Best,Soft Drinks/Juices & Beverages,Kyauktada,"261, Seikkanthar St., Upper Block,",Yangon Region
" 09254180723, 09253996030",Pue Lay,Telecommunication Suppliers & Equipment,Dagon Seikkan,"Ngu War St., Yuzana Garden City Housing, A Block,",Yangon Region
" 09423709368, 0931054075",Barani,Soft Drinks/Juices & Beverages,Thingangyun,"560, Nga Moe Yeik 4th St., Nga Moe Yeik Ward,",Yangon Region
 01654863,Pan Asia Tower,Telecommunication Suppliers & Equipment,Hlaing,"Bldg 15, Rm 202, 1st Flr, MICT Park,",Yangon Region
 0973069636,Myo Htet [Ko],Television Sales & Services,Thaketa,"507, Anawmar St., Corner of Anawmar 12th St.,Ah Naw Mar Ward (1),",Yangon Region
" 0973107512, 09790135589",Bawa Thit,Soft Drinks/Juices & Beverages,Yankin,"Rm 9, Kanbei Butar Yon Rd., Ward (11),",Yangon Region
 09420025788,Baby,Soft Drinks/Juices & Beverages,Thingangyun,"63, Hnin Si Gone St., (Ka) Ward,",Yangon Region
 0930191078,Aye Thin Hlaing [ Daw ],Soft Drinks/Juices & Beverages,Thingangyun,"23, Rm 11, Loot Latt Yay St., Patt Kar Bali Shop Room, (Ga-Gyi) Ward,",Yangon Region
" 01561425, 0973112893",Aye Than [Daw],Soft Drinks/Juices & Beverages,Thingangyun,"52, Hnin Si Gone St., Thuwunna, (Ka) Ward,",Yangon Region
" 0973150582, 01295943",Aye [Daw],Soft Drinks/Juices & Beverages,Mingalar Taung Nyunt,"76/80, Rm 2, Banyar Dala Rd., Tha Pyay Gone Ward,",Yangon Region
 09786227866,Baing Lay,Soft Drinks/Juices & Beverages,Mingalar Taung Nyunt,"60, Rm B, 122th St., Yae Twin Gone Ward,",Yangon Region
" 0973249522, 09971315556, 09440555924",Nge Lay [Ko],Television Sales & Services,South Okkalapa ,"767, Kaytumadi St., Ward (6),",Yangon Region
 09799537377,Ngwe La Yaung,Television Sales & Services,South Dagon,"583, Si Pin Rd., Ward (25),",Yangon Region
" 01290170, 01294002, 01294045",Recharge Myanmar Ltd.,Telecommunication Suppliers & Equipment,Botahtaung,"40, 67th St., Lower Block,",Yangon Region
 09421710609,Nanda [Ko],Television Sales & Services,Hlaing Thar Yar,"1018/B, U Pu Nya St., Ward (16),",Yangon Region
 095577799,Naing [Ko],Television Sales & Services,Kyauktada,"164, 33rd St.,",Yangon Region
" 01242468, 095038348",New Star,Television Sales & Services,Kyauktada,"153, 34th St., Upper Block,",Yangon Region
 09420167536,Nay Lin Kyaw,Television Sales & Services,South Okkalapa ,"505/B, Tagaung 4th St., Ward (5),",Yangon Region
 09795557380,Naing [Ko],Television Sales & Services,Hlaing,"34, Thiri Myaing St., Ward (13),",Yangon Region
" 09781394275, 09421055104",Naing Lin Tun,Television Sales & Services,Thaketa,"438, Anawmar St., Corner of Anawmar 10th St.,Ah Naw Mar Ward (1),",Yangon Region
 01527242 Ext.3024,The Toys Shop,Toy Shops,Kamayut,"Rm S/227/A, 2nd Flr, Junction Square,",Yangon Region
 09450013348,Aye Myittar,Soft Drinks/Juices & Beverages,North Okkalapa ,"157,Thitsar Pan St.,Hta Wun Bae Ward",Yangon Region
" 01375382, 095034971, 0973002260",Thaung [U],Toy Shops,Pabedan,"488, Maha Bandoola Rd.,",Yangon Region
 09450053756,Thar Shwe Thee,Toy Shops,North Okkalapa ,"Rm B/1/08, Khay Mar Thi Rd., Min Yan Aung Cinema Hall, Za Myin Zwel Ward,",Yangon Region
" 09448035189, 0930094052, 0973086458",Nay Lin,Television Sales & Services,Sanchaung,"14, Ashae Gone St., Sanchaung (North) Ward,",Yangon Region
" 095407815, 0973051128, 01224880",BBB,Soft Drinks/Juices & Beverages,Lanmadaw,"42, 15th St., Lower Block,",Yangon Region
 09254062274,Thant Zin,Toy Shops,South Dagon,"Kyauk Sein Myat Yadanar St.,Corner of Sein Yadanar St.,Ward (56)",Yangon Region
 0930167714,Myo,Television Sales & Services,South Okkalapa ,"170,Thuta St.,Ward (4)",Yangon Region
" 01536625, 09961200735",Thant Thant Lay,Toy Shops,Sanchaung,"197, Baho Rd., Linn Loon (North) Ward,",Yangon Region
 09795606890,Thazin,Toy Shops,Insein,"28, Kwet Thit 1st St., Kwet Thit Ward,",Yangon Region
 09259261169,Paing Soe,Television Sales & Services,Shwe Pyi Thar,"573, Htwar Paing St., Ward (11),",Yangon Region
" 01665427, 01665487, 0932845051","Sun Ivy Solutions [Myanmar] Co.,Ltd.",Telecommunication Suppliers & Equipment,Mayangone,"148, U Maung Maung Soe Lane, Corner of A One Lane.,9 Mile, Ward (5),",Yangon Region
 0931571097,Than Htay,Toy Shops,Hlaing Thar Yar,"Mandalay St., Ward (13),",Yangon Region
" 01523470, 012304305, 012304011","Techno Engineering & Associates Co.,Ltd.",Telecommunication Suppliers & Equipment,Kamayut,"29, 4th Flr, Maha Social St., Ward (8),",Yangon Region
 01378410 Ext.201,Singtel Myanmar Pte Ltd.,Telecommunication Suppliers & Equipment,Kyauktada,"561, Rm 801/804, 8th Flr, Merchant Rd., MAC Tower,",Yangon Region
 09422476398,"Sincerity Confidence Prosperity Total Myanmar Co.,Ltd.",Telecommunication Suppliers & Equipment,Mayangone,"45, Ma Soe Yein Kyaung St., Ward (5),",Yangon Region
" 0973073980, 09798789920, 0943153915",Paing Paing,Television Sales & Services,South Dagon,"221, Maung Makan Kan Thar Rd., Ward (19),",Yangon Region
 012305198 Ext.0,Nokia Solutions & Networks Myanmar,Telecommunication Suppliers & Equipment,Hlaing,"Bldg 15, 4th Flr, MICT Park,",Yangon Region
" 012300565~1, 012301341","Shinning Group Int'l Trading Co.,Ltd. [Ayeyarwaddy Group of Companies]",Telecommunication Suppliers & Equipment,Lanmadaw,"151, Rm 701/B, 7th Flr, War Dan St., Myawaddy Luxury Complex,",Yangon Region
 09421018127,Oo Thar,Television Sales & Services,Thingangyun,"Rm B/7, B.E.H.S (Thuwana) Shop Room,",Yangon Region
 01614031~4,"Central Mfg Co.,Ltd.",Soft Drinks/Juices & Beverages,Shwe Pyi Thar,"165/166, Set Hmu 2nd St., Industrial Zone (1),",Yangon Region
 09420116279,Than Than Aye [Ma],Toy Shops,South Dagon,"153, Bagan St., Ward (53),",Yangon Region
 09799350460,Central,Soft Drinks/Juices & Beverages,South Okkalapa ,"1180/A, Than Thu Mar Rd., Ward (7),",Yangon Region
" 01655796, 09425311330",Byaw [Ko],Soft Drinks/Juices & Beverages,North Okkalapa ,"197, Airport Rd., Kyauk Yae Dwin Ward,",Yangon Region
" 01654799, 01654800","Shwe Pyi Tagon Co.,Ltd. [SPT]",Telecommunication Suppliers & Equipment,Mayangone,"A/1, Min Dhama Rd., Min Dhama Housing,",Yangon Region
" 01253704, 095067942, 095134305, 01595683",Boon & Company [Gyo Kar],Soft Drinks/Juices & Beverages,Latha,"122, Rm 7/A, 20th St.,",Yangon Region
" 09421151169, 09795552334","TM [Technology & Magical Trading Co.,Ltd.]",Telecommunication Suppliers & Equipment,North Dagon,"246, U Pon Nya St., Ward (32),",Yangon Region
" 01618344, 01618345","Blue Mountain [Asahi Loihein Co.,Ltd.]",Soft Drinks/Juices & Beverages,Shwe Pyi Thar,"119,Shwe Pyi Thar Tadar St.,Industrial Zone (4)",Yangon Region
" 0973009393, 09260001511",Oscar,Television Sales & Services,Thaketa,"813, Htuparyon St., Corner of Htuparyon 16th St.,Htu Par Yon Ward (1),",Yangon Region
" 09795836348, 09401600759, 09255809905","Thoolei Telecommunication Co.,Ltd.",Telecommunication Suppliers & Equipment,Kyeemyin Daing,"113, Sagawah Pin St., Ma Gyee Dan (North-East) Ward,",Yangon Region
 09456890205,"Tianbo Int'l Myanmar Co.,Ltd.",Telecommunication Suppliers & Equipment,Mayangone,"148/7/D, Mya Wut Yee St., Ward (5),",Yangon Region
 09450028991,Bo Nan Zar,Soft Drinks/Juices & Beverages,North Dagon,"1010/B,Yarza Di Yit Rd.,Ward (38)",Yangon Region
" 09254258439, 0973247619",OK,Television Sales & Services,Insein,"Bayint Naung Rd., Infront Of Sayar Taw Gyi Kyaung, Ywar Ma (West) Ward,",Yangon Region
" 09789604030, 09778398717",Thar Bo Lay,Toy Shops,North Okkalapa ,"678, Innwa St., Shwe Paukkan Ward (17),",Yangon Region
" 09421151169, 09795552334","Technology & Mafical Trading Co.,Ltd.",Telecommunication Suppliers & Equipment,South Okkalapa ,"1-A/9, Myin Thar 11th St., Ward (14/1),",Yangon Region
" 01383430, 01383402, 01371310","Terabit Wave Co.,Ltd.",Telecommunication Suppliers & Equipment,Dagon,"41, 1st Flr, Nawaday St., Alfa Hotel, Yaw Min Gyi Ward,",Yangon Region
" 09255809905, 09795836348, 09401600759",Thoalei Group Of Companies,Telecommunication Suppliers & Equipment,South Okkalapa ,"762, Byamaso Rd., Ward (5),",Yangon Region
" 09421075995, 09420177869",Blessing,Soft Drinks/Juices & Beverages,Insein,"11, Baho Rd., Gyoh Gone (West) Ward,",Yangon Region
 01651955,"Telecom Traines Co.,Ltd.",Telecommunication Suppliers & Equipment,Yankin,"25/B, Thiri St., Parami Ave:, Ward (8),",Yangon Region
 01293454,Best Food,Soft Drinks/Juices & Beverages,Mingalar Taung Nyunt,"Rm P-19, G Flr, Yuzana Plaza,",Yangon Region
 095065739,"Tha'An Hubang Communications Technology [Myanmar]Co.,Ltd.",Telecommunication Suppliers & Equipment,Hlaing Thar Yar,"B/13, Padauk Wah 2nd St., FMI City,",Yangon Region
" 09972017708, 0949313819","Telecon Myanmar Co.,Ltd.",Telecommunication Suppliers & Equipment,Kyauktada,"256/258, 11th Flr, Seikkanthar St., Upper Block,",Yangon Region
" 012305210, 09448007653, 0943085442","TKS Co.,Ltd.",Telecommunication Suppliers & Equipment,Hlaing,"Bldg 14, Rm 606, 6th Flr, MICT Park, Ward (12),",Yangon Region
 0943095485,Aung Soe MOe,Tapestries,South Okkalapa ,"14, Myittar Rd., Ward (12),",Yangon Region
,Noble,Television Sales & Services,Mayangone,"372,Bo Nyar Na St.,9 Mile,Ward (5)",Yangon Region
" 09796142433, 09261625617",Oakkar Soe,Television Sales & Services,North Okkalapa ,"119, Rm R/1, Waziyar St., Corner of Thudhamar Rd.,Sa Lone Ward,",Yangon Region
" 0223855, 0276355",Thu Zar Hlaing Myo,,,"505, 84 St.,Between 41 St. and 42 St.,",Maha Aung Myay
" 095131676, 0973153728",Bawga Family,Gold Shops/Goldsmiths,Pabedan,"Central Hall Shed, Rm 72, Bogyoke Aung San Market,",Yangon Region
 09973313649,"Y  Kyaw Win Enterprise Co.,Ltd.",Telecommunication Suppliers & Equipment,Hlaing,"25, Thida St., Ward (13),",Yangon Region
 09799782110,Blessing,Soft Drinks/Juices & Beverages,Insein,"701, Bayint Naung Rd., Ywar Ma (West) Ward,",Yangon Region
 092032124,Lawka Nat,,,"Htan Tapin Ward,  (Ma.Ya.Ka) Office South,",Amarapura
" 0973084748, 09403727385",Samusar [Ko] @ Sann Myint [Ko],Television Sales & Services,Shwe Pyi Thar,"270/B, Maha Bandoola St., Ward (9),",Yangon Region
 09421056106,Right,Television Sales & Services,Kamayut,"2, Marlar Lane., Beside Sein Gay Har Hledan Centre, Ward (8),",Yangon Region
" 01570591, 09250278740, 095149732",Cho Ti [Daw],Soft Drinks/Juices & Beverages,Yankin,"73, Kanbei Butar Yon Rd., Ward (12),",Yangon Region
" 09263215125, 09795615857",Nyi Nyi,Television Sales & Services,East Dagon,"82, Har Khar St., Ward (7),",Yangon Region
 09254313274,Thu Thu,Toy Shops,North Dagon,"1203, Ngwe Pearl St., Ward (35),",Yangon Region
" 095100601, 0973200068, 01240600 Ext.4475, 01242775 Ext.2118, 09795986430",Armac [Ko],Tapes,Latha,"E Shed, Rm 72, G Flr, Thein Gyi Market,",Yangon Region
" 0943169128, 0943013568, 09795389378",Famous Tape Production,Tapes,Hmaw Bi,"Near Japan Pagoda,",Yangon Region
" 095006331, 018565127, 01565127, 09421183044",Chit Sayar,Soft Drinks/Juices & Beverages,Thingangyun,"64, Lay Daunt Kan Rd., Near Thingangyun Market, U San Phay Ward,",Yangon Region
" 09250148682, 09450046053",Nan Magite,Buttons & Sequins [Manu/Dist],South Okkalapa ,"778,Byamaso Rd.,Ward (5)",Yangon Region
 09421123489,Chit Hlaing [Ko],Soft Drinks/Juices & Beverages,Thaketa,"1085, Yan Pyay St., Corner of Yan Pyay 5th St.,Ward (2-South),",Yangon Region
" 0973191580, 01559113","Biz Trade Co.,Ltd.",Soft Drinks/Juices & Beverages,Thaketa,"14, Yadanar Pon 5th St., Yadanar Pon Housing,",Yangon Region
" 095101371, 0931906546, 01401013 [Res]",Cherry,Soft Drinks/Juices & Beverages,Mingalar Taung Nyunt,"30, 118th St., Yae Twin Gone Ward,",Yangon Region
" 09253512791, 095173143, 01512349, 09797997350",Shwe Kainnari,Art & Craft Materials,Sanchaung,"70/A, Thiri St., Thiri Khaymar Ward,",Yangon Region
" 01554989, 01559817",Cho [Aunty],Soft Drinks/Juices & Beverages,Tarmwe,"30, Tamwe Zay Haung St., Tarmway Gyee (Kha) Ward,",Yangon Region
" 01383395, 0973165509",Road to Mandalay Ltd.,Handicraft Materials,Bahan,"48/C/3, 3rd Flr, Oak St. (Kyar Taw Ya ), Shwe Dagon Pagoda (East Entrance), Shwe Nanthar Ward,",Yangon Region
" 01523219, 095408440",Thidar [Ma],Toy Shops,Sanchaung,"26, Lin Loon St., Corner of War Kel Ma St.,Linn Loon (South) Ward,",Yangon Region
 01249119,Chit Sein [U],Soft Drinks/Juices & Beverages,Kyauktada,"144, Anawrahta Rd.,",Yangon Region
" 0943136008, 09421111038, 09253831604",Thein Than Kyaw,Toy Shops,Mingalar Taung Nyunt,"Rm 297, Shwe Mingalar Market, Car Pat Lan,",Yangon Region
 0943136008,Thein Than Kyaw,Toy Shops,Mingalar Taung Nyunt,"Rm 699,3rd Flr,Mingalar Market",Yangon Region
" 01570361, 0943195449",Chan Myae Thar,Soft Drinks/Juices & Beverages,Thingangyun,"22, Aung Thukha St., Corner of Thiri Yadanar St.,Mi Gyaung Kan Ward (3),",Yangon Region
" 01240600 Ext.4175/4709, 095038382, 0949237428, 01501663 Ext.317 [Res]",Thein Gabar,Toy Shops,Latha,"D Shed, Rm F/670, Underground, Thein Gyi Market,",Yangon Region
" 01610597, 0973061401",Thi [Daw],Toy Shops,Shwe Pyi Thar,"42/A/36, No.(4) Main Rd., Ward (1),",Yangon Region
" 09421111038, 0943136008",Thein Than Kyaw,Toy Shops,Mingalar Taung Nyunt,"Rm 239,2nd Flr,Mingalar Market",Yangon Region
" 0973000652, 095132681",Cho Mya,Soft Drinks/Juices & Beverages,South Okkalapa ,"106/2, Khwar Nyo St., Ward (14/3),",Yangon Region
 09420317322,Rakhine Lay,Television Sales & Services,Insein,"Thura St.,Corner of Mingalar St.,Phawh Kan Ward",Yangon Region
 09456221832,Power,Television Sales & Services,East Dagon,"825, Yadanar St., Ward (5),",Yangon Region
" 01240600 Ext.4175/4709, 0931163792, 0949237428",Thein Kabar,Toy Shops,Latha,"Rm 670, D Shed, 24th St., Thein Gyi Market, Ward (8),",Yangon Region
" 0973093303, 0973231705",Phoo Pwint Aung,Television Sales & Services,Insein,"L/13, Bawdi Nyaung Pin St., Corner of Lower Mingalardon Rd.,Phawh Kan Ward,",Yangon Region
 0931284568,Phone [Ko],Television Sales & Services,Kyauktada,"187, 36th St., Upper Middle Block,",Yangon Region
 09254311889,Dagon Thidar,Soft Drinks/Juices & Beverages,North Dagon,"24, Bo Min Yaung Rd., Corner of Thakhin Phoe Hla Gyi St.,Near Gate Haung, Ward (43),",Yangon Region
" 09421018135, 0973035342, 09798444639",Cherry Zaw,Soft Drinks/Juices & Beverages,Mingalar Taung Nyunt,"6, 123th St., Tha Pyay Gone Ward,",Yangon Region
" 0943064934, 095197209",Chan Thar,Soft Drinks/Juices & Beverages,North Okkalapa ,"215, May Darwi Rd., Za Gwel Ward,",Yangon Region
 0931071086,Thein Aye [U],Toy Shops,Insein,"785/A, Ywar Lel St., Sint Ngu Ward,",Yangon Region
" 01592080, 01592380, 09420045490","Dagon Kyaw Co.,Ltd.",Soft Drinks/Juices & Beverages,Dagon Seikkan,"36/B, Yaw Ah Twin Wun U Pho Hlaing St., Industrial Zone,",Yangon Region
" 01685252, 01681745, 01685095, 01685158, 095111766",Coca-Cola Pinya Beverages Myanmar Ltd.,Soft Drinks/Juices & Beverages,Hlaing Thar Yar,"37/38,Bamaw Ah Twin Wun St.,Industrial Zone (3)",Yangon Region
" 01291400, 09252430244",Dana Wai Sar,Soft Drinks/Juices & Beverages,Pazundaung,"9/17, Rm 6, Anawrahta Rd.,",Yangon Region
" 09420291552, 09795722081",Pyae Kyaw,Television Sales & Services,Shwe Pyi Thar,"Bayint Naung Rd.,Near No(3) Bus Stop,Ward (9)",Yangon
" 01577565, 095194971",Cho [Ma],Soft Drinks/Juices & Beverages,Thingangyun,"149, Rm 5, Kauk Lyin St., Thuwana/29 Ward,",Yangon Region
" 01610841, 098616389","Dagon Beverages Co.,Ltd.",Soft Drinks/Juices & Beverages,Shwe Pyi Thar,"555/B, No.(4) Main Rd., Hlaw Gar, Hlaw Gar Ward,",Yangon Region
" 01376221, 01375507","Yatanarpon Teleport Public Co.,Ltd.",Telecommunication Suppliers & Equipment,Kyauktada,"124/126,1st Flr,Pansoedan St.,Lower Block",Yangon Region
 0943130923,Pauk [Ko],Television Sales & Services,Shwe Pyi Thar,"Hlaw Gar Rd., Than Lan Bus Stop, Ward (16),",Yangon Region
" 0973174871, 0973174872",VMG Group of Companies,Telecommunication Suppliers & Equipment,Hlaing,"Bldg 14, Rm 304, 2nd Flr, MICT Park,",Yangon Region
 0943026747,Coca Cola Ltd.,Soft Drinks/Juices & Beverages,Kyauktada,"65,Rm 16/A,16th Flr,Sule Pagoda Rd.,Center Point Tower",Yangon Region
" 09978763004, 0943130923",Pauk [Ko],Television Sales & Services,Shwe Pyi Thar,"Hlaw Gar Rd.,Near Than Lan,Ward (15)",Yangon Region
" 01248094, 09795277798",U-Tech,Telecommunication Suppliers & Equipment,Kyauktada,"142/144, 2nd Flr, 35th St., Upper Middle Block,",Yangon Region
" 09258817711, 09258817722, 09258817733, 09421063946",Consumer Good Myanmar Ltd.,Soft Drinks/Juices & Beverages,Lanmadaw,"71, Phone Gyee St., Middle Block,",Yangon Region
" 09420018474, 09420257733",Toy,Toy Shops,Tarmwe,"35, Thin Ga Ha St., Corner of Kyauk Myaung St.,Kyauk Myaung (Upper) Ward,",Yangon Region
" 095197672, 0973055735",Toy & 21,Toy Shops,Dagon,"Rm 3094, 2nd Flr, Taw Win Centre,",Yangon Region
" 09250053699, 095059365, 01240600 Ext.4278",Toe Wai,Toy Shops,Latha,"D Shed, Rm F/413, G Flr, Thein Gyi Market,",Yangon Region
" 0943134882, 0973118129, 09254530037",Seven Star,Television Sales & Services,Mingalar Taung Nyunt,"Rm R-24, G Flr, Yuzana Plaza,",Yangon Region
,Toe [U],Toy Shops,North Okkalapa ,"113, Setka Wut St., Corner of Setka Wut 5th St.,Za Myin Zwel Ward,",Yangon Region
" 095065860, 0973004708",Y Talk,Telecommunication Suppliers & Equipment,Tarmwe,"434, 1st Flr, Banyar Dala Rd., Byine Kwet Thit Ward,",Yangon Region
" 09259527637, 09259527638","Yadanarbon Fibre Co.,Ltd. [YOFC]",Telecommunication Suppliers & Equipment,Mayangone,"125/B5/B6, Bo Saw Aung St., Ward (5),",Yangon Region
" 01580007, 095073149",Saw Hlaing [U],Television Sales & Services,East Dagon,"798, Tapin Shwe Htee St., Ward (8),",Yangon Region
 0973040918,Too Too Mar [Ma],Toy Shops,South Okkalapa ,"14, Mya Lay St., Ward (14/1),",Yangon Region
" 098628751, 01612754",Eaint Hmue,Soft Drinks/Juices & Beverages,Hlaing Thar Yar,"43/A, Mandalay St., Ward (14),",Yangon Region
" 0973094307, 0973068159, 0949215794, 0973031994","Dragon One Co.,Ltd.",Soft Drinks/Juices & Beverages,Hlaing,"92, Dhama Thukha Kyaung St., Ward (13),",Yangon Region
" 0973007832, 09252030299",Doh Khit,Soft Drinks/Juices & Beverages,Hlaing Thar Yar,"173, Bogyoke Aung San St., Ward (1),",Yangon Region
" 0973032565, 0973032567",Dream Light,Soft Drinks/Juices & Beverages,Thingangyun,"122/A, Tapin Shwe Htee St., Kyee Pwar Yay Ward,",Yangon Region
" 01225922, 095419241",Diamond,Soft Drinks/Juices & Beverages,Lanmadaw,"69,Kaing Dan St.,Lower Block",Yangon Region
 0931073169,Diamond,Soft Drinks/Juices & Beverages,Insein,"121, Hlaing River Rd., Zay Gone (West) Ward,",Yangon Region
" 0943202685, 095056437",Doh Khit,Soft Drinks/Juices & Beverages,Hlaing Thar Yar,"64/A/B, Mandalay St., Ward (13),",Yangon Region
" 095158523, 0973094307","Dragon One Engineering & Mfg Co.,Ltd.",Soft Drinks/Juices & Beverages,Hlaing,"92, Dhama Thukha Kyaung St., Ward (13),",Yangon Region
