name,category,street,contact,state,township
Arkar,Refrigerators & Freezers Sales & Services,"175,Bo Aung Kyaw St.,Lower Middle Block"," 01256947, 0973077263",Yangon Region,Kyauktada
Air King,Refrigerators & Freezers Sales & Services,"651, May Darwi Rd., Sa Lein Ward,"," 09440199280, 09972302981",Yangon Region,North Okkalapa 
Pyi Thin Kyaw,Cleaning Equipment,"3 Shed, Rm 5/6, Pearl 6th St., Sawbwargyi Gone Warehouses,"," 01646525, 095088217, 09261204466, 09793088217",Yangon Region,Insein
Queen,Soft Drinks/Juices & Beverages,"21, Rm 3, Yaw Min Gyi St., Yaw Min Gyi Ward,", 01240826,Yangon Region,Dagon
A-N-T,Refrigerators & Freezers Sales & Services,"151, Yangon-Insein Rd., Ward (2),"," 09420165637, 0933803035",Yangon Region,Mayangone
Lin Phone San,Wooden Products & Hardwood Shops,"268, Bayint Naung Rd., Ward (10),"," 0973054594, 09252075129, 09799732328, 09253681499",Yangon Region,Shwe Pyi Thar
Air Conditions Care Group,Refrigerators & Freezers Sales & Services,"465, Nga Moe Yeik 5th St., Nga Moe Yeik Ward,"," 09258622118, 09795626260",Yangon Region,Thingangyun
200,Refrigerators & Freezers Sales & Services,"200, Seikkanthar St., Upper Middle Block,"," 01252275, 09450022637, 095079743, 0931286334",Yangon Region,Kyauktada
Ah Mae Thar,Refrigerators & Freezers Sales & Services,"23, Byamaso Rd., Corner of Zar Ga 16th St.,Ward (4),", 09421007879,Yangon Region,South Okkalapa 
Quality,Electrical Goods Sales,"90, Kyun Taw Rd., Kyun Taw (Mid) Ward,", 0931058960,Yangon Region,Sanchaung
Asahi Sangyo Kaisha Ltd.,Washing Machines Sales & Repair,"170/179,Rm 709,7th Flr,Bo Aung Kyaw St.,MGW Centre", 01256520,Yangon Region,Botahtaung
3 Star,Refrigerators & Freezers Sales & Services,"425, Bayint Naung Rd., Nawarat Clinic Shop Room, Ward (8),"," 09420241654, 09420292536",Yangon Region,Shwe Pyi Thar
T.M.T Trading,Welding Equipment & Services,"Bldg F/S/9, Bayint Naung Rd., Shwe Marlar Yeikmon,"," 01515132, 01515204",Yangon Region,Kamayut
Soe Kyi [U],Welding Equipment & Services,"76, Pan Hlaing St., Industrial Zone (2),"," 095066242, 09253834283",Yangon Region,South Dagon
Shwe Pyi Hein,Welding Equipment & Services,"1 Shed, Rm 18, Insein Market,", 09421067981,Yangon Region,Insein
Pyan Hlwar,Electrical Goods Sales,"4/A, Parami Rd., Near Chaw Dwin Gone Junction, Ward (10),"," 01663329, 01650522, 01657901, 09250528828",Yangon Region,Mayangone
Pyae Sone,Building Materials,"1196/A, Hlaw Gar Rd., Ward (70),"," 09250642788, 09254391404, 09448017193, 095053911",Yangon Region,South Dagon
Snow King,Washing Machines Sales & Repair,"298/A, Khay Mar Thi Rd., Ga Gyi Ward,"," 0933322397, 095505967",Yangon Region,North Okkalapa 
Sun Light,Washing Machines Sales & Repair,"618, Tha Khin Ba Sein St.  , Ward (28),", 0973030035,Yangon Region,North Dagon
Pyi Hein Soe,Building Materials,"28/Ma, Min Gyi Rd., Near High Park Bus Stop, Taung Thu Gone Ward,", 0930385296,Yangon Region,Insein
"Summit Goal Co.,Ltd. [Head Office]",Welding Equipment & Services,"15/B,De Pe` Yinn Wun Htauk U Mye` St.,Industrial Zone (1)"," 01684226, 01684227, 01680890, 09420011196",Yangon Region,Hlaing Thar Yar
Royal,Washing Machines Sales & Repair,"828, U Wisara Rd., Ward (34),"," 09421054044, 09253226988, 09799170477",Yangon Region,North Dagon
SKK,Washing Machines Sales & Repair,"117, Maha Thukhitar St., Gyoh Gone (East) Ward,"," 09421063394, 09260231415",Yangon Region,Insein
Saw Yin [Daw],Building Materials,"27, Lay Daunt Kan Rd., Lay Daunt Kan Ward,"," 01579582, 09798436579",Yangon Region,Thingangyun
Saydanar,Electrical Goods Sales,"52, Yae Kyaw St.,"," 0973125368, 09250801824",Yangon Region,Pazundaung
"SDB General Trading Co.,Ltd.",Export & Import Companies,"Rm 8, Anawrahta Rd., Anawrahta Housing,"," 01295648, 095005271, 09965005271",Yangon Region,Pazundaung
Sann Thit,Electrical Goods Sales,"503/A, Anawrahta Rd., Ward (20),"," 09799747247, 09440064584",Yangon Region,Hlaing Thar Yar
Sow,Welding Equipment & Services,"10 Shed, Rm 94, Bayint Naung Market,", 09421008447,Yangon Region,Mayangone
"Singa Systems Co.,Ltd.",Welding Equipment & Services,"Bldg C/1, Rm 203, Bo Hmu Ba Htoo Rd., Bo Hmu Ba Htoo Housing,", 09779727097,Yangon Region,North Dagon
Saydanar,Electric Motors & Dynamo Sales & Repair,"40, 123th St., Tha Pyay Gone Ward,", 09420063192,Yangon Region,Mingalar Taung Nyunt
Wa Thar,Welding Equipment & Services,"408, Kyan Sit Thar St., Near Kyaung Shae Bus Stop, Ward (26),", 09250740054,Yangon Region,Hlaing Thar Yar
Sar Kalay,Electrical Goods Sales,"165, Bagan St., Ward (53),", 09979293132,Yangon Region,South Dagon
Saydanar Shin,Electrical Goods Sales,"21/B, 108th St., Mingalar Taung Nyunt Ward,"," 09260099987, 01205844",Yangon Region,Mingalar Taung Nyunt
Tun Family,Welding Equipment & Services,"70, Bo Ba Htoo St., Ward (2),", 09979312569,Yangon Region,Hlaing Thar Yar
Tun,Welding Equipment & Services,"Rm 43, Kyun Shwe Wah St., B.E.H.S (4) Shop Room, Lay Daunt Kan Ward,"," 09420059935, 09421095191, 09421108222, 09799963039, 09799966387",Yangon Region,Mingalardon
True Star,Welding Equipment & Services,"584, Shwe Li St., Industrial Zone (2),"," 095505054, 095099451",Yangon Region,South Dagon
"Weldro Welding Products [Janitraflex Co.,Ltd.] [Showroom]",Welding Equipment & Services,"3/4, Pyi Htaung Su Rd., Industrial Zone (3),"," 0973022238, 0973036561, 0973035301",Yangon Region,South Dagon
Win Nyi Naung,Welding Equipment & Services,"D-1/300, Pazundaung Set Hmu St., Industrial Zone (3),"," 095068635, 095099375",Yangon Region,South Dagon
Tun Familiy,Welding Equipment & Services,"Rm D/1/164,Ma Lun 2nd St.,Industrial Zone (3)"," 095164704, 0973001825",Yangon Region,South Dagon
Pi [U] Mg Mg Thein & Sons,Washing Machines Sales & Repair,"7/A, Myin Taw Thar Rd., Ward (4-North),"," 01553167, 0973085170, 0973152895, 0949331851",Yangon Region,Thaketa
WeldRo,Welding Equipment & Services,"3/4,Pyi Htaung Su Rd.,Industrial Zone(2)"," 0973022238, 0973035301, 0973036561",Yangon Region,South Dagon
Sann Thawdar Tun,Electrical Goods Sales,"139, Rm 10, Bayint Naung Rd., Ward (2),"," 09450050962, 09785918072",Yangon Region,Hlaing
Tun Tauk,Welding Equipment & Services,"478, Maha Myaing St., Ward (9),", 0973128712,Yangon Region,Shwe Pyi Thar
Panda,Washing Machines Sales & Repair,"32/A,Daw Thein Tin St.,Kan Daw Kalay (North) Ward",,Yangon Region,Mingalar Taung Nyunt
Phyo [Ko],Washing Machines Sales & Repair,"1050, Htuparyon 5th St., Htu Par Yon Ward (1),"," 0943121362, 09250678942",Yangon Region,Thaketa
"Natron [Myanmar] Trading Co.,Ltd.",Washing Machines Sales & Repair,"993, Thu Mingalar Rd., Ward (4),"," 012333194, 09253021622",Yangon Region,South Okkalapa 
Zabu Hein,Welding Equipment & Services,"1 Shed, Rm 15/16, Insein Market,"," 0973210866, 09448035424",Yangon Region,Insein
Sann Nay Lin,Electrical Goods Sales,"65, Kyaung Kone 2nd St., Ward (7),"," 09421147993, 0973219129",Yangon Region,Hlaing
Mr. Air,Washing Machines Sales & Repair,"60/70, Ngu War St., Saw Yan Paing (South) Ward,"," 0973052628, 09425026380",Yangon Region,Ahlone
Sein Thone Lone,Electrical Goods Sales,"309/A, Bo Aung Kyaw St., Near 6 Tha Ma Bus Stop, Ward (13),", 095185444,Yangon Region,Hlaing Thar Yar
Sein Kabar,Electrical Goods Sales,"225, Upper Kyee Myin Daing Rd., Thar Du (East) Ward,"," 01503770, 095188938",Yangon Region,Kyeemyin Daing
Sann Yadanar,Building Materials,"Rm 26/27, Oak Pon Seik St., Nawaday Sports Ground, Ward (5),"," 09250029464, 01663767",Yangon Region,Mayangone
Sein Family,Building Materials,"256, Baho Rd., Kyun Taw (South) Ward,"," 01505919, 095159712",Yangon Region,Sanchaung
Sein Hnit Lone,Bronze & Iron Wares,"786, Bayint Naung Rd., Ward (11),"," 01610343, 0936119944",Yangon Region,Shwe Pyi Thar
Seven & Eleven,Plastic Materials & Products,"2617, Hlaw Gar Rd., Near ('222) Bustop Gate Sone, Ward (71),"," 0973110443, 09777278100",Yangon Region,South Dagon
YT,Welding Equipment & Services,"1184, Kwan Art Thar Min Thar St., Ward (90),"," 09250005799, 09254180365",Yangon Region,Dagon Seikkan
Tri One,Welding Equipment & Services,"Rm D/1/111, Ma Lun 2nd St., Industrial Zone (3),"," 095031420, 09252512490",Yangon Region,South Dagon
"Yong Power Int'l Co.,Ltd.",Welding Equipment & Services,"Bldg D, Rm 4/5, Thiri Yadanar Retail/Wholesale Market,"," 09253041627, 09253041628",Yangon Region,North Okkalapa 
Aung Thae,Refrigerators & Freezers Sales & Services,"Rm 16, Khay Mar Thi Rd., Ta Ta Lin Cheik Ward,"," 09428121362, 095177262",Yangon Region,North Okkalapa 
Seik Tine Kya,Electronic Equipment Sales & Repair,"12, U Wisara Rd., Ward (42),", 095129814,Yangon Region,North Dagon
Aung Khant Paing,Refrigerators & Freezers Sales & Services,"197, Mingalar St., Ward (13),"," 09254609124, 09795958405",Yangon Region,South Okkalapa 
YSL [Young Schoolars League Welding Supply Ltd.],Welding Equipment & Services,"128/130,1st Flr,Maha Bandoola Rd.",,Yangon Region,Pazundaung
Sein Brother,Grinding Mills,"C/261, Zaung Tu St., Industrial Zone (3),"," 095198574, 0973042050, 09450019439, 0973244103, 01591858, 01591855 Ext.5107",Yangon Region,South Dagon
Asia Engineering Group,Refrigerators & Freezers Sales & Services,"Rm 6,Gyo Phyu St.,Hpa-Sa-Pa-La Housing",,Yangon Region,Mingalar Taung Nyunt
Aung,Refrigerators & Freezers Sales & Services,"62, Taw Win St., Bawga Ward,"," 09250355278, 09420028287, 0973078447, 09450053794",Yangon Region,Kyeemyin Daing
Aung,Refrigerators & Freezers Sales & Services,"Mya Yadanar St., Between Mya Yadanar 1st St. and Mya Yadanar 2nd St.,Kha Ward,"," 09781738698, 09425022446",Yangon Region,North Okkalapa 
Shwe Eain,Cement,"158, Bargayar Rd., Infront Of Sanchaung Fire Station, Sanchaung (North) Ward,"," 01502743, 0931427055, 09797922285",Yangon Region,Sanchaung
Shu Khin Thar,Electrical Goods Sales,"Bldg B/12, Rm 001, G Flr, Shukhin Thar Myo Patt Rd., Shu Khinn Thar Housing,"," 095063640, 09776570012",Yangon Region,Thaketa
Shine Htet Hein,Building Materials,"1198, Rm 2/3, Yarza Di Yit Rd., Ward (7),"," 09420056386, 09420101415, 0931466894",Yangon Region,East Dagon
Shine,Electrical Goods Sales,"74/B, San Chaung St., Sanchaung (North) Ward,"," 0973028775, 0973790993, 095026753",Yangon Region,Sanchaung
Shwe,Building Materials,"1/2, Hlaing River Rd., Infront Of Fire Station, Zay Gone (West) Ward,"," 01641578, 01703632, 0973007442, 095001383, 095000774",Yangon Region,Insein
Shine,Electrical Goods Sales,"6/8, Rm 003, Upper Pazundaung Rd.,"," 095076344, 0973084942",Yangon Region,Pazundaung
Young Scholars League Welding Supply Ltd. [YSL],Welding Equipment & Services,"10/A, Bogalay Zay St., Lower Block,"," 01700732, 01200133, 01392216, 0930007738, 09795767350",Yangon Region,Botahtaung
Shine,Electrical Goods Sales,"15, Shukhin Thar St., Shwe Pin Lon Housing,"," 01583258, 09250505638, 09790210145",Yangon Region,North Dagon
"Young Power Electric [Young Power Int'l Co.,Ltd.]",Welding Equipment & Services,"17, Pyi Htaung Su Rd., Infront Of Ma Ya Ka Office, Ward (24),"," 01590787, 018100036, 095187541, 0973162588, 0973244895",Yangon Region,South Dagon
Seven Star,Building Materials,"429, Lower Pazundaung Rd.,"," 01203559, 09785187588",Yangon Region,Pazundaung
KMK Engineering Group,Washing Machines Sales & Repair,"9, Mani May Khalar St., Ma Gyee Dan (South-West) Ward,"," 095008418, 09795008418, 0973003729",Yangon Region,Kyeemyin Daing
Shan Ma Lay,Decorators & Decorating Materials,"247/B, Myin Taw Thar Rd., Infront Of MPPE Station, Man Pyay Ward (3),"," 09400046223, 09420182789, 09795177990",Yangon Region,Thaketa
Shin Thant,Electrical Goods Sales,"7, Pauk Kan St., Shwe Paukkan Ward (21),"," 09420294535, 09449013551",Yangon Region,North Okkalapa 
Uni,Washing Machines Sales & Repair,"1226,Nay Myo Thura St.,Myittar Nyunt Ward"," 0973067971, 09250144596",Yangon Region,Tarmwe
"Yangon HRK Industry & Trading Co.,Ltd.",Welding Equipment & Services,"Bldg N, Rm 57, Thiri Yadanar Retail/Wholesale Market,", 09440478336,Yangon Region,North Okkalapa 
"Yaung Power Int'l Co.,Ltd.",Welding Equipment & Services,"180/A, 1st Flr, Maha Bandoola Rd.,"," 01590787, 018100036",Yangon Region,Pazundaung
Aung Myint Moh,Refrigerators & Freezers Sales & Services,"317, Maha Bandoola Rd., Sea Green Tower,"," 09262229962, 098617854, 0943201847",Yangon Region,Botahtaung
OK [U Kyu Family],Warehouses [Wheat],"D/32/33, Aung Tha Pyay St., Bayint Naung Warehouses,"," 01680470, 095128361, 01680472, 01682689, 01686591",Yangon Region,Mayangone
Aung,Refrigerators & Freezers Sales & Services,"102, 7th Zay St., Corner of Shukhin Thar Myo Patt Rd.,Ward (10-South),"," 09251078630, 0973171656, 0931051909",Yangon Region,Thaketa
Shwe Lin Hlyan,Electrical Goods Sales,"61, Old Yae Tar Shae Rd., Shwe Nanthar Ward,", 0943087174,Yangon Region,Bahan
"Htun Myittar [Htun Padaethar Industries & Trading Co.,Ltd.]",Glue [Manu/Dist],"E/27, Yae Tamar St., Bayint Naung Warehouses,"," 01680102, 01703652",Yangon Region,Mayangone
Y  Win [U],Welding Equipment & Services,"202, Oak Pon Seik 1st St., North Okkalapa Bridge, Ward (8),", 0932374289,Yangon Region,Mayangone
Shwe Hlaing Bwar,Electrical Goods Sales,"12, Kyan Sit Thar St., Ward (26),"," 09450013511, 0973211331",Yangon Region,Hlaing Thar Yar
Shwe Laik Pyar,Food Stalls,"Bldg 2,Rm 004,Aung Zeya St.,Aung Zeya Housing",,Yangon Region,Insein
Golden Modern,Refrigerators & Freezers Sales & Services,"819, Bagan Rd., Near 103 Bus Stop, Shwe Paukkan Ward (12),"," 0931319363, 09254880776, 09452974655",Yangon Region,North Okkalapa 
Hla Myint [Ko],Refrigerators & Freezers Sales & Services,"Rm 3, Bo Hmu Ba Htoo Rd., Ward (43),", 09421050829,Yangon Region,North Dagon
Shwe Hanthar [U Wa Gyi],Machinery & Spare Parts Dealers,"12, Bayint Naung Yeikthar 1st St., Myo Thit (Ka/Kha) Ward,"," 095045720, 09421089150",Yangon Region,Insein
Kyu [U] [Family],Warehouses [Wheat],"490, Khay Mar Thi Rd., Ga Nge Ward,", 09253209944,Yangon Region,North Okkalapa 
Win Tun,Welding Equipment & Services,"66, Lay Daunt Kan Rd., Lay Daunt Kan Ward,"," 095174921, 095068781, 09448002607",Yangon Region,Thingangyun
Dana Myay,Interior Decoration Materials & Services,"Aung See Gone Pagoda St.,Near Kyaung Gyi Dhamar Yone,Kyaung Gyi Ward"," 0973007045, 09254999171",Yangon Region,Mingalardon
Zone,Welding Equipment & Services,"Rm 4, Inya St., Industrial Zone (2),"," 01594152, 095135059",Yangon Region,South Dagon
Heaven Ice,Refrigerators & Freezers Sales & Services,"20, Yone Gyi St., Oh Bo Ward,"," 0949229671, 09256198303",Yangon Region,Kyeemyin Daing
Zaw Zaw Aung,Welding Equipment & Services,"Pyay Rd.,Near 51 Buses Gate Compound,Pyi Daw Thar Ward"," 0943154046, 09252649246",Yangon Region,Mingalardon
Shwe Kyal Ngar Pwint,Building Materials,"Rm 4/5, Magwe St., Near Waziyar Cinema Hall, Si Pin Compound, Ward (8),"," 095302151, 01642672, 01646646",Yangon Region,Hlaing Thar Yar
Naing Lin Aye Steel Shafts Trading,Boat Equipment & Accessories,"C/268/269, Htone Bo St., Industrial Zone (3),"," 095125822, 01590609, 01590623, 098628090",Yangon Region,South Dagon
Five Star,Refrigerators & Freezers Sales & Services,"Rm 8, Than Thu Mar Rd., Ward (15),"," 01707764, 09420042032, 0973146008, 0943051580",Yangon Region,South Okkalapa 
Zaw Gyi,Welding Equipment & Services,"916/A, Bayint Naung Rd., Corner of Aung Sit Thi St.,Ward (11),"," 09421027158, 01611773",Yangon Region,Shwe Pyi Thar
Golden Crown,Refrigerators & Freezers Sales & Services,"1244, Rm 2, Thitsar Rd., Corner of Than Thu Mar Rd.,Near Sit Hmu Htan Haung Shop Room, Ward (7),"," 095088820, 0973156231",Yangon Region,South Okkalapa 
Future Cool,Refrigerators & Freezers Sales & Services,"1186, Let We Min Din St., Myittar Nyunt Ward,"," 09421018706, 09252296238, 09254875932",Yangon Region,Tarmwe
Father's Son,Refrigerators & Freezers Sales & Services,"742, Marlar Nwe St., Myittar Nyunt Ward,"," 09450117755, 09253545390, 09970304028",Yangon Region,Tarmwe
"[MIT] Myanmar Inspection & Technology Co.,Ltd.",Welding Equipment & Services,"373, Than Lwin St., Industrial Zone (2),"," 09253541895, 09799167126",Yangon Region,South Dagon
"Golden Star Trading [Welding Master Int'l Trading Co.,Ltd.]",Machinery & Spare Parts Dealers,"Bldg 1, Rm 3/4/5/6, Pyi Htaung Su Rd., Myoe Oo Yeikmon Housing, South & North Junction,"," 01590272, 01590790, 095161224",Yangon Region,South Dagon
Shwe Family,Electrical Goods Sales,"8/B, Anawrahta Rd., Ward (18),"," 09421141855, 0973125139, 098616686",Yangon Region,Hlaing Thar Yar
Byar La,Refrigerators & Freezers Sales & Services,"375,Lower Mingalardon Rd.,Near No(1) Bus Stop,Sint Ngu Ward"," 0931783980, 09421072004",Yangon Region,Insein
Shwe Latt Wah,Building Materials,"52, Si Pin Rd., Near Thit Sai Curve Bus Stop, Ward (24),"," 01590574, 018100570, 0973089511",Yangon Region,South Dagon
Shwe Eain San,Tiles [Wall/Floor],"1267, Yadanar Rd., Corner of Daywaha St.,Ward (13),"," 01566491, 018550534, 09975121158, 095121158",Yangon Region,South Okkalapa 
ELBAService Centre,Refrigerators & Freezers Sales & Services,"24, 52nd St., Lower Block,"," 01201828, 01200316, 0973078322, 0973208284",Yangon Region,Botahtaung
Moon Star,VCD/DVD & Tapes Rental Services,"839, Tapin Shwe Htee St., Ward (8),"," 01584522, 0973161412",Yangon Region,East Dagon
Shwe Hinthar,Air Compressor Sales & Manufacturers,"40/44, G Flr, 54th St., Upper Middle Block,"," 01293172, 095177301, 01590805, 095177295",Yangon Region,Pazundaung
Moon Star,VCD/DVD & Tapes Rental Services,"42, 120th St., Yae Twin Gone Ward,"," 09975441656, 09798155066",Yangon Region,Mingalar Taung Nyunt
Htun Myittar,,"167, Lanmadaw St.,"," 01251008, 01251137",Yangon Region,Lanmadaw
Lewe,Wooden Products & Hardwood Shops,"147, Anawrahta Rd., Corner of Saya San St.,Industrial Zone (5),"," 01688366, 01688388, 01688399, 01688446, 098633432",Yangon Region,Hlaing Thar Yar
"Kyi Kyi [Royal Kyi Kyi Co.,Ltd.]",Wooden Products & Hardwood Shops,"55, Thamain Bayan Rd., Nat Chaung Ward,"," 01546877, 01555414, 095180625, 09264834500",Yangon Region,Tarmwe
KMO Group,Refrigerators & Freezers Sales & Services,"Bldg 55, Rm 4, Upper Pansoedan Rd., Hpa-Sa-Pa-La Housing,"," 0973183553, 0943172483, 09450011483",Yangon Region,Mingalar Taung Nyunt
Mother Image,VCD/DVD & Tapes Rental Services,"827,Sagaing St.,Ward (5)", 01571649,Yangon Region,South Okkalapa 
KmK,Refrigerators & Freezers Sales & Services,"Rm 1, Min Nandar Rd., Si Pin Shop Room, Ward (2-North),"," 09420253141, 09420253142, 0973009262",Yangon Region,Thaketa
King,Refrigerators & Freezers Sales & Services,"714, Kamahtan St., Myittar Nyunt Ward,"," 0949237177, 09262632263",Yangon Region,Tarmwe
Kaung Thu Hein,Refrigerators & Freezers Sales & Services,"727/A, Khay Mar Thi Rd., Ka Ward,"," 09421138993, 09796832361",Yangon Region,North Okkalapa 
Kyin Thein [U],Wooden Products & Hardwood Shops,"391, Shwe Wah Tun 6th St., Corner of Paw San Hmwe 6th St.,Ward (12),"," 0931570888, 09420292267",Yangon Region,Hlaing Thar Yar
Call Us,Refrigerators & Freezers Sales & Services,"1053, 7th Zay St., Corner of Aung Tha Pyay St.,Ward (7-East),"," 09254202657, 09263058910, 09402575601, 09420106597",Yangon Region,Thaketa
La Pyae Wun,Wooden Products & Hardwood Shops,"663, Min Ye Kyaw Swar Rd., Ward (44),"," 095051601, 01581504, 018010355",Yangon Region,North Dagon
Hla Tun Family,Warehouses [Wheat],"F/21-B, Ngu War St., Bayint Naung Warehouses,"," 01680243, 095104056",Yangon Region,Mayangone
IC Group,Refrigerators & Freezers Sales & Services,"48, Zingama Rd., Anawmar Bus Stop, Ward (2-North),"," 09425308206, 09967805242",Yangon Region,Thaketa
Myo,VCD/DVD & Tapes Rental Services,"28, Pyi Daw Thar St., Ward (10),", 09976866132,Yangon Region,Shwe Pyi Thar
Myint Wun Thit,VCD/DVD & Tapes Rental Services,"Ywar Lel St.,Da Nyin Gone Ward", 09254517294,Yangon Region,Insein
Kyaw Zin Tun [Ko],Refrigerators & Freezers Sales & Services,"523, Man Pyay St., Corner of Man Pyay 12th St.,Man Pyay Ward (3),"," 09420008007, 09262623485",Yangon Region,Thaketa
Hsu Latt,Refrigerators & Freezers Sales & Services,"Bldg 35, Sein Pan St., Kyan Sit Thar Housing,", 09250848004,Yangon Region,Hlaing Thar Yar
Myint Moh Taing Aung,VCD/DVD & Tapes Rental Services,"17,Bo Nyar Na St.,9 Mile,Ward (5)"," 09254551876, 0943070882",Yangon Region,Mayangone
Myint Moh,VCD/DVD & Tapes Rental Services,"Aung Chan Thar St.,Corner of Aung Chan Thar 5th St.,Ward (7-West)", 09254545856,Yangon Region,Thaketa
Myittar Yeik,VCD/DVD & Tapes Rental Services,"291/A, Ta Pin Shwe Htee St., Ward (1),",,Yangon Region,Hlaing Thar Yar
Myat Wun Thit,VCD/DVD & Tapes Rental Services,"Bldg 4, Rm 001, Kha Yae Pin St., Kyan Sit Thar Housing,", 09254913296,Yangon Region,Hlaing Thar Yar
Myat Kyae Zue,VCD/DVD & Tapes Rental Services,"Sabei St., Corner of Sabei 4th St., Hta Wun Bae Ward,", 09421006016,Yangon Region,North Okkalapa 
Myint Myat,VCD/DVD & Tapes Rental Services,"204/B,Aung Zeya St.,Ward (4-North)", 0973140764,Yangon Region,Thaketa
Myat Noe Thu,VCD/DVD & Tapes Rental Services,"Nwe Ni St.,Corner of Nwe Ni 11th St.,Nga Ward",,Yangon Region,North Okkalapa 
Ice Line,Refrigerators & Freezers Sales & Services,"Rm 7, Yamonnar Rd., Si Pin Shop Room, Yan Pyae Ward (3),"," 09420011240, 09401568388, 09799247690",Yangon Region,Thaketa
Hlaing Bwar,Refrigerators & Freezers Sales & Services,"851, Thu Mate Tar 22nd St., Ward (1),"," 09440722815, 09799504374, 09450391960, 09253256336",Yangon Region,North Okkalapa 
"Shwe Paing Htike Trading Co.,Ltd.",Pipes & Pumps Accessories,"96 Shed, Rm 1~5, Nilar 4th St., Sawbwargyi Gone Warehouses,"," 01642063, 01646568, 095070168",Yangon Region,Insein
Shwe Taw Win,Building Materials,"371, Kyaikkasan Rd., Tarmway Gyee (Kha) Ward,"," 095120132, 09972095625, 09794824574",Yangon Region,Tarmwe
Kyaw Thein [U],Wooden Products & Hardwood Shops,"950, Maha Bandoola St., Ward (104),", 0973220914,Yangon Region,South Dagon
Myat Thitsar,VCD/DVD & Tapes Rental Services,"9, Marlar Myaing 9th St., Ward (16),"," 098613747, 09421077192",Yangon Region,Hlaing
Shwe Min Thar,Electrical Goods Sales,"Bldg 9, Rm D, Waiza Yan Tar Rd., Waizayantar Garden Housing,", 095051248,Yangon Region,Thingangyun
Shwe Myint Moh,Electrical Goods Sales,"720/D, Bayint Naung Rd., Ward (30),"," 0943043178, 095140650",Yangon Region,North Dagon
K.T.A Engineering Group,Refrigerators & Freezers Sales & Services,"12, Mandalay St., Kan Daw Kalay (South) Ward,"," 09253717329, 0973103508, 0931041411",Yangon Region,Mingalar Taung Nyunt
Shwe Nyi Ko,Electrical Goods Sales,"Waziyar St., Between Waziyar 4th St. and Waziyar 5th St., Sa Lone Ward,", 09455631123,Yangon Region,North Okkalapa 
Shwe Min Thar,Interior Decoration Materials & Services,"Rm 3, Pearl 4th St., Sawbwargyi Gone Warehouses, Saw Bwar Gyi Gone Ward,",,Yangon Region,Insein
Modern,Refrigerators & Freezers Sales & Services,"867, Htuparyon St., Corner of Htuparyon 14th St.,Htu Par Yon Ward (1),"," 09420137670, 09250071327",Yangon Region,Thaketa
MMZ,Refrigerators & Freezers Sales & Services,"Rm 6, Lower Mingalardon Rd., B.E.H.S (3) Shop Room, Aung San Ward,"," 09420081680, 0933493273",Yangon Region,Insein
"Midea [VSK Int'l Co.,Ltd.]",Refrigerators & Freezers Sales & Services,"227, Kyaikkasan Rd., Corner of 151st St.,Byine Ywar Ma Ward,"," 0973042598, 09799243518",Yangon Region,Tarmwe
Nan Taw,VCD/DVD & Tapes Rental Services,"6, Bo Tun Linn St., Bo Sein Hman Ward,", 0973016346,Yangon Region,Bahan
Min Thar Gyi,Refrigerators & Freezers Sales & Services,"Bldg S/H/99, Rm 7, Kyan Sit Thar St., Nawaday Shop House,"," 09453192481, 09780556279",Yangon Region,Hlaing Thar Yar
Mingalar,Refrigerators & Freezers Sales & Services,"Rm 6, Wai Hin St., Ma-Hta-Tha Car Compound Shop Room, Wai Bar Gi Ward (3),"," 09420778190, 09798260706",Yangon Region,North Okkalapa 
Maung Maung [U] & Sons,Refrigerators & Freezers Sales & Services,"10, Kyaikkasan Rd., Infront Of B.E.H.S (1), Ma U Gone Ward,", 0973082840,Yangon Region,Tarmwe
Shwe Wah Tun [Thein Than Family],Warehouses [Vermicelli],"D/17, Aung Tha Pyay St., Bayint Naung Warehouses,"," 01680417, 095107872, 01682548",Yangon Region,Mayangone
Miba Myittar,Refrigerators & Freezers Sales & Services,"Rm 19, Lower Mingalardon Rd., B.E.H.S (3) Shop Room, Aung San Ward,", 09420154432,Yangon Region,Insein
Star Dragon,Electrical Goods Sales,"559, Kaba Aye Pagoda Rd., Near Kaba Aye Pagoda Bus Stop, Ward (8),"," 01663814, 095018383, 09250931297",Yangon Region,Mayangone
Shwe Kyal,Warehouses [Vermicelli],"F/21-A, Ngu War St., Bayint Naung Warehouses,"," 01680021, 095404544, 095100139, 0973052770",Yangon Region,Mayangone
Shwe Sin,Warehouses [Vermicelli],"SH/14, Kyun Shwe Wah St., Bayint Naung Warehouses,"," 01686440, 0943066717",Yangon Region,Mayangone
Shwe Sann [1],Electrical Goods Sales,"Bldg 359, Rm 3, Yan Shin St., Ward (5),"," 0973096931, 09250008101",Yangon Region,Yankin
Min Thiha,Wooden Products & Hardwood Shops,"403, Tapin Shwe Htee St., Corner of Nga Htin Nge St.,Ward (12),"," 0943115577, 09253250646",Yangon Region,East Dagon
Aung Nyi Naung,Warehouses [Vegetable],"Nga Shed, Rm 75/79, Thiri Mingalar Market,"," 019688588, 095071914, 0973003467, 019688577",Yangon Region,Hlaing
Aung Sann Myint [U],Warehouses [Vegetable],"Ga Nge Shed, Rm 91/92, Thiri Mingalar Market,"," 0973107440, 0943138358",Yangon Region,Hlaing
