name,street,category,township,contact,state
"APL Logistics [Myanmar] Co.,Ltd.","Rm 104,1st Flr,La Pyayt Wun Plaza",Logistics Services,Dagon(Dagon),tel: 01-377502,Yangon Region
Han Tun [Ko],"900, Yadanar Pon St., Ward (22),",Kitchenwares,South Dagon(South Dagon),tel: 09-457389653,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"66, Lay Daunt Kan Rd., Near Zawana Bus Stop, (Sa-Lone/Thu Mingalar) Ward,",Lotteries,Thingangyun(Thingangyun),"tel: 09-420011981,tel: 09-73014011",Yangon Region
Happycall,"Bldg 15, Rm 103, G Flr, MICT Park,",Kitchenwares,Hlaing(Hlaing),"tel: 01-507043,tel: 01-507047,tel: 01-507215~6",Yangon Region
Farfalla,"113, West Race Course Rd., Kyaikkasan Ward,",Kitchenwares,Bahan(Bahan),tel: 01-548670,Yangon Region
fng,"1, Nga Mout St., Kyaikkasan Ward,",Kitchenwares,Bahan(Bahan),tel: 09-5050847,Yangon Region
Innwa Bank [*Head Office],"550/552, Merchant Rd.,",Mobile Banking,Kyauktada(Kyauktada),"tel: 01-256254,tel: 01-391131~2,tel: 01-391135,tel: 01-391137",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"124, Anawrahta Rd.,",Lotteries,Kyauktada(Kyauktada),tel: 09-450161221,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Kyoe Tadar St.,Ta Ta Lin Cheik Ward",Lotteries,North Okkalapa (North Okkalapa ),"tel: 09-73113492,tel: 09-790140937",Yangon Region
"Bring The Best Co.,Ltd.","79/1, Pyin Ma Myaing St., Ward (23),",Logistics Services,Thingangyun(Thingangyun),"tel: 01-2335358,tel: 01-2333966",Yangon Region
Happy Call,"Rm B/19, Underground, Myanmar Culture Valley, People's Park Compound, Pyay (East) Ward,",Kitchenwares,Dagon(Dagon),tel: 09-253056423,Yangon Region
"Adept Myanmar Co.,Ltd.","68/A, U Maung Maung Chan St., Ward (10),",Mobile Banking,Hlaing(Hlaing),tel: 09-262099361,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"211/B,Baho Rd.,Linn Loon (North) Ward",Lotteries,Sanchaung(Sanchaung),,Yangon
CB Bank [Co-Operative Bank Ltd.][Dawbon Branch],"47, Min Nandar Rd., Corner of Shwe Wah Tun St., Bo Htun Zan Ward,",Mobile Banking,Dawbon(Dawbon),,Yangon
Moe Yan Shwe Lamin & Myat Su Kaday,"456, Tharaphi St., Ward (34),",Lotteries,North Dagon(North Dagon),"tel: 09-254314478,tel: 09-448013698",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Bldg 1, Rm 003, G Flr, Yadanar Lan Thit Rd., Tet Lan Housing, Ward (10-South),",Lotteries,Thaketa(Thaketa),"tel: 09-790211296,tel: 09-798177554,tel: 09-73115614",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Thu Dhamar Rd., Corner of Wai Bar Gi St., Nya Ward,",Lotteries,North Okkalapa (North Okkalapa ),tel: 09-422445348,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"36/B, Kyar Kwet Thit St., Corner of Seikta Thukha St.,Pathein Nyunt Ward,",Lotteries,Tarmwe(Tarmwe),tel: 01-430349,Yangon Region
Kaung,"489/A, Anawrahta Rd., Ward (20),",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-31307419,tel: 09-252401613",Yangon Region
Kaung Pyae Sone,"79, G Flr, 125th St., Tha Pyay Gone Ward,",Kitchenwares,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-205396,tel: 01-290003,tel: 09-5090668",Yangon Region
India Store,"322, Shwe Bon Tha St., Upper Middle Block,",Kitchenwares,Pabedan(Pabedan),"tel: 09-5155852,tel: 09-43139705",Yangon Region
"International Equal Co.,Ltd.","Rm 3/A, 3rd Flr, Sein Gay Har Parami Centre,",Kitchenwares,Hlaing(Hlaing),"tel: 01-522637,tel: 01-522638,tel: 01-522639,tel: 01-522640",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"461, Merchant Rd.,",Lotteries,Botahtaung(Botahtaung),tel: 09-260071730,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"349, Bayint Naung Rd., Corner of Ka 7th St.,Near Myoe Thit Market, Myo Thit (Ka/Kha) Ward,",Lotteries,Insein(Insein),tel: 09-73021490,Yangon Region
Htate Tan,"33, Shwe Hnin Si St., Corner of Pyi Daw Thar 7th St.,Pa-La-Ya Ward,",Kitchenwares,Mingalardon(Mingalardon),tel: 09-254189032,Yangon Region
"K-Sink Co.,Ltd.","27,Rm A/80,Bayint Naung Rd.,Shwe Pin Lon Housing",Kitchenwares,North Dagon(North Dagon),"tel: 09-420112991,tel: 09-420112993",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"U Pu Nya St.,Ward (7)",Lotteries,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-420185736,Yangon Region
CB Bank [*Head Office],"334/336, Strand Rd.,",Mobile Banking,Latha(Latha),"tel: 01-1874 [Call Centre],tel: 01-379974,tel: 01-379973,tel: 01-372655,tel: 01-373424",Yangon Region
Hnin Yati Lin,"542, Mahaw Gani St., Kyan Sit Thar Housing,",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-30394921,tel: 09-32850022",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"15, Yangon-Insein Rd., Corner of Butar Yon St.,Ward (9),",Lotteries,Hlaing(Hlaing),tel: 01-537920,Yangon Region
Htet Nay Lin,"Rm 280/281/310,3rd Flr,Mingalar Market",Kitchenwares,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-73009356,tel: 09-5071858",Yangon Region
Htar [Daw],"1052, Maha Bandoola Rd., Ward (44),",Kitchenwares,North Dagon(North Dagon),"tel: 09-73129270,tel: 09-790143391",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"1/B, Bo Aung Kyaw St., Ward (16),",Lotteries,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-401600338,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Rm 1, Myittar Rd., Corner of Thiri Nandar St.,G.E.C Shop Room, Ward (10),",Lotteries,South Okkalapa (South Okkalapa ),"tel: 09-32037631,tel: 09-43173186",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"369, Hlaw Gar Rd., Ward (19),",Lotteries,South Dagon(South Dagon),tel: 09-49501425,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"48, Set Yon Rd. (Mill Rd.), Yae Twin Gone Ward,",Lotteries,Mingalar Taung Nyunt(Mingalar Taung Nyunt),tel: 09-422462377,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"350, Nwe Thar Gi St., Corner of Nwe Thar Gi 6th St.,Ka Ward,",Lotteries,North Okkalapa (North Okkalapa ),"tel: 09-73206805,tel: 09-401600345",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Bldg 5,Rm 2,Kaba Aye Pagoda Rd.,Shwe Gon Yeikmon Housing",Lotteries,Bahan(Bahan),,Yangon
Kitchen Zone,"Rm 83, 3rd Flr, Mingalar Market,",Kitchenwares,Mingalar Taung Nyunt(Mingalar Taung Nyunt),,Yangon Region
Khon Sein [U],"C Shed, Rm 52/59, Insein Market,",Kitchenwares,Insein(Insein),tel: 09-799775877,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"1062, Thudhamar Rd., Corner of Thandar St.,Nga Ward,",Lotteries,North Okkalapa (North Okkalapa ),"tel: 09-73045721,tel: 09-799082245",Yangon Region
Khin Myint [Daw],"25/B, 50ft St., Ward (3),",Kitchenwares,Kamayut(Kamayut),"tel: 09-30098128,tel: 09-976329197",Yangon Region
Khaing Myel,"7, Maha Bandoola Rd., Ward (45),",Kitchenwares,North Dagon(North Dagon),"tel: 09-452602724,tel: 09-785245597",Yangon Region
Kitchen City,"744, Rm B/13, G Flr, Lanmadaw St., Lanmadaw Plaza,",Kitchenwares,Latha(Latha),"tel: 09-5071537,tel: 01-395563,tel: 09-709661,tel: 09-49209277,tel: 09-5010688",Yangon Region
Hnin Pwint Phyu,"Kyauk Sein St.,Near Padamyar Market,Padamyar Myoe Thit",Kitchenwares,Mingalardon(Mingalardon),"tel: 09-43116248,tel: 09-450047281",Yangon Region
Kaung San Thar,"1, P Moe Ninn St., Ward (1),",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-36031027,tel: 09-253409909",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"301, Anawrahta Rd.,",Lotteries,Pabedan(Pabedan),tel: 01-250082,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"352,Thu Mingalar Rd.,Ward (9)",Lotteries,South Okkalapa (South Okkalapa ),"tel: 01-566206,tel: 01-572486,tel: 09-73000747",Yangon Region
Kaung San,"19,Tha Kywe St.,Pathein Nyunt Ward",Kitchenwares,Tarmwe(Tarmwe),tel: 09-5089982,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Rm C/1, Kaba Aye Pagoda Rd., Inside Kaba Aye Pagoda Compound, Ward (7),",Lotteries,Mayangone(Mayangone),tel: 09-5052238,Yangon Region
Khin Zaw [Ko],"3, U San Phay St., U San Phay Ward,",Kitchenwares,Thingangyun(Thingangyun),tel: 09-32053339,Yangon
"Awards Logistics Co.,Ltd.","20/A, Rm 302, 2nd Flr, Shwe Gon Daing (West) 4th St., Shwe Gon Daing (West) Ward,",Logistics Services,Bahan(Bahan),"tel: 09-258611110,tel: 09-73191484,tel: 09-252928526,tel: 09-254123578",Yangon Region
"Bee Logistics [Myanmar] Co.,Ltd.","514/516, Rm 7A, 6th Flr, Merchant Rd.,",Logistics Services,Kyauktada(Kyauktada),"tel: 01-370398,tel: 09-254386300,tel: 09-254394041",Yangon Region
Bangda Int'l Logestic,"Kyaik Waing Pagoda Rd., Myaing Hay Wun Housing,",Logistics Services,Mayangone(Mayangone),"tel: 09-250288881,tel: 01-650776,tel: 09-32420000,tel: 09-32421111",Yangon Region
"Awards Container Lines Co.,Ltd.","20/A, Rm 302, 2nd Flr, Shwe Gon Daing (West) 4th St., Shwe Gon Daing (West) Ward,",Logistics Services,Bahan(Bahan),"tel: 09-258611110,tel: 09-73191484,tel: 09-252928526,tel: 09-254123578",Yangon Region
"Bollore Logistics Myanmar Co.,Ltd.","Rm 802,8th Flr,Kyaik Waing Pagoda Rd.,Myaing Hay Wun Condo, Tower A",Logistics Services,Mayangone(Mayangone),"tel: 01-651061,tel: 01-652008,tel: 01-651009",Yangon Region
Kyin Hla [Daw],"51, Kyauk Sein St., Padamyar Myoe Thit,",Kitchenwares,Mingalardon(Mingalardon),"tel: 09-43024318,tel: 09-43124318",Yangon Region
Awards Group of Companies,"20/A, Rm 302, 2nd Flr, Shwe Gon Daing (West) 4th St., Shwe Gon Daing (West) Ward,",Logistics Services,Bahan(Bahan),"tel: 09-258611110,tel: 09-73191484,tel: 09-252928526,tel: 09-254123578",Yangon Region
Kyaw Sann [U],"113, Min Ye Kyaw Swar St., Corner of Thamaing Butar Yon 8th St.,Ward (1),",Kitchenwares,Mayangone(Mayangone),tel: 09-73001151,Yangon Region
Ben Line Agencies [Myanmar] Ltd.,"Rm 101, 1st Flr, Shwe Dagon Pagoda Rd., MWEA Tower,",Logistics Services,Dagon(Dagon),"tel: 01-384293,tel: 01-370987,tel: 09-250074957",Yangon Region
"Bravely [Myanmar] Transport and Logistics Co.,Ltd.","Rm 901, 9th Flr, La Pyayt Wun Plaza,",Logistics Services,Dagon(Dagon),"tel: 01-379292,tel: 01-370835,tel: 01-379599,tel: 01-384749",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"24, Kamar Kyi Rd., Corner of Aung Zeya St.,Yangon Thit Ward,",Lotteries,Thingangyun(Thingangyun),tel: 09-73031855,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"773/B, U Pu Nya St., Corner of Mandalay St.,Ward (14),",Lotteries,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-32172636,tel: 09-420185736",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"1/A, Min Gyi Rd., Railways Office Compound, Nant Thar Gone Ward,",Lotteries,Insein(Insein),tel: 09-778647813,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"465/469, Maha Bandoola Rd.,",Lotteries,Pabedan(Pabedan),tel: 09-5502184,Yangon Region
Kyin Aye [Daw],"Rm 130, Shwe Mingalar Market, Car Pat Lan,",Kitchenwares,Mingalar Taung Nyunt(Mingalar Taung Nyunt),tel: 09-30259208,Yangon Region
Kay [Ma],"11/B, Kyan Sit Thar St., Ward (15),",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-420050844,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"802, Wai Bar Gi St., Near Dhamar Yone Bus Stop, Nya Ward,",Lotteries,North Okkalapa (North Okkalapa ),tel: 09-420007948,Yangon Region
Kenwood,"2nd Flr,Hledan Centre",Kitchenwares,Kamayut(Kamayut),tel: 09-73069228,Yangon Region
Kyaw Soe Moe,"Pyi Daw Thar 8th St.,Corner of Wireless St.,Pyi Daw Thar Ward",Kitchenwares,Mingalardon(Mingalardon),"tel: 09-254341978,tel: 09-31299943",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"1286, Si Pin Rd., Ward (24),",Lotteries,South Dagon(South Dagon),"tel: 09-5029534,tel: 01-594452",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"542, Merchant Rd.,",Lotteries,Kyauktada(Kyauktada),tel: 09-252890672,Yangon Region
Kyaw,"13/A, Bo Aung Kyaw St., Ward (7),",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-420130878,Yangon Region
Kyaw Kyaw,"Bayint Naung Rd., Ward (51),",Kitchenwares,North Dagon(North Dagon),tel: 09-450012775,Yangon Region
Kyant Khaing Yae,"1344, Bonmar St., Nya Ward,",Kitchenwares,North Okkalapa (North Okkalapa ),tel: 09-421717436,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Bldg 4, Rm 6, Kaba Aye Pagoda Rd., Shwe Gon Yeikmon Housing,",Lotteries,Bahan(Bahan),tel: 09-421166291,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"948, Pyi Htaung Su Rd., Ward (65),",Lotteries,South Dagon(South Dagon),"tel: 09-425302192,tel: 09-420217590",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"70, Yangon-Insein Rd., Corner of U Yay Khae St.,Ward (2),",Lotteries,Mayangone(Mayangone),"tel: 09-43096628,tel: 01-652578,tel: 09-964096628",Yangon Region
Kyaing [Daw],"83, 14th St., Middle Block,",Kitchenwares,Lanmadaw(Lanmadaw),"tel: 01-226943,tel: 09-49242943",Yangon Region
Kyar Zan Nu,"Bogyoke Aung San Rd., Near Than Din Market, Ward (19),",Kitchenwares,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-456320468,Yangon Region
663 Mobile Money [Myanmar Citizens Payment Services Division of Myanmar Citizens Bank],"Bldg 16, Rm 604, 5th Flr, MICT Park,",Online Billing & Payment Services,Hlaing(Hlaing),"tel: 01-2305169,tel: 01-2305170,tel: 01-2399663",Yangon Region
Aung Pyae Phyo,"805, War Dan St.,",Logistics Services,LMDW,"tel:09422559507,tel: 09974686210",Yangon
Kyaw Sann [Ko],"3, Myo Thit 3rd St., Kyauk Myaung (Upper) Ward,",Kitchenwares,Tarmwe(Tarmwe),"tel: 01-552019,tel: 01-542024",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"1541, Hlaw Gar Rd., Near (56) Bus Stop, Ward (57),",Lotteries,South Dagon(South Dagon),"tel: 09-789576422,tel: 09-420052243,tel: 09-796560183,tel: 09-796560183",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"213, 28th St., Upper Block,",Lotteries,Pabedan(Pabedan),"tel: 01-385567,tel: 09-778467823",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"413, Tapin Shwe Htee St., Ward (12),",Lotteries,East Dagon(East Dagon),tel: 09-962175873,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"478, Thein Phyu Rd., Phoh Myay Ward,",Lotteries,Mingalar Taung Nyunt(Mingalar Taung Nyunt),tel: 01-386482,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"10, Yarza Di Yit Rd., 7/8 Junction, Ward (38),",Lotteries,North Dagon(North Dagon),tel: 09-778467819,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"70, Pauk Kan St., Corner of Bagan Rd.,Shwe Paukkan Ward (21),",Lotteries,North Okkalapa (North Okkalapa ),tel: 09-254113862,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"27, Thiri St., Thiri Khaymar Ward,",Lotteries,Sanchaung(Sanchaung),tel: 09-73244626,Yangon Region
Lwin,"Rm 730/731,3rd Flr,Mingalar Market",Kitchenwares,Mingalar Taung Nyunt(Mingalar Taung Nyunt),tel: 09-5148858,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"703, Thu Mingalar Rd., Ward (5),",Lotteries,South Okkalapa (South Okkalapa ),tel: 09-778467820,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"147, Anawrahta Rd.,",Lotteries,Lanmadaw(Lanmadaw),"tel: 01-372487,tel: 09-5198665",Yangon Region
Mar Swe [Daw],"868, Alaung Phayar St., Corner of Thamaing Butar Yon 2nd St.,Ward (1),",Kitchenwares,Mayangone(Mayangone),"tel: 09-250029075,tel: 09-254823471",Yangon Region
Lock & Lock,"Bldg 16, Junction Square,",Kitchenwares,Kamayut(Kamayut),tel: 09-421181540,Yangon Region
Lwin,"26, 138th St., Ma U Gone Ward,",Kitchenwares,Tarmwe(Tarmwe),"tel: 09-5148858,tel: 09-790578807",Yangon Region
Lock & Lock,"Rm 205, 2nd Flr, Myanmar Plaza,",Kitchenwares,Bahan(Bahan),"tel: 09-31265521,tel: 09-254215291",Yangon Region
Lucky Seven,"104, Kyan Sit Thar St., Thaung Gyi Lay Ward,",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-36134785,Yangon Region
La Pyae,"8/A, Zizawah St., Ward (25),",Kitchenwares,South Dagon(South Dagon),"tel: 09-73047196,tel: 09-264228586",Yangon Region
Lwan [Daw],"C Shed, Rm 58, Insein Market,",Kitchenwares,Insein(Insein),tel: 01-641721,Yangon Region
Maine,"276/B, Tay Oo Yin 1st St., Ward (7),",Leather Workshops,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-73193073,tel: 09-251050802",Yangon Region
"Modern Grand Media Group Co.,Ltd.","1176, Gant Gaw Yeikthar St., Ward (16/3),",LED Display Sales & Services,Thingangyun(Thingangyun),"tel: 09-972209777,tel: 09-972209555",Yangon Region
"Moon Star Co.,Ltd.","366, Shwe Bon Tha St., Upper Middle Block,",LED Display Sales & Services,Pabedan(Pabedan),"tel: 01-253740,tel: 01-250487,tel: 09-421164362",Yangon Region
"Hsin-Thai Int'l Co.,Ltd.","4, Neikban St., Thar Du (East) Ward,",LED Display Sales & Services,Kyeemyin Daing(Kyeemyin Daing),"tel: 09-795905898,tel: 09-785053438,tel: 09-30331129",Yangon Region
Latt Saung Mon,"397, Kyan Sit Thar St., Near Zay Lay Bus Stop, Ward (26),",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-421043121,Yangon Region
"CP World Co.,Ltd.","339,Rm 1405,14th Flr,Bogyoke Aung San Rd.,Sakura Tower",Logistics Services,Kyauktada(Kyauktada),tel: 01-255915~17,Yangon Region
"GME Servises Co.,Ltd.","424/425, Set Hmu 1st St., East Dagon Industrial Zone (2),",LED Display Sales & Services,South Dagon(South Dagon),"tel: 09-250146459,tel: 09-30336928",Yangon Region
"Coens [Energy] Co.,Ltd.","41/C, Rm 102, 1st Flr, Moe Sandar St., Moe Sandar Condo, Ward (1),",Logistics Services,Kamayut(Kamayut),"tel: 01-537713,tel: 09-421060262",Yangon Region
Lin Latt,"112, 29th St., Upper Middle Block,",LED Display Sales & Services,Pabedan(Pabedan),"tel: 09-73002444,tel: 09-73227444",Yangon Region
La Wunn Yeik,"24/A, Mandalay St., Ward (13),",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-250525923,tel: 09-73079518",Yangon Region
"CP World Co.,Ltd.","Rm 001, Botahtaung Zay St.,",Logistics Services,Botahtaung(Botahtaung),"tel: 01-255915,tel: 09-73247123",Yangon Region
myKyat,"Bldg 17, 2nd Flr, MICT Park,",Online Billing & Payment Services,Hlaing(Hlaing),tel: 09-450374911~13,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Rm 2, Pyay Rd., Posatar Park, Myae Ni Gone (South) Ward,",Lotteries,Sanchaung(Sanchaung),tel: 01-501828,Yangon Region
Chance Int'l Services Ltd.,"70, Nat Mauk 1st  Lane., Bo Cho Ward (2),",Logistics Services,Bahan(Bahan),"tel: 09-8604301,tel: 09-422493901",Yangon Region
"CCL Shipping Logistics Services Co.,Ltd.","8/4, Kha Yae Myaing St., Thuwana/23 (Su Paung) Ward,",Logistics Services,Thingangyun(Thingangyun),"tel: 01-577416,tel: 01-2333824",Yangon Region
Blue Star,"64, 8th St.,",LED Display Sales & Services,Lanmadaw(Lanmadaw),"tel: 01-2314664,tel: 09-458258236",Yangon Region
17 Store,"20, 2nd Flr, Pearl St., Pearl Complex, Shwe Taung Gyar Ward (2),",LED Display Sales & Services,Bahan(Bahan),"tel: 09-250570098,tel: 09-420278322,tel: 09-73135713",Yangon Region
"China Shipping [Myanmar] Co.,Ltd.","151, Rm 1001/1002/B, 10th Flr, War Dan St., Myawaddy Luxury Complex,",Logistics Services,Lanmadaw(Lanmadaw),"tel: 01-2301905,tel: 01-2301329,tel: 01-2300157~8,tel: 09-421019814,tel: 09-73078528,tel: 01-2301357,tel: 01-2301358",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Rm 7, Lower Mingalardon Rd., No (1) Footware Factory Shop Room, Phawh Kan Ward,",Lotteries,Insein(Insein),tel: 09-976714275,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"526, Yuzana St., Corner of Phone Gyi St.,Ward (2),",Lotteries,North Okkalapa (North Okkalapa ),tel: 09-73206805,Yangon Region
"CEA Project Logistics Co.,Ltd. [Myanmar]","Bldg B, Rm G/18, G Flr, Kaba Aye Pagoda Rd., Pearl Condo,",Logistics Services,Bahan(Bahan),tel: 09-421031286,Yangon Region
"Claridon Myanmar Co.,Ltd.","608, 3rd Flr, Merchant Rd., Bo Son Patt Tower,",Logistics Services,Pabedan(Pabedan),"tel: 09-421171406,tel: 01-4413426,tel: 01-4413410",Yangon Region
CJ Korea RT Myanmar,"53, Rm 402/B, 4th Flr, Strand Rd., Strand Square Complex,",Logistics Services,Pabedan(Pabedan),tel: 01-2307344,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Rm 17, Bayint Naung St., Lay Daunt Kan Ward,",Lotteries,South Dagon(South Dagon),"tel: 09-32273522,tel: 09-420031557,tel: 09-420031558,tel: 09-420031559",Yangon Region
Mon,"284, Sin Phyu Shin St., Ward (10),",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-448013326,Yangon Region
"Flying Famous Family Co.,Ltd.","170, Myanma Gone Yee St., Between 87th St. and 88th St., Kan Daw Kalay (West) Ward,",LED Display Sales & Services,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-5025910,tel: 09-73102928,tel: 01-383955,tel: 09-73033188,tel: 09-420070416,tel: 09-250509055,tel: 09-783525800,tel: 09-783525900",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"Oak St. (Kyar Taw Ya ), Corner of Old Yae Tar Shae Rd., Kyae Thoon Pagoda Tike Tan, Gyar Taw Ya Ward,",Lotteries,Bahan(Bahan),"tel: 09-5132556,tel: 01-502600 [Res]",Yangon Region
"Diamond MultiModal Express Co.,Ltd.","72, Rm B/2, 1st Flr, West Race Course Rd., Tarmway Gyee (Kha) Ward,",Logistics Services,Tarmwe(Tarmwe),"tel: 01-8604598,tel: 09-252283290~2",Yangon Region
"Delta Brothers Co.,Ltd.","131,Lanmadaw St.,Middle Block",Logistics Services,Lanmadaw(Lanmadaw),,Yangon
Carewell Premium Logistics Services Ltd. [E.F.R Group of Companies],"420/422,Rm 301,3rd Flr,Strand Rd.",Logistics Services,Botahtaung(Botahtaung),,Yangon
"DB SCHENKER Co.,Ltd.","40, Mya Taung Wun Gyi U Hmo St., Industrial Zone (2),",Logistics Services,Shwe Pyi Thar(Shwe Pyi Thar),tel: 01-666646,Yangon Region
"DIL Co.,Ltd. [Dagon Seikkan Int'l Logistics Services Co.,Ltd.]","Shwe Li St., Yuzana Garden City Housing,",Logistics Services,Dagon Seikkan(Dagon Seikkan),"tel: 09-8624636,tel: 01-593633,tel: 09-250684032",Yangon Region
"Davinci Group Co.,Ltd.","Bldg 3, Rm 2, Than Thu Mar Rd., Near Kyaung Lan Bus Stop, Thuwana/24 Ward,",Logistics Services,Thingangyun(Thingangyun),"tel: 01-579977,tel: 01-8550196",Yangon Region
"Damco Logistics [Myanmar] Co.,Ltd.","158, Yaw Ah Twin Wun U Pho Hlaing St., Industrial Zone,",Logistics Services,Dagon Seikkan(Dagon Seikkan),"tel: 01-593764,tel: 09-5028214",Yangon Region
Damco Logistics [Myanmar] Ltd.,"Rm 513, 5th Flr, La Pyayt Wun Plaza,",Logistics Services,Dagon(Dagon),"tel: 01-377503,tel: 01-1222867",Yangon Region
"Crystal Future Venture Myanmar Co.,Ltd.","Bldg SH, Rm 001, G Flr, Thitsar Rd., Thitsar Garden Housing,",Logistics Services,South Okkalapa (South Okkalapa ),"tel: 09-261977082,tel: 09-5115876",Yangon Region
Miba Myittar,"Nwe Ni St.,Kone Ta La Paung",Kitchenwares,Mingalardon(Mingalardon),"tel: 09-49216337,tel: 09-799981725",Yangon Region
Mogoke,"1222/A, Taung Ngu St., Ward (16),",Kitchenwares,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-972951276,Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"172, Bayint Naung Rd., Myo Thit (Ka/Kha) Ward,",Lotteries,Insein(Insein),tel: 09-73021490,Yangon Region
"Deugro [Myanmar] Co.,Ltd.","Rm 711, 7th Flr, La Pyayt Wun Plaza,",Logistics Services,Dagon(Dagon),"tel: 01-246188,tel: 01-371376",Yangon Region
May Lan [Daw],"Rm 708/709/738,2nd Flr,Mingalar Market",Kitchenwares,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-206012,tel: 09-5135946,tel: 01-209079 [Res]",Yangon Region
Mingalar Moe,"18, 137th St., Ma U Gone Ward,",Kitchenwares,Tarmwe(Tarmwe),"tel: 01-298948,tel: 09-5072934,tel: 09-5124269",Yangon Region
Maung Maung Thein [U],"Nawarat St., Corner of Nawarat 1st St., Ward (8),",Kitchenwares,Thaketa(Thaketa),"tel: 09-73009131,tel: 09-420122622",Yangon Region
DNS Mobility Ltd.,"125, 52nd St., Upper Middle Block,",Logistics Services,Pazundaung(Pazundaung),"tel: 01-202466,tel: 01-291663,tel: 09-5048907",Yangon Region
Moe Yan Shwe Lamin & Myat Su Kaday,"32, Lan Thit Rd., Nant Thar Gone Ward,",Lotteries,Insein(Insein),tel: 09-73021490,Yangon Region
