state,township,category,name,contact,street
Yangon Region,Pabedan,Gems,Ganawin," 095070711, 0949345160, 09254223306, 0933147053","Nawarat Hall Shed, Rm 45, 1st Flr, Bogyoke Aung San Market,"
Yangon Region,Sanchaung,Gift Shops,Thet Hnin Hlaing [Daw]," 095013635, 09976992756","80, Kyun Taw Rd., Kyun Taw (Mid) Ward,"
Yangon Region,Mayangone,Gems,Gems Paradise," 095123121, 095177829, 01535968","Rm Counter 7, G Flr, Kaba Aye Pagoda Rd., Myanma Gems Museum,"
Yangon Region,Mingalar Taung Nyunt,Guest Houses,Shwe Myoh Taw," 01205361, 01706207, 098610604, 095149727, 0973242412","Bldg A, 4th Flr, Shwe Pyae Sone Market,"
Yangon Region,Thingangyun,Gift Shops,Theiddi Sein," 095173224, 095107463","Rm F-16/A, 1st Flr, AKK Shopping Mall,"
Yangon Region,Mayangone,Gift Shops,Thazi, 09775430681,"37, Kaba Aye Pagoda Rd., Inya Lake Hotel,"
Yangon Region,Pabedan,Gift Shops,Thae Myat Chal," 09793386144, 09792945551","Foodstall Shed, Rm 31~34, Bogyoke Aung San Market,"
Yangon Region,Lanmadaw,Guest Houses,Shwe Myat Mingalar," 01229282, 01222052","11, Shwe Taung Dan St., Lower Block,"
Yangon Region,Mingalar Taung Nyunt,Gift Shops,"Thein Htay [U] & Brothers [Myanmar Office Mate Co.,Ltd.]"," 01299197, 01299105, 01290924, 098591840","Bldg B/2, Rm 001, Hnin Si St., Yuzana Mingalar City Housing,"
Yangon Region,Seik Kan,Gift Shops,Than Taw Oo," 095177203, 09786324208","Rm B/3, Hinthar St., Botahtaung Pagoda Shop Room,"
Yangon Region,Latha,Gems,"Fuji Jewellery Co.,Ltd."," 01381536, 01381537","31, Latha St., Lower Block,"
Yangon Region,Mayangone,Gems,Elegant Gems," 01546764, 01556009","Rm 1/B, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Bahan,Gems,Elegant Gems," 01546764, 01556009, 01546042","48, New University Avenue Rd., Saya San Ward,"
Yangon Region,Mayangone,Gems,Fun Fun," 01535968, 095123121, 095177829","Rm Counter 15/7, G Flr, Kaba Aye Pagoda Rd., Myanma Gems Museum,"
Yangon Region,Pabedan,Gift Shops,Taw Win," 09777313128, 09440533307, 09777313138","99, 29th St., Upper Middle Block,"
Yangon Region,Pabedan,Gems,Dana Hline," 01393495, 095045145","West B Shed, Rm 60, Bogyoke Aung San Market,"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Ah Nyein," 01246368, 0949258720","111, 29th St., Upper Middle Block,"
Yangon Region,Pabedan,Jades,Yadanar Oo," 0973153357, 09254136145","West D Shed, Rm 118/119, Bogyoke Aung San Market,"
Yangon Region,Pabedan,Jades,Win Htay Aung," 01241748, 095162421, 01538047 [Res]","Central Hall Shed, Rm 54, Bogyoke Aung San Market,"
Yangon Region,Bahan,Gold Shops/Goldsmiths,Ah Lin Yaung," 09799858627, 09420031933","19, 2nd Flr, Min St., Saya San (South) Ward,"
Yangon Region,Hlaing Thar Yar,Gold Shops/Goldsmiths,Academy Htate Tan," 01707311, 095110164, 095173917, 095500987","19, Bo Aung Kyaw St., Near Mee Khwet Market, Ward (7),"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Ah Nge Lay, 0973049168,"98, 1st Flr, 29th St., Upper Middle Block,"
Yangon Region,Mingalardon,Gold Shops/Goldsmiths,Academy, 01638492,"6, Sein Thapyay St., Padamyar Myoe Thit,"
Yangon Region,Pabedan,Jades,Win Win," 095159039, 01535944 [Res], 01536470 [Res]","Nawarat Hall Shed, Rm 85/92, G Flr, Bogyoke Aung San Market,"
Yangon Region,Mingalar Taung Nyunt,Gems,"Kan Thar Yar Gems Co.,Ltd.", 01205068,"Bldg 12, Rm 008, Sabei St., Yuzana Mingalar City Housing,"
Yangon Region,Thingangyun,Gold Shops/Goldsmiths,Academy, 09254441858,"Rm 259, 1st Flr, San Pya Market,"
Yangon Region,Thaketa,Gems,"Jade Venture Co.,Ltd."," 01547416, 095005661, 09260260219","51, Nawarat St., Shwe Thapyay Yeik Mon (2),"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Academy," 01250289, 095137246, 0973090104","105,Shwe Bon Tha St.,Lower Middle Block"
Yangon Region,Pabedan,Gems,Ingyin Shwe Sin," 095074385, 095144645, 01373530, 01535505","Central Hall Shed, Rm 111, Bogyoke Aung San Market,"
Yangon Region,Mayangone,Gems,Htay Paing," 01660861, 09254255338","47/H, Pyay Rd., 7 Mile, Ward (7),"
Yangon Region,North Dagon,Gold Shops/Goldsmiths,Academy," 095137246, 0973090104, 0931411428","836, U Wisara Rd., Ward (34),"
Yangon Region,Mayangone,Gems,Green Light," 01505202, 01505726, 09252606916, 01505480, 01505653","Rm D/1, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Mayangone,Gems,Golduni, 01652905~7,"32, Kone Myint Yeikthar St., 7 Mile, Ward (6),"
Yangon Region,Mayangone,Gems,Highlight, 095124797,"Rm Counter 30, G Flr, Kaba Aye Pagoda Rd., Myanma Gems Museum,"
Yangon Region,North Dagon,Gold Shops/Goldsmiths,Academy, 09250777788,"D/8, U Wisara Rd., Industrial Zone,"
Yangon Region,Bahan,Gems,Yadanar La Wun," 095115473, 0973173242","Rm 24, Saya San Rd., Co-operative Business Centre,"
Yangon Region,Hlaing Thar Yar,Gift Shops,Win Family," 0973069182, 0943127446","689/B, Mandalay St., Ward (12),"
Yangon Region,Hlaing Thar Yar,Gift Shops,Win Family," 0943127446, 0973069182","689/B,Thakhin Mya St.,Ward (12)"
Yangon Region,Lanmadaw,Gift Shops,Violet, 0973144932,"Rm 104, G Flr, Junction Centre Maw Tin,"
Yangon Region,Kyeemyin Daing,Gems,"Kabar Hein Gems & Jewellery Co.,Ltd.", 01508289,"531, 5th Flr, Lower Kyee Myin Daing Rd., Ye Ta Khon Tower, Pann Hlaing Ward,"
Yangon Region,Kamayut,Gift Shops,Violet, 09795577750,"Rm Tr/102, 1st Flr, Junction Square,"
Yangon Region,Mingalardon,Guest Houses,Shwe Myanmar," 09420289771, 095037200","34, Yangon-Bago Rd., Ywar Ma Ward,"
Yangon Region,Mingalar Taung Nyunt,Gift Shops,White Pearl," 01206206 Ext.3060/3077, 01577387 [Res], 09259645106","Rm C/60/61/76/77,2nd Flr,Shwe Pyae Sone Market"
Yangon Region,Mingalar Taung Nyunt,Gift Shops,Tri Color," 095040675, 0931463889","Rm F-6, 2nd Flr, Yuzana Plaza,"
Yangon Region,Pabedan,Gift Shops,Tri Jade," 0933031098, 09796114363","West C Shed, Rm 64, Bogyoke Aung San Market,"
Yangon Region,Kyeemyin Daing,Gift Shops,Win Myint [Ko] + Khin Yee [Ma] & Sons," 09423733323, 09423722820, 09423722814, 0943118871, 0943171699","671, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"
Yangon Region,Mayangone,,ATC Company Limited, 09253370727,"37, Kaba Aye Pagoda Rd., Inya Lake Hotel,"
Yangon Region,Kamayut,,Airman Generator (Vantage Land Machinery Show Room)," 095004810, 01515049","F/S-8, Bayint Naung Rd., Shwe Marlar Yeikmon,"
Yangon Region,Mayangone,Gift Shops,Vestige," 09420099964, 09251077462","12, Rm 9/10, Parami Rd., Ward (10),"
Yangon Region,Bahan,Gems,Jade Rose Myanmar Souvenirs & Jewellery," 01542782, 01549045, 09974232294","43, Kaba Aye Pagoda Rd., Shwe Taung Gyar Ward (2),"
Yangon Region,East Dagon,,"Ye' Yint Co., Ltd."," 012585340, 0973254727","128, Kanaung Min Thar Gyi St.,"
Yangon Region,Thingangyun,Gift Shops,"Two Stars Myanmar Trading Co.,Ltd."," 095111456, 09440009488, 09250208050, 09440009388, 09440889919~39","Bldg SH/B/5, Rm 1, Yadanar Rd., Malikha Housing,"
Yangon Region,Kamayut,,"Top Machinery Trading Co., Ltd."," 01501121, 01500811, 0973012097","B-11, Bayint Naung Rd., Shwe Sabei Yeikmon,"
Yangon Region,South Dagon,,78 Business Unit PGTS (II)," 095188869, 09977835573","Blk 26, 4/B,Bayint Naung St., Mya Yamon Housing,"
Yangon Region,Bahan,Guest Houses,Shwe Sin," 01526712, 01372851, 0973201725","114/A, Dhama Zedi Rd., Shwe Gon Daing (West) Ward,"
Yangon Region,Hlaing Thar Yar,Guest Houses,Shwe See Sein," 0973034231, 095005822","Rm 7/8/9, Bogalay St., Dagon Ayar Highway Bus Compound,"
Yangon Region,South Okkalapa ,Gold Shops/Goldsmiths,Aung," 01561845, 0943121147","277/B, Thu Mingalar Rd., Ward (9),"
Yangon Region,Mingalar Taung Nyunt,Fancy Stores,Bo Bo," 09250017316, 0931258359, 09449004161, 095418777, 09420077033","Rm E-1/2/3/4, 1st Flr, Yuzana Plaza,"
Yangon Region,North Okkalapa ,Guest Houses,Shwe Pyi San," 019690200, 019691138, 095009680, 095035379, 01636893","88, Thudhamar Rd., Corner of Padauk 10th St.,Infront Of Mya Nandar Market, Hta Wun Bae Ward,"
Yangon Region,Shwe Pyi Thar,Guest Houses,Shwe Pyi Thar Yar, 09250574993,"281/B, Nyaung Oo St., Ward (10),"
Yangon Region,Kyauktada,Gems,Mogok Khaing Mingalar," 095501791, 09788335566","234/240, 1st Flr, Sule Pagoda Rd.,"
Yangon Region,Mingalardon,,"Inter Asia Co., Ltd."," 01638310, 01638324, 09250493160","39, No.(3) Main Rd.,"
Yangon Region,Mayangone,Gems,"Mogoke Gems & Jewellery Co.,Ltd."," 095131605, 095136686, 01665169, 01708546","Rm Counter 17/21, G Flr, Kaba Aye Pagoda Rd., Myanma Gems Museum,"
Yangon Region,Mayangone,Gems,May Mon," 095127162, 0973132149, 09450066075","Rm B/5, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Mayangone,Gems,Ma Naw Ma Ya," 01665812, 09250054708, 09254359435","Rm Counter 19, 2nd Flr, Kaba Aye Pagoda Rd., Myanma Gems Museum,"
Yangon Region,South Dagon,,Shwe Kabar Kyaw Company Limited.," 01590144, 01590689, 01590691","6, Corner of Lawpita St., Industrial Zone (3), Set Hmu St,"
Yangon Region,Thingangyun,Guest Houses,Shwe Pyi Kyaw, 018561424,"519/B, Than Thu Mar Rd., Near Pyi Htaung Su Park, Kyee Pwar Yay Ward,"
Yangon Region,Latha,Guest Houses,Shwe Pyae Sone," 0973066788, 09791716603","368, 1st Flr, Strand Rd., Lower Block,"
Yangon Region,Thingangyun,Guest Houses,Shwe Phyu Myanmar," 09978619277, 09779747881","52, Lay Daunt Kan Rd., Lay Daunt Kan Ward,"
Yangon Region,South Okkalapa ,Guest Houses,Shwe Parami," 0973040463, 018500588","211, Parami Rd., Corner of Thila St.,Ward (4),"
Yangon Region,Mayangone,Gems,Kaung Sint Yadanar," 095128175, 095196595, 01665169","Rm E/7/8, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Hlaing,Guest Houses,Shwe Pann Thee, 01683017,"43, Bayint Naung Rd., Infront Of Thiri Mingalar Market, Ward (4),"
Yangon Region,Kamayut,Fancy Stores,Beauty Queen," 095102642, 095110410","Rm 03, 2nd Flr, Hledan Centre,"
Yangon Region,Sanchaung,Fancy Stores,Bijin," 095027390, 09258782170","77, Min St., Sanchaung (South) Ward,"
Yangon Region,Mingalardon,Gift Shops,Ywet Nu, 09420316082,"1502, Gandamar St., Mya Yadanar Myoe Thit,"
Yangon Region,Pabedan,Gems,Pho Wa," 09795026620, 09261382656, 095062580","Nawarat Hall Shed, Rm 54, 1st Flr, Bogyoke Aung San Market,"
Yangon Region,Pabedan,Gems,Mya Yadanar [Best Choice]," 095043401, 0973200155, 01385652, 0949257783","Diamond Mart Hall Shed, Bogyoke Aung San Market,"
Yangon Region,Mayangone,Gems,Paramount," 095173904, 0973104957, 095114989","Rm C/5, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Bahan,Gems,"Nay La Pwint Gems Co.,Ltd.", 01514351,"Rm 202, 2nd Flr, U Wisara Rd., Wizaya Plaza,"
Yangon Region,Mayangone,Gems,Nay La Hnit Par Theiddi," 095130974, 0973205028, 01705070","Rm B/2, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Bahan,Gems,Nawarat Eain, 01511007,"164, Dhama Zedi Rd., Shwe Gon Daing (West) Ward,"
Yangon Region,Mayangone,Gems,Naing Family [Mogok] [2]," 09421080077, 095418619, 096538617, 01554146","Rm 9/E, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,North Okkalapa ,Guest Houses,Shwe Wutt Yee," 019690559, 09254954559","Wai Bar Gi St.,Ka Pa Ya Compound,Za Myin Zwel Ward"
Yangon Region,South Dagon,Guest Houses,Shwe Wah Nan," 01580557, 09799541337","1/2/6/7, Pyi Htaung Su Rd., Corner of Myat Myittar St.,Ward (26),"
Yangon Region,Hlaing Thar Yar,Guest Houses,Shwe Wady," 0943018911, 0973151455, 095312167","154, Htee Hlaing Shin 1st St., Htee Hlaing Shin Housing,"
Yangon Region,Thaketa,Gems,"Kyaw Loyality Co.,Ltd."," 01547416, 095005661, 09260260219","51, Nawarat St., Shwe Thapyay Yeik Mon (2),"
Yangon Region,Shwe Pyi Thar,Guest Houses,Shwe Thonedray," 0973056262, 0973126577","Bldg 5, Rm 4, Set Hmu Zone Rd.,"
Yangon Region,Shwe Pyi Thar,Guest Houses,Shwe Thonedray," 0973056262, 098502483, 0973126577","Rm 4, Set Hmu Zone Rd., Industrial Zone (1),"
Yangon Region,Sanchaung,Book Shops,Arkar Lwin," 09250077871, 09254137429, 0973045447","2, Kyan Khin St., Linn Loon (North) Ward,"
Yangon Region,Dawbon,Guest Houses,Shwe Sin May," 09450022555, 01556919","237, Yamonnar Rd., Zeyar Thiri Ward,"
Yangon Region,Kamayut,,"Ever Seiko Co., Ltd."," 01501049, 01515036","6, Bayint Naung Rd., Shwe Marlar Yeikmon,"
Yangon Region,Mingalar Taung Nyunt,Guest Houses,Shwe Sin Myanmar," 095140811, 09420146221, 018619070","174, 3rd Flr, Bo Min Yaung Rd., Corner of 103th St.,Mingalar Taung Nyunt Ward,"
Yangon Region,Mayangone,Gems,Nagar," 095068435, 09420059071","Rm C/8, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Sanchaung,Gems,"Myanmar Ta Kaung Gems Co.,Ltd."," 01525636, 01538089, 01539857","5, Ma Kyee Kyee St., Kyun Taw (North) Ward,"
Yangon Region,Pabedan,Gems,Myanmar Precious," 09422204049, 09975066999, 01375934","West C Shed, Rm 7, Bogyoke Aung San Market,"
Yangon Region,Sanchaung,Guest Houses,Shwe Thae," 01519396, 09264863918","18, Aung Chan Thar St., Aung Chan Thar Ward,"
Yangon Region,Mayangone,Gems,Myanmar Gem Garden," 095001191, 09420005161","Rm E/2, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Sanchaung,Gift Shops,Yangon Florist," 0973184714, 0943056595, 09799887591","2, Baho Rd., Corner of Khay Mar St., Thiri Khaymar Ward,"
Yangon Region,South Dagon,Gold Shops/Goldsmiths,Aung," 0943121147, 012331845","584/A, Si Pin Rd., Near Thit Sai Curve Bus Stop, Ward (25),"
Yangon Region,Hlaing,Gold Shops/Goldsmiths,Ar Yone Oo," 01516226, 01521175","52, Melzi Gone St., Ward (7),"
Yangon Region,Mingalar Taung Nyunt,Gift Shops,Yadanar Theingi," 095033007, 0973035049, 01206206 Ext.3171","Rm C/171~4,2nd Flr,Shwe Pyae Sone Market"
Yangon Region,Hlaing Thar Yar,Guest Houses,Shwe Sagar, 0973230037,"769/770, Htee Hlaing Shin Pat St., Htee Hlaing Shin Housing,"
Yangon Region,Dagon,Glass Mosaic & Gold Leaf Gilding Services,Eaiksi Tan," 09450038805, 09250151184","Rm 51, Shwe Dagon Pagoda (East Entrance),"
Yangon Region,Thaketa,Gold Shops/Goldsmiths,AK," 09258160983, 0973193344","1470, Htuparyon St., Corner of Htuparyon 13th St.,Htu Par Yon Ward (1),"
Yangon Region,Hlaing Thar Yar,Guest Houses,Sweet," 0973044691, 095144549, 095135243","8/B, 99th St., Near Nawaday Garden Housing, Ward (6),"
Yangon Region,Kyauktada,Guest Houses,Swe Taw, 098645948,"212, 1st Flr, Pansoedan St., Middle Block,"
Yangon Region,Hlaing Thar Yar,Guest Houses,Shwe Sin Kyal," 0943201964, 09428032249","27/28, Thiri Mingalar St., Ward (6),"
Yangon Region,Kyauktada,Guest Houses,Shwe Wah Myay," 09253692706, 01387818","92, Rm R, 1st Flr, Seikkanthar St., Lower Middle Block,"
Yangon Region,Mayangone,Guest Houses,Super One, 09790558325,"953, Shwe Hnin Si St., Ward (5),"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Annawah, 095037682,"189, Shwe Bon Tha St., Upper Middle Block,"
Yangon Region,Pazundaung,Fancy Stores,K & K Souvenir Shop,,"99,49th St.,Upper Middle Block"
Yangon Region,Sanchaung,Fancy Stores,Juno Floral," 01504246, 095022935","274/A, Rm 102, Pyay Rd., Near KBZ Bank, Myae Ni Gone (North) Ward,"
Yangon Region,Mingalar Taung Nyunt,Handicraft Materials,Karaweik Art & Crafts," 0930011110, 09250170072","Kan Taw Gyi Pat St., Karaweik Garden Recreation Zone,"
Yangon Region,Kyeemyin Daing,Guest Houses,Sun Flower, 01229723,"512, Kyee Myin Daing Kannar Rd., Say Yoe Dan / Nyein Chan Yay Ward,"
Yangon Region,Pazundaung,Handicraft Materials,Golden Harp [Myanmar Handicrafts]," 09257191332, 095412720, 0973030973","83, 49th St., Upper Middle Block,"
Yangon Region,North Okkalapa ,Gold Shops/Goldsmiths,Ananda Myittar," 0973254016, 09262842388, 09421099812","14, Zay Patt St., Za Myin Zwel Ward,"
Yangon Region,Pabedan,Handicraft Materials,Gift," 09420122973, 01386618","WestC Shed, Rm 52, Bogyoke Aung San Market,"
Yangon Region,Pabedan,Jades,Idea," 0949267800, 01704973, 0973238427, 09420275016, 095005115, 095106889","West C Shed, Rm 21, Bogyoke Aung San Market,"
Yangon Region,Pabedan,Jades,Jade Mount," 095003516, 0973102755, 09254132915","Nawarat Hall Shed, Rm 1/2/27/28, G Flr, Bogyoke Aung San Market,"
Yangon Region,Hmaw Bi,Guest Houses,Sone See Yar [2], 09256056854,"Aung Bawga 1st St.,"
Yangon Region,Mingalar Taung Nyunt,Fancy Stores,Haru Japan Store," 09450044409, 09977115307","Karaweik Garden Recreation Zone,"
Yangon Region,Ahlone,Guest Houses,Shwin Pyaw," 01226160, 01227151","321, 1st Flr, Strand Rd., Loot Latt Yay Ward,"
Yangon Region,Mayangone,Guest Houses,Sithu Eain, 01681645,"9, 1st Flr, Bayint Naung Rd., Ward (1),"
Yangon Region,Mayangone,Gems,Su Myint Myat," 095505543, 0949253649, 09550554","Rm D/7, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Bahan,Gems,"Tah Moe Hnye Chan Thar Gems Co.,Ltd.[CTGC]"," 01546774, 01546158","18/A, Koh Min Koh Chin Rd., Ngarr Htatt Gyee (West) Ward,"
Yangon Region,Mayangone,Gems,Stylish," 09450900069, 09971353643, 09256083331, 09795594091","Rm 19/B/C, Kaba Aye Pagoda Rd., Myanma Gems Museum,"
Yangon Region,Thaketa,Guest Houses,Shwe Zin Yaw, 09775533382,"43/B, Rm 29, Shukhin Thar Myo Patt Rd., Corner of Myoma 15th St.,Ward (4-North),"
Yangon Region,Mayangone,Gems,Shoon Latt Yadanar, 095184097,"Rm D/6, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Insein,Fancy Stores,Hnin Pwint Phyu, 09401599340,"K/50, Mingalar St., Phawh Kan Ward,"
Yangon Region,Bahan,Gems,Shwe Yadanar, 09250665052,"23/B, Inya Myaing St., Shwe Taung Gyar Ward (2),"
Yangon Region,Pazundaung,Fancy Stores,Mya Nan Nwe [S] Pte Ltd.," 01296741, 095502338, 095193882","141/A, 50th St., Upper Block,"
Yangon Region,Pazundaung,Fancy Stores,"Managed By PAL 8 Co.,Ltd.",,"99,1st Flr,49th St.,Upper Middle Block"
Yangon Region,Mayangone,Gems,South East Asia," 09422556815, 0943193541","Rm B/8, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Hlaing Thar Yar,Fancy Stores,Lover Shape," 09250081608, 09250510622","35/B,Bo Aung Kyaw St.,Ward (13)"
Yangon Region,Kamayut,Fancy Stores,Modify, 095402216,"15/19, U Tun Linn Chan St., Ward (1),"
Yangon Region,Bahan,Flowers & Shrubs [Artificial],Lady Rose," 0973204762, 092024155","61,New University Avenue Rd.,Saya San Ward"
Yangon Region,Mingalar Taung Nyunt,Handicraft Materials,Karaweik Arts Gallery," 0930011110, 09250170072","Kan Taw Gyi Pat St., Karaweik Garden Recreation Zone,"
Yangon Region,Pabedan,Tapes,MK Moe Kyaw," 0943062732, 09448026136, 01240600 Ext.4588, 09402619930","A Shed, Rm 466/467, Thein Gyi Market,"
Yangon Region,Bahan,Gems,Pleasure," 095155879, 095020214","Bldg 387, Rm 5, G Flr, Aye Yeik Thar 2nd St., Saya San Ward,"
Yangon Region,Mayangone,Gems,Su Htu Pan," 095557373, 095178569, 0932032066","Rm E/3, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Kyeemyin Daing,Fancy Stores,Lamin Thar," 0943031319, 09420029011, 09978782515","392/B,Kyee Myin Daing Kannar Rd.,Beside Hindu Temple Compound,Thayet Taw (South) Ward"
Yangon Region,Pabedan,Jades,Lwin," 0973129954, 09421166361","Nawarat Hall Shed, Rm 111, G Flr, Bogyoke Aung San Market,"
Yangon Region,South Dagon,Guest Houses,Shwe Yoke Hlwar," 018100068, 0933909952, 09440718823","483, Pyi Htaung Su Rd., Ward (26),"
Yangon Region,Mingalar Taung Nyunt,Gems,"Sein Lone Aung Co.,Ltd."," 01255732, 01252721","Rm F/1, 1st Flr, Gyo Phyu St., Aung San Stadium (North Wing),"
Yangon Region,Pazundaung,Fancy Stores,Fancy Link," 095116278, 0973238258","193, 50th St., Upper Block,"
Yangon Region,Insein,Guest Houses,Shwe Zin Phoo," 01646870, 09261510405","700, Bayint Naung Rd., Ywar Ma (West) Ward,"
Yangon Region,Bahan,Flowers & Shrubs [Artificial],Sandy's Floral Service & Gift Centre, 01500142,"102/A, Dhama Zedi Rd., Near Wizaya Traffic Light, Shwe Gon Daing (West) Ward,"
Yangon Region,Bahan,Gold Shops/Goldsmiths,Ahnanda Myittar,,"25,West Ar Zar Ni St.,Saya San (South) Ward"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Ah Shay Gyi [Ko] & Brothers," 095103150, 095179136, 095066552","135, 2nd Flr, 29th St., Upper Middle Block,"
Yangon Region,Mayangone,Fancy Stores,KS Collection," 095199044, 01665611","Underground,North Point Shopping Centre"
Yangon Region,Mayangone,Gold Shops/Goldsmiths,Ahdipati, 0973145231,"142/B,Aung Chan Thar St.,Ward (2)"
Yangon Region,Pabedan,Flowers & Shrubs [Artificial],Sabei Phyu," 01700829, 09252566711","382, Bo Soon Pat St.,"
Yangon Region,Bahan,Gold Shops/Goldsmiths,Ah Shay Gyi & Brothers," 095103150, 095066552","6, Thu Khu Ma St., Saya San (South) Ward,"
Yangon Region,Kamayut,TV Game Equipment,Orchard, 09799665979,"Rm 9, Underground, Hledan Centre,"
Yangon Region,Hlaing,Gems,VES, 09799777899,"Rm 2, Marketplace By City Mart,"
Yangon Region,Dagon,Glass Mosaic & Gold Leaf Gilding Services,Pyae Sone," 09421037425, 09421037270","Rm 50, Shwe Dagon Pagoda (South Entrance),"
Yangon Region,East Dagon,Guest Houses,Thapyay, 09788565649,"441, Bo Hmu Ba Htoo Rd., Ward (6),"
Yangon Region,Kamayut,Plastic Materials & Products,Phoo Thit Sa," 095169721, 09799852500, 095130991","42, 50ft St., Corner of Hledan 6th St.,Ward (3),"
Yangon Region,Hlaing Thar Yar,Guest Houses,Taw Win Myint Moh, 09775553392,"24, Kan Pat St., Ward (26),"
Yangon Region,Pabedan,Jades,Queen, 095165607,"Nawarat Hall Shed, Rm 117/116, G Flr, Bogyoke Aung San Market,"
Yangon Region,Pabedan,Guest Houses,Taung Gyi," 01382810, 095150064, 095150764, 01388212","262/286, Rm 19, 1st Flr, Kon Zay Dan St., Upper Middle Block,"
Yangon Region,North Dagon,Guest Houses,Taw Win," 095121719, 0943139640","48, Bo Hmu Ba Htoo Rd., Near Khay Mar Bus Stop, Ward (42),"
Yangon Region,Lanmadaw,Guest Houses,Thapyay, 01227734,"74, 1st Flr, 5th St.,"
Yangon Region,North Okkalapa ,Guest Houses,Tain Tagon, 0949263199,"139, Airport Rd., Kyauk Yae Dwin Ward,"
Yangon Region,Mayangone,Gems,Vervain," 09252635044, 095019238, 0973163041","Rm E/5, G Flr, Kaba Aye Pagoda Rd., Myanmar Gems Trade Centre,"
Yangon Region,Pabedan,Gems,Tun Kyaw @ Ah Ngal, 0973206229,"Nawarat Hall Shed, Rm 77, 1st Flr, Bogyoke Aung San Market,"
Yangon Region,Hlaing Thar Yar,Guest Houses,"Taung Paw Pann, Taung Htate Pann", 095191665,"715, Anawrahta Rd., Ward (20),"
Yangon Region,Thaketa,Gold Shops/Goldsmiths,Aung Aung," 0973089413, 09254282996","756, Htuparyon 18th St., Htu Par Yon Ward (1),"
Yangon Region,Hlaing Thar Yar,Guest Houses,Tapin Shwe Htee," 01687880, 0930361397","1707/1709, Ta Pin Shwe Htee St., Ward (5),"
Yangon Region,Kamayut,Gold Shops/Goldsmiths,Aung Aung, 09421077864,"Bldg 8/12, Rm 004, Kun Chan 2nd St., Hanthar Yeik Mon Housing,"
Yangon Region,Tarmwe,Gems,"Treasure Star Gems & Jewellery Co.,Ltd."," 01555498, 09796977493","408/A, Banyar Dala Rd., Byine Kwet Thit Ward,"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Aung Aung," 01385754, 095036923","103, Shwe Bon Tha St., Lower Middle Block,"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Aung," 095055229, 0949593360","165, Shwe Bon Tha St., Upper Middle Block,"
Yangon Region,Pabedan,Gold Shops/Goldsmiths,Aung, 09250492776,"133, 29th St., Upper Middle Block,"
Yangon Region,Pabedan,Guest Houses,Tavoy Trading Ltd.," 01243071, 01243075","441/445, Maha Bandoola Rd.,"
Yangon Region,Hlaing,Gold Shops/Goldsmiths,Aung, 09421092628,"10, 5 Flr, Pan Chan Kyaung St., Ward (13),"
Yangon Region,Mingalar Taung Nyunt,Gold Shops/Goldsmiths,Aung," 095075513, 01202281","77/79, Upper Pazundaung Rd., Kyi Taw Ward,"
Yangon Region,Mingalardon,Guest Houses,Thiri Mingalar," 09253157441, 09428023822","Da Yin Mote Shed, Rm B/1, Oak Thar St., Aung Mingalar High-Way Bus Terminal,"
Yangon Region,Kyauktada,Guest Houses,Thadar," 01255649, 095321483, 0931958227","278/300, Rm 3/C, 3rd Flr, Maha Bandoola Garden St., Upper Block, Zezawar Condo,"
Yangon Region,South Okkalapa ,Gold Shops/Goldsmiths,Aung Aung,,"990,Yathawaddy 13rd St.,Ward (13)"
Yangon Region,Mingalardon,Guest Houses,Thiri Mingalar, 09780554914,"6, Bo Chan St., Pearl Myoe Thit Ward (1),"
Yangon Region,Mingalardon,Gold Shops/Goldsmiths,Aung Academy," 09254444157, 09798462775","Aung See Gone Pagoda St.,Mya Yadanar Myoe Thit"
