state,township,category,name,contact,street
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Groceries,Aung Thu [U],tel: 09-31574177,"Bogyoke Aung San Rd.,Corner of Sein Pan St.,Ward (19)"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aung Thu Hein,tel: 09-451360652,"620/A, Phoe Yarzar St., Ward (7),"
Yangon Region,Mayangone(Mayangone),Groceries,Aung Thitsar,,"239, Nawaday St., Corner of Aung Tayza St., Ward (5),"
Yangon Region,South Dagon(South Dagon),Groceries,Aung Thein [U],"tel: 01-590155,tel: 09-73014640","1613, Bagan St., Near Yae Set Curve Bus Stop, Ward (57),"
Yangon Region,Latha(Latha),Fabric Shops,Joe Zet [Sarees Center],"tel: 01-242488 Ext.3063,tel: 09-43119555","D Shed, Rm B/84/86, G Flr, Thein Gyi Market,"
Yangon Region,Thingangyun(Thingangyun),Groceries,Aung Thidar,tel: 09-250146048,"7/A, Thamadi 3rd St., (Sa-Lein/Ka) Ward,"
Yangon Region,South Dagon(South Dagon),Fabric Shops,Ju Ju [Ma],tel: 09-972454471,"Pyi Taw Thar St., Min Kun Market, Ward (65),"
Yangon Region,Insein(Insein),Groceries,Aung Thiri,"tel: 09-401619462,tel: 01-646193","Rm 8/9, Thanmani Set Yon St., Corner of Bayint Naung Rd.,Ywar Ma (West) Ward,"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Groceries,Aung Thu Phyo [Ko],tel: 09-421798928,"Maha Bandoola St., Near Shwe Pyi Tan Market, Ward (16),"
Yangon Region,Hlaing(Hlaing),Groceries,Aung Thein [U],"tel: 01-516271,tel: 09-259455945","12, Kyaung Kone 2nd St., Ward (9),"
Yangon Region,Pabedan(Pabedan),Fabric Shops,Jing Phaw Mel Lay,"tel: 09-5071252,tel: 09-796845549,tel: 01-242637 [Res]","Central Hall Shed, Rm 94, Bogyoke Aung San Market,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Jin San Me,"tel: 09-5132251,tel: 09-420047052,tel: 09-73034356","Rm 305/336,1st Flr,Mingalar Market"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,International Textile & Industrial,tel: 09-420713313,"26, 119th St., Yae Twin Gone Ward,"
Yangon Region,Latha(Latha),Groceries,Aung Thin [U],"tel: 09-421000979,tel: 09-73050469,tel: 01-227121,tel: 01-216779,tel: 09-5151996","60,17th St.,Lower Block"
Yangon Region,Pabedan(Pabedan),Fabric Shops,Image Textiles,"tel: 01-240966 Ext.696,tel: 01-256411 Ext.696","East Wing Shed, Rm 193, Bogyoke Aung San Market,"
Yangon Region,Tarmwe(Tarmwe),Fabric Shops,Ingyin Phyu,tel: 09-254270800,"25,Dhama Darna St.,Ma Hlwa Gone Htay Kywe Ward"
Yangon Region,Pabedan(Pabedan),Fabric Shops,Jeam Brother,tel: 09-73096266,"Than Phyu Shed, Rm 15, Bogyoke Aung San Market,"
Yangon Region,Mayangone(Mayangone),Groceries,Aung Thein [U],"tel: 09-31241845,tel: 09-73175209","69, Aung Zeyar St., Ward (5),"
Yangon Region,Tarmwe(Tarmwe),Gold Shops/Goldsmiths,Kaung Khant Eain,tel: 09-420179252,"16, Dhama Seintar St., Kyarr Kwet Thit Ward,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,JB,"tel: 09-8516592,tel: 09-5166345","Rm R-20, G Flr, Yuzana Plaza,"
Yangon Region,Mingalardon(Mingalardon),Glue [Manu/Dist],"Kaung Wai & Sister Mfg Co.,Ltd.","tel: 09-450764011,tel: 09-791962511","202, 12th St., Yangon Industrial Zone,"
Yangon Region,South Dagon(South Dagon),Glue [Manu/Dist],Indian Head,"tel: 01-221922,tel: 09-43158489,tel: 09-73130279","128, Zaw Gyi St., Industrial Zone (2),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Guest Houses,Shwe La Wun,"tel: 09-260618085,tel: 09-31642839","Rm 7, Shwe Kan Tharyar Housing,"
Yangon Region,Mingalardon(Mingalardon),Glue [Manu/Dist],"Kaung Wai & Sister Int'l Co.,Ltd.","tel: 09-450764011,tel: 09-791962511","202, 12th St., Yangon Industrial Zone,"
Yangon Region,Thingangyun(Thingangyun),Fabric Shops,Inle Glory,tel: 09-254136805,"AKK Shopping Mall,"
Yangon Region,Thingangyun(Thingangyun),Guest Houses,Shwe Kaung Kin,"tel: 01-8551097,tel: 09-73124319,tel: 09-32016155,tel: 09-5044317,tel: 09-43118827","15/A, U Ba Han St., Corner of Lay Daunt Kan Rd.,Bo Kan Nyunt Ward,"
Yangon Region,Pabedan(Pabedan),Guest Houses,Shwe Lamin,"tel: 01-372104,tel: 01-387885,tel: 09-73201011","192, 1st Flr, 29th St., Upper Block,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Gold Shops/Goldsmiths,Pyae Sone Aung,"tel: 09-420020083,tel: 09-252292250","516/A, Anawrahta Rd., Ward (11),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Guest Houses,Shwe La Wun,"tel: 09-260618085,tel: 09-31642839","7, Yangon-Pathein Rd., Shwe Kantharyar Shop House, Ward (10),"
Yangon Region,Pabedan(Pabedan),Gold Shops/Goldsmiths,Pyae Sone Han (2),tel: 09-5061060,"2, Bogyoke Aung San Market,  Upper Block,"
Yangon Region,Mingalardon(Mingalardon),Guest Houses,Shwe La Yaung,tel: 01-664571,"18, Ahthan Hlwint Yon St., Kyan Khin Su Ward,"
Yangon Region,Thaketa(Thaketa),Gold Shops/Goldsmiths,Ngwe La Wun,tel: 09-43134049,"1210, Htuparyon 3rd St., Htu Par Yon Ward (1),"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kant Kaw,"tel: 01-541308,tel: 09-5081473","Rm 157/G/2, G Flr, Mingalar Mon Market,"
Yangon Region,Tarmwe(Tarmwe),Gold Shops/Goldsmiths,Padamyar Theingi,"tel: 09-5074757,tel: 09-785074757","247, Banyar Dala Rd., Corner of Ah Yoe Gone St., Near Aung Mingalar Bus-Stop,"
Yangon Region,South Okkalapa (South Okkalapa ),Groceries,Aung Win [U],tel: 09-73000811,"967, Than Thu Mar Rd., Ward (13),"
Yangon Region,Pabedan(Pabedan),Fabric Shops,Kangipuram,"tel: 01-374812,tel: 09-5002792,tel: 01-376082,tel: 09-73097106,tel: 09-8629919","218, Shwe Bon Tha St., Upper Middle Block,"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Groceries,Aung Win [U],"tel: 09-73061104,tel: 09-263165599","755/A, Bayint Naung Rd., Near Padamyar Market, Ward (11),"
Yangon Region,North Okkalapa (North Okkalapa ),Glue [Manu/Dist],Shwe Nagar,"tel: 09-254255664,tel: 09-49323575","258, Waziyar St., Sa Lone Ward,"
Yangon Region,Thaketa(Thaketa),Glue [Manu/Dist],"Reva Co.,Ltd.","tel: 01-200386,tel: 01-200387,tel: 01-547194","172, Mya Nandar St., Industrial Zone,"
Yangon Region,Insein(Insein),Glue [Manu/Dist],"K Power Int'l Co.,Ltd.","tel: 09-428011989,tel: 09-30254278,tel: 09-971288375","622, Butar Yon St., Nant Thar Gone Ward,"
Yangon Region,Pabedan(Pabedan),Fabric Shops,Kant Kaw,"tel: 09-5004017,tel: 09-43074963","Than Phyu Shed, Rm 37, Bogyoke Aung San Market,"
Yangon Region,North Okkalapa (North Okkalapa ),Glue [Manu/Dist],Shwe Nayar,"tel: 01-9692291,tel: 09-73010649","312, Waziyar St., Corner of Waziyar 4th St.,Sa Lone Ward,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Glue [Manu/Dist],Peninsula Enterprises Ltd.,"tel: 01-298561,tel: 01-202801,tel: 01-295800,tel: 01-296884,tel: 01-202523,tel: 01-201164","3rd Flr, Taw Win Plaza,"
Yangon Region,Latha(Latha),Glue [Manu/Dist],Nay Yar Thit,"tel: 01-240600 Ext.4484,tel: 09-49299185","E Shed, Rm 70, G Flr, Thein Gyi Market,"
Yangon Region,Latha(Latha),Glue [Manu/Dist],Myo Wai [U],tel: 01-240600 Ext.4556,"E Shed, Rm 14/22, 1st Flr, Thein Gyi Market,"
Yangon Region,Tarmwe(Tarmwe),Glue [Manu/Dist],"PEI Co.,Ltd. [Precious Emerald Int'l Co.,Ltd.]","tel: 01-540868,tel: 01-551477,tel: 01-430032","6/A, Rm C, 1st Flr, Dhama Darna St., Nat Chaung Condo, Nat Chaung Ward,"
Yangon Region,Latha(Latha),Groceries,Aung Win [U],"tel: 01-373372,tel: 09-73115756","Rm 87/88, 1st Flr, Iron Market,"
Yangon Region,Insein(Insein),Glue [Manu/Dist],Myint Moh Family,"tel: 09-5504393,tel: 09-448019572,tel: 09-420091550","95 Shed, Rm 26, Shwe Wah St., Sawbwargyi Gone Warehouses,"
Yangon Region,North Okkalapa (North Okkalapa ),Glue [Manu/Dist],"Myanmar Sein Ohsi Co.,Ltd.","tel: 09-250280329,tel: 09-5195508,tel: 09-49730075,tel: 09-5104983","839/B, Thudhamar Rd., Ta Ta Lin Cheik Ward,"
Yangon Region,Botahtaung(Botahtaung),Fabric Shops,Kaday Kywe,"tel: 01-294478,tel: 01-397521,tel: 09-5141660","162, Anawrahta Rd.,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kan Tet Zaw,tel: 09-422539640,"Rm 521/522, 1st Flr, Mingalar Market,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kalayar Lin,tel: 09-5031210,"Rm 592,G Flr,Mingalar Market"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,K.M.T [Textile],"tel: 09-73189186,tel: 09-254124338,tel: 09-254109658","24, 119th St., Yae Twin Gone Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aung Win [Ko],tel: 09-73188771,"1204/B, Thar Si St., Ward (16),"
Yangon Region,Pabedan(Pabedan),Fabric Shops,JV,tel: 09-43030900,"Than Phyu Shed, Rm 42/43, Bogyoke Aung San Market,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aung Tun [U],tel: 09-43042268,"88, Maha Bandoola St., Ward (2),"
Yangon Region,North Dagon(North Dagon),Groceries,Aung Thura,tel: 09-420164037,"77/B,U Ba Win St.,Ward (39)"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kant Kaw,"tel: 01-570040,tel: 09-5183259,tel: 09-5081475","Rm 655/656/696/697/698,G Flr,Mingalar Market"
Yangon Region,South Dagon(South Dagon),Groceries,Aung Thukha,"tel: 09-798445952,tel: 09-43105647","1577/B, Maha Bandoola St., Ward (70),"
Yangon Region,Latha(Latha),Tapes,Zaw Myint [Ko],"tel: 09-5146787,tel: 09-421082198,tel: 01-242775 Ext.2086,tel: 01-657129 Ext.276,tel: 01-657133","E Shed, Rm 79, G Flr, Thein Gyi Market,"
Yangon Region,South Dagon(South Dagon),Glue [Manu/Dist],Toe Naing [U],tel: 09-250321145,"2969, Inlay St., Industrial Zone (2),"
Yangon Region,South Dagon(South Dagon),Groceries,Aung Wai Phyo,tel: 09-262359162,"1489, Hlaw Gar Rd., Ward (106),"
Yangon Region,Insein(Insein),Glue [Manu/Dist],"Sun Power Co.,Ltd.","tel: 01-642534,tel: 09-73250660,tel: 09-5059233,tel: 09-5166108,tel: 09-73098438,tel: 09-8631618","6/2 Shed, Rm A/B, Nilar St., Sawbwargyi Gone Warehouses,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kan Kaw,"tel: 01-541308,tel: 01-8619375,tel: 09-5081473","Rm 697/698, Mingalar Market,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aung Win [U],tel: 09-795239420,"517, Kha Yae 1st St., Ward (23),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Glue [Manu/Dist],"Myanmar U.R Chemical Co.,Ltd.","tel: 09-5115208,tel: 01-535366,tel: 01-684621,tel: 01-685912","181, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone (2),"
Yangon Region,Bahan(Bahan),Gold Shops/Goldsmiths,Ngwe Khaung Laung,"tel: 09-73105399,tel: 09-778848487","16, Neikban Kyaung St.,"
Yangon Region,Pazundaung(Pazundaung),Glue [Manu/Dist],"Superior Int'l Trading Co.,Ltd.","tel: 01-703507,tel: 09-440027987","128/130, G Flr, Maha Bandoola Rd.,"
Yangon Region,Pabedan(Pabedan),Tapes,Shwe Zin Yaw,tel: 01-380118,"Rm 18, Kon Zay Dan St., Maha Thein Daw Gyi,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Gold Shops/Goldsmiths,Nan Htike Yadanar,"tel: 09-5174393,tel: 09-5175229,tel: 01-200747","C1-C2, 1st Flr, Yuzana Plaza,"
Yangon Region,Tarmwe(Tarmwe),Gold Shops/Goldsmiths,Nawarat,,"30, G Flr, Kyauk Myaung Gyi Ward,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kaung Myat Htet,"tel: 01-205257,tel: 09-5129925,tel: 09-73043353","Rm 42/49,1st Flr,Mingalar Market"
Yangon Region,North Dagon(North Dagon),Fabric Shops,Kaung Khant Lin,tel: 09-452977773,"357, Rm 2, Bayint Naung Rd., Corner of Zaya Thiri St.,Ward (31),"
Yangon Region,South Dagon(South Dagon),Fabric Shops,Kaung Kywel,"tel: 09-5166794,tel: 09-262022216,tel: 09-263833838","1407, Pyi Taw Thar St., Ward (65),"
Yangon Region,North Okkalapa (North Okkalapa ),Fabric Shops,Kaung Kaung,tel: 09-799463762,"599, Pauk Kan St., Shwe Paukkan Ward (21),"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kaung Kyaw,"tel: 09-421075078,tel: 09-73071449","Rm 480,G Flr,Mingalar Market"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kaung Htet,tel: 09-5106503,"Rm 791,G Flr,Mingalar Market"
Yangon Region,North Dagon(North Dagon),Groceries,Aung Thukha,tel: 09-250365504,"103, Rm 2, Bo Garmani St., Co-op Shop Room, Ward (40),"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kanyar Store,tel: 09-5150259,"Rm 102,G Flr,Mingalar Market"
Yangon Region,Pabedan(Pabedan),Gold Shops/Goldsmiths,Myat Pwint,"tel: 09-73168985,tel: 09-5409164","5, 1st Flr, Super World 2 Shed, Bogyoke Aung San Market,"
Yangon Region,Bahan(Bahan),Gold Shops/Goldsmiths,Myint Moh (2),,"24, Maha Myintmoh St.,"
Yangon Region,Thingangyun(Thingangyun),Gold Shops/Goldsmiths,Nay & La,"tel: 09-31234869,tel: 09-31040999","12/A, Yadanar Rd., 16/2 Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aung Zabu,tel: 09-862124,"301, Padauk St., Ward (1),"
Yangon Region,North Okkalapa (North Okkalapa ),Groceries,Aung Zaw Min,tel: 09-32166730,"278, Khay Mar Kyaung St., Corner of Khay Mar 2nd St.,Hta Wun Bae Ward,"
Yangon,Insein(Insein),Groceries,Aung Yè  Kyaw,tel: 09-250163748,"Ye Baw 3rd St.,Corner of Nyaung Ta Pin St.,Phawh Kan Ward"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aung Yin [Ko],"tel: 09-784409189,tel: 09-420084373","1295/A, U Ba Win St., Ward (19),"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Kaung Htet,tel: 09-73000218,"Rm 130/G/2, G Flr, Mingalar Mon Market,"
Yangon Region,North Dagon(North Dagon),Groceries,Aung Yadanar,"tel: 09-420042671,tel: 09-795587156","Rm 23, Yarza Thin Gyan Rd., Kyoe Tadar Shop Room, Ward (51),"
Yangon Region,South Okkalapa (South Okkalapa ),Groceries,Aung Yadanar Co-operative,tel: 01-577340,"1188, Yadanar Rd., Aung Yadanar Co-op Shop Room, Ward (13),"
Yangon Region,South Dagon(South Dagon),Groceries,Aung Zaw Lin,"tel: 09-73193582,tel: 09-73198746","2566/A, Banyar Dala St., Ward (71),"
Yangon Region,North Okkalapa (North Okkalapa ),Groceries,Aung Win [U],tel: 09-254113147,"552, Karunar 3rd St., Ta Ta Lin Cheik Ward,"
Yangon Region,South Dagon(South Dagon),Fabric Shops,Kaung Htet,"tel: 09-421108223,tel: 09-73084361","1361, Pyi Taw Thar St., Ward (65),"
Yangon Region,Yankin(Yankin),Fabric Shops,Kant Kaw May,"tel: 01-546533,tel: 09-5002104,tel: 09-798477924","Bldg 1, Rm 1, Yan Aye St., Wah Wah Win Housing,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aung Zaw Latt [Ko],tel: 09-262442367,"198, Ta Pin Shwe Htee St., Ward (1),"
Yangon Region,Lanmadaw(Lanmadaw),Groceries,Aung Zabu,"tel: 01-211233 Ext.458,tel: 09-422471790","Rm EL/9, G Flr, Nyaung Pin Lay Plaza,"
Yangon Region,Mayangone(Mayangone),Guest Houses,Shwe Kaung Kin,tel: 09-73150357,"12/A, Yangon-Insein Rd., Near Kalar Kyaung Bus Stop, Ward (3),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Groceries,Aung [U],tel: 09-971766673,"282/A, Tay Oo Yin 1st St., Ward (7),"
Yangon Region,Thaketa(Thaketa),Fabric Shops,Khaing Shwe Wah,"tel: 09-5416454,tel: 01-551423,tel: 09-796197844","1208/A, Khaing Shwe Wah St., Ward (10-South),"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Khaing Su Wai,"tel: 01-553556,tel: 09-5016420","Rm 261/262,G Flr,Mingalar Market"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Guest Houses,Shwe Kant Kaw,tel: 09-779922250,"Bldg 98, Rm 2, Nawaday Zay St., Nawaday Shop House,"
Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt),Fabric Shops,Khaing Marlar,tel: 09-73030762,"Rm 288,G Flr,Mingalar Market"
Yangon Region,Bahan(Bahan),Glass Mosaic & Gold Leaf Gilding Services,Aung Theiddi,"tel: 09-5008551,tel: 09-250499744","43, Oak St. (Kyar Taw Ya ), Shwe Dagon Pagoda (East Entrance), Shwe Nanthar Ward,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Guest Houses,Shwe Nilar,tel: 09-30050020,"Rm 2/3, Upper Kyee Myin Daing Rd., Salin Stadium Shop Room, Ma Gyee Dan (North-East) Ward,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Generators & Transformers Sales/Services & Rental,"Green Super Power Co., Ltd.","tel: 01-9648145,tel: 01-9648146","74, Aung Chan Thar St., Industrial Zone (7),"
Yangon Region,Mayangone(Mayangone),Gems,Bawga Yadanar,"tel: 09-254009316,tel: 09-43201843","Rm Counter 11/A/B, G Flr, Kaba Aye Pagoda Rd., Myanma Gems Museum,"
Yangon Region,Thaketa(Thaketa),Guest Houses,Shwe Nagar Pyan,"tel: 01-450573,tel: 09-420110025","450, Shukhin Thar Myo Patt Rd., Ward (5),"
Yangon Region,Thingangyun(Thingangyun),Fancy Stores,Culture House,tel: 09-799565289,"G Flr, AKK Shopping Mall,"
Yangon Region,Pabedan(Pabedan),Sapphires,Chan Thar Aung,tel: 09-421174486,"Nawarat Hall Shed, Rm 42, 1st Flr, Bogyoke Aung San Market,"
Yangon Region,Mingalardon(Mingalardon),Fabric Shops,Khaing Myel,"tel: 09-799957471,tel: 09-31863051","14th St., Mingalardon Zay Ward,"
Yangon Region,Pabedan(Pabedan),Gems Testing,F.G.A,"tel: 09-787818187,tel: 09-5042186,tel: 09-788181819,tel: 09-31282996,tel: 09-260555503","North Wing Shed, Rm 12, 1st Flr, Bogyoke Aung San Market,"
Yangon Region,Bahan(Bahan),Art & Craft Materials,Bagan Gift Centre,"tel: 01-537015,tel: 01-535838","101, University Avenue Rd., Corner of Than Lwin Rd.,Shwe Taung Gyar Ward (1),"
Yangon Region,South Okkalapa (South Okkalapa ),Jams [Manu/Dist],"Ariya Co.,Ltd.","tel: 09-250386428,tel: 09-256223318","95/H,Waiza Yan Tar Rd.,Ward (3)"
Yangon,Bahan(Bahan),Gold Shops/Goldsmiths,Crystal Jade,"tel: 01-388572,tel: 01-393326","Rm 12,1st Flr,Saya San Rd.,Co-operative Business Centre"
Yangon Region,Pabedan(Pabedan),Diamonds,Chan Thar Gyi [Hi Boss],tel: 01-374499,"North Wing Shed, Rm 10, Bogyoke Aung San Market,"
Yangon Region,Thingangyun(Thingangyun),Guest Houses,Shwe Nan,"tel: 01-570466,tel: 01-571350","935, Lay Daunt Kan Rd., San Pya Bus Stop, Nga Moe Yeik Ward,"
Yangon Region,Sanchaung(Sanchaung),Geo Engineering Consultancies,"Mya Yar Pin Engineering Co.,Ltd.",tel: 01-524163,"2, 1st Flr, Myaung Mya St., Kyun Taw (Mid) Ward,"
Yangon Region,Kyauktada(Kyauktada),Construction Services,"Spandrel Construction Co.,Ltd.",tel: 09-401582600,"118, 1st Flr, 33rd St., Middle Block,"
Yangon Region,Botahtaung(Botahtaung),Geo Engineering Consultancies,Myanmar Sinotech Engineering Ltd.,"tel: 01-202991,tel: 01-202992,tel: 01-202091,tel: 01-202092,tel: 09-789884988,tel: 09-975738322","Rm 04/01, 4th Flr, Strand Rd., International Commercial Centre,"
Yangon Region,Mingalardon(Mingalardon),Gold Shops/Goldsmiths,Than Taw Oo,"tel: 09-5163949,tel: 09-420316294","Za Kwae/1, Mingalardon Market, Near Aung See Gon Pagoda, Thingangyun Gyi Ward,"
Yangon Region,Pabedan(Pabedan),Gold Shops/Goldsmiths,Thitsar,"tel: 01-384866,tel: 09-448207777","496, Maha Bandoola Rd., Top of 29th St., Ward (7),"
Yangon Region,Thaketa(Thaketa),Gold Shops/Goldsmiths,Shwe Yee Win,"tel: 09-49298224,tel: 09-972861027","157/240, Rm 002, Yadanar Pon Patt St.,  Yadanar Pon Housing,  Ward (10-North),"
Yangon Region,Dagon Seikkan(Dagon Seikkan),Gold Shops/Goldsmiths,Shwe Wut Hmone,tel: 09-43046722,"Blk 4, 7th St., Yuzana Garden City Housing,"
Yangon Region,Shwe Pyi Thar(Shwe Pyi Thar),Gold Shops/Goldsmiths,Shwe Sin Khaing,,"301/B, Bayint Naung Rd., Ward (5),"
Kyauktada,အမွတ္ ၂၁၈၊ ဆိပ္ကမ္းသာလမ္း၊,,Thamardi,"tel: 09-5034775,tel: 09-450002839,tel: 01-253796","218, Seikkanthar St.,"
Yangon Region,South Okkalapa (South Okkalapa ),Gold Shops/Goldsmiths,Shwe Yee Lin,"tel: 09-5506625,tel: 09-785506625","1, Infront Of Nandawun Market,  U Mingalar St, Ward (5),"
Yangon Region,North Okkalapa (North Okkalapa ),Gold Shops/Goldsmiths,Thar Htate Tan,"tel: 09-5031985,tel: 09-73259226","365, Bagan Rd.,  Shwe Pauk Kan,  Ward (21),"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Gold Shops/Goldsmiths,Shwe Sin  Ngwe Sin,"tel: 01-705434,tel: 09-73057801","4/ka, Bo Aung Kyaw St., Mee Khwet Market, Ward (7),"
Yangon Region,Tarmwe(Tarmwe),Geo Engineering Consultancies,"Geo-Technical Co.,Ltd. [G-Tech]","tel: 09-250656608,tel: 09-791183400","33, 6th Flr, Innwa St., Kyauk Myaung Gyi Ward,"
Yangon Region,Kyeemyin Daing(Kyeemyin Daing),Civil Engineers,Civil Engineers' Construction Co-operative Ltd. [CECC],"tel: 09-5404572,tel: 01-222649,tel: 01-643890,tel: 01-220962","Bldg 58/64,Rm 102/103,2nd Flr,Kyee Myin Daing Kannar Rd.,Htee Dan Housing"
Yangon Region,Pabedan(Pabedan),Fancy Stores,Babu,"tel: 09-5080793,tel: 01-240966 Ext.464,tel: 09-5192488,tel: 09-73091164","West D Shed, Rm 18/19/21/22/31/32, Bogyoke Aung San Market,"
Yangon Region,Lanmadaw(Lanmadaw),Geo Engineering Consultancies,"AMTT Geotechnical Engineering Co.,Ltd.","tel: 01-227018,tel: 09-5117531,tel: 09-777717531","93, Phone Gyee St., Middle Block,"
Yangon Region,Thaketa(Thaketa),Gold Shops/Goldsmiths,Tharaphu,"tel: 09-402591649,tel: 09-787847931","251, Theingi St., Corner of Theingi 2nd St.,"
Yangon Region,Pabedan(Pabedan),Gold Shops/Goldsmiths,Thit Sar,"tel: 01-246120,tel: 09-259259188","469, Maha Bandoola Rd., Corner of 27th St., Ward (3),"
Yangon Region,Mayangone(Mayangone),Geo Engineering Consultancies,AGI [Asia Geotechnique Int'l Ltd.],"tel: 01-681771,tel: 01-681663,tel: 09-788016899,tel: 09-975801888","43/W, Thiri Mon 8th St., Thiri Mon Housing, Ward (1),"
Yangon Region,North Dagon(North Dagon),Civil Engineers,"Fukken Co.,Ltd.","tel: 01-8010896,tel: 09-421096078,tel: 09-420089762","131, Pin Lon 3rd St., Shwe Pin Lon Housing,"
Hlaing Thar Yar,,,"International Integrated Services [Geol Mark Co.,Ltd.]",tel: 09-49571127,"35, Aung Zeya St.,  Industrial Zone (7),"
Yangon Region,Mayangone(Mayangone),Gift Shops,Ar Raw Jan,"tel: 09-5036169,tel: 09-250817706,tel: 01-650568","Na Nge/4, Swel Taw Myat St., Swel Taw Pagoda Compound, Ward (10),"
Yangon Region,Pabedan(Pabedan),Fancy Stores,An Tony & Sons,"tel: 09-31058804,tel: 09-5019269,tel: 01-387019 [Res],tel: 01-240600 Ext.4501,tel: 01-240600 Ext.4319","B Shed, Rm 338, Thein Gyi Market,"
Yangon Region,Pabedan(Pabedan),Jades,Apex [Gaung Gaung],"tel: 01-371069,tel: 09-262635639,tel: 01-240966 Ext.630/581/545,tel: 01-256411 Ext.630/581,tel: 09-5002633,tel: 09-8623221","Nawarat Hall Shed, Rm 113/114/120/119/130, G Flr, Bogyoke Aung San Market,"
Yangon Region,Hlaing(Hlaing),Gift Shops,AA,tel: 09-799725957,"G Flr, Sein Gay Har Parami Centre,"
Yangon Region,Seik Kan(Seik Kan),Gift Shops,7 Star,"tel: 09-450004391,tel: 09-786255412","Rm D/4/5, Hinthar St., Botahtaung Pagoda Shop Room,"
Yangon Region,Pabedan(Pabedan),Gift Shops,Antiques Gallery,"tel: 09-5058342,tel: 09-5105879,tel: 09-5149691","382/392, Bo Soon Pat St., Upper Block,"
Yangon Region,Mayangone(Mayangone),Geo Engineering Consultancies,Innyar Geospatial Services,"tel: 09-976900172,tel: 09-43093123","43, Thamaing Butar Yon Rd., Near Thamaing Bridge, Ward (2),"
Yangon Region,Kamayut(Kamayut),Gift Shops,24K Gold Rose Online Shopping,"tel: 09-31466966,tel: 09-977275222","Bldg B/1, Mingalar Thukha St., Hanthar Yeik Mon Housing,"
Mingalar Taung Nyunt,,,Ko Sanny Fancy & Gift,"tel: 09-73224509,tel: 09-73037167","5/6, G Flr,  Yuzana Plaza,  Entrance 27,"
Yangon Region,Bahan(Bahan),Gold Shops/Goldsmiths,Ba Soe Ou,"tel: 09-5030383,tel: 09-5032450","Rm 7/8/9, 1st Flr, Saya San Rd., Co-operative Business Centre,"
Yangon Region,Bahan(Bahan),Gemstone Pictures,Ayeyar Nadi,"tel: 01-400596,tel: 09-402514202","Rm 13, 1st Flr, Saya San Rd., Co-operative Business Centre,"
Yangon Region,North Dagon(North Dagon),Gift Shops,April,"tel: 09-73111328,tel: 09-421084253","Bldg 4, Rm 8, Taw Win Housing,"
