name,street,township,contact,state,Category
A 1 Quality Centre,"New East A Shed, Rm 6, Bogyoke Aung San Market,",Pabedan," 01245959, 095009587",Yangon Region,Apparel
Advisory,"Rm 16,2nd Flr,Dagon Centre II",Sanchaung,,Yangon Region,Apparel
A Kaihi Collection,"Rm K-17, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1068, 095075411",Yangon Region,Apparel
A & Z,"888, Rm 005, Oakkyin Butar Yon St., Ward (13),",Hlaing," 09254620397, 0931227195, 0931063197",Yangon Region,Apparel
41,"Rm 688,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 098623241, 09794244473",Yangon Region,Apparel
Advidory,"Rm L-5/6/7, 2nd Flr, Yuzana Plaza,",Mingalar Taung Nyunt, 09259289989,Yangon Region,Apparel
Ahlif,"Rm 7,2nd Flr,Mingalar Market",Mingalar Taung Nyunt," 095506748, 09428201677, 0973187540",Yangon Region,Apparel
AK,"54,Rm F/18,1st Flr,Waiza Yan Tar Rd.,Waizayantar Shopping Centre",Thingangyun," 01573600 Ext.118, 01573601 Ext.118",Yangon Region,Apparel
AHA Fashion,"Rm 5, 3rd Flr, Dagon Centre II,",Sanchaung," 01516610 Ext.405, 09420419476, 09250027781",Yangon Region,Apparel
Ah Shae Tine,"Rm P-17/18, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 0973194149, 09787896278",Yangon Region,Apparel
Ah Ba Hla,"B Shed, Rm 59, Insein Market,",Insein, 09450363635,Yangon Region,Apparel
Ah Hmwar Nyi Naung,"B Shed, Rm 55/10/59, Insein Market,",Insein," 095072504, 09421166481",Yangon Region,Apparel
AE [Tun Tun],"Rm 10/27,G Flr,Mingalar Market",Mingalar Taung Nyunt, 098618855,Yangon Region,Apparel
Advisory,"Rm 3061, 2nd Flr, Taw Win Centre,",Dagon," 018600111 Ext.3061, 095113301, 0973038003",Yangon Region,Apparel
Advisory,"Rm 09, 2nd Flr, Hledan Centre,",Kamayut," 09799628788, 0973038003, 095113301",Yangon Region,Apparel
Advisory,"3rd Flr, Gamone Pwint Shopping Mall,",Kamayut, 09962046306,Yangon Region,Apparel
Aung Bo [U],"Rm 84/85,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01206241, 095163291, 095141475",Yangon Region,Apparel
APTK,"Bldg D, Rm 133, G Flr, Pyay Rd., Diamond Condo,",Kamayut, 09262170257,Yangon Region,Apparel
Arkar Soe,"B Shed, Rm 131, Thein Gyi Market,",Pabedan," 09250274710, 01370622 Ext.716, 01371822 Ext.716",Yangon Region,Apparel
Arizona,"Bldg B/2, Rm 102, 1st Flr, Banyar Dala Rd., Yuzana Mingalar City Housing,",Tarmwe," 0973137472, 0973494053",Yangon Region,Apparel
Apple,"B Shed, Rm 194, Thein Gyi Market,",Pabedan," 01241175, 01243313",Yangon Region,Apparel
Alexander [Lin Lin],"Rm 321/322,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 095035065, 0973006070",Yangon Region,Apparel
Annawah Soe,"Rm 128,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095059708, 09972216775",Yangon Region,Apparel
Apple,"26, Thida St., Thida Ward,",Kyeemyin Daing," 012300855, 09780000093",Yangon Region,Apparel
AK,"23, Nga Mout St., Corner of Nilar St.,Kyaikkasan Ward,",Bahan, 09421038785,Yangon Region,Apparel
Akari Myint,"Rm 94, G Flr, Shwe Mingalar Market, Entrance (1),",Mingalar Taung Nyunt," 09420197567, 09260755175, 09972477721",Yangon Region,Apparel
Aung Thukha,"Rm 269, Shwe Mingalar Market, Car Pat Lan,",Mingalar Taung Nyunt," 095188801, 0973064531, 01205866 Ext.4022",Yangon Region,Apparel
Aung Thukhan,"Rm 273,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 095188801, 0973064531",Yangon Region,Apparel
Aung Si Hein,"Rm 400,1st Flr,Mingalar Market",Mingalar Taung Nyunt, 095104831,Yangon Region,Apparel
Aung Su,"10, Kyauk Taw Gyi Pagoda St., Ward (3),",Mayangone, 09777237525,Yangon Region,Apparel
Aung Chan Thar,"Rm 90, 2nd Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 09250658759, 09782752678",Yangon Region,Apparel
Aung Myint Moh,"769, Shwe Yin Aye Zay St., Ward (18),",Hlaing Thar Yar," 09263452601, 0931162534, 09422562580",Yangon Region,Apparel
Aung Kyaw Oo,"341, Bo Min Yaung Rd., Corner of Ta Pin Shwe Htee Rd.,Ward (34),",North Dagon," 09420021432, 095020385",Yangon Region,Apparel
Aung [Ko],"39, East 50ft St., Ward (16),",Hlaing, 09451666683,Yangon Region,Apparel
Best Boy,"Rm L-11, 3rd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095083851, 095091509",Yangon Region,Apparel
Aung Kyaw Soe [U],"50, Dhama Yarzar St., Ward (10),",South Okkalapa , 095005836,Yangon Region,Apparel
Bewitch,"Rm B-8/9, 1st Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095506244, 0973009260, 095168482, 01205251, 095411178",Yangon Region,Apparel
Baho,"Bldg 3, Rm 03, Hnin Si St., Yuzana Mingalar City Housing,",Mingalar Taung Nyunt," 01200747 Ext.7010, 09420230647, 09250753502",Yangon Region,Apparel
Bewitch,"Rm I-7, 2nd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01205251, 095506244, 095411178, 09253378833, 095168482, 09421242222",Yangon Region,Apparel
Baho,"Rm 1-097, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 09254280974, 09250753502",Yangon Region,Apparel
B4U,"Rm A/11, 1st Flr, Junction 8 Shopping Centre,",Mayangone, 095116866,Yangon Region,Apparel
Bawa Thit,"Rm 719/720, 3rd Flr, Shwe Mingalar Market, Car Parking (1),",Mingalar Taung Nyunt, 09975283234,Yangon Region,Apparel
B4D,"421, Pin Lon Rd., Kyaung Lan Bus Stop, Ward (32),",North Dagon," 09421131128, 0973024331",Yangon Region,Apparel
B4D,"Bldg 2, Rm G/1, U Wisara Rd., Mahar Myaing Housing,",North Dagon," 09421131128, 0943039117",Yangon Region,Apparel
Bewitch,"Rm 2/A, 2nd Flr, Sein Gay Har Parami Centre,",Hlaing, 095506244 [Office],Yangon Region,Apparel
Blanco,"Rm 3199/3062/3063, 2nd Flr, Taw Win Centre,",Dagon," 018600111 Ext.3062/2022/2071/3063, 095167459",Yangon Region,Apparel
Blanco,"225, Anawrahta Rd.,",Pabedan, 01380516,Yangon Region,Apparel
Blanco,"1st Flr, Gamone Pwint Shopping Mall,",Botahtaung, 01246286,Yangon Region,Apparel
Billion,"948, Myo Patt St., Mingalardon Zay Ward,",Mingalardon," 09799992018, 09799991992",Yangon Region,Apparel
Blanco,"178, Banyar Dala Rd., Tharyar Gone Ward,",Mingalar Taung Nyunt," 095167459, 09450404381",Yangon Region,Apparel
BFC,"Rm 39, 1st Flr, Mingalar Market,",Mingalar Taung Nyunt, 09252180211,Yangon Region,Apparel
Bigseven,"Bldg C/3, Rm 001, Hnin Si St., Yuzana Mingalar City Housing,",Mingalar Taung Nyunt, 01298323,Yangon Region,Apparel
BFC,"43, 130th St., Tha Pyay Gone Ward,",Mingalar Taung Nyunt," 01290741, 0973165012",Yangon Region,Apparel
"BFC [BFC Men's Fashion Co.,Ltd.]","Bldg 10, Rm 5/8, Sabei St., Tharyar Gone Ward,",Mingalar Taung Nyunt," 01298267, 01206407, 01200747 Ext.7105, 095003276, 095153955, 095114682",Yangon Region,Apparel
Black Jack,"126/B, G Flr, Sin Min St., Htar Nar Ward,",Ahlone," 095070719, 09252087167",Yangon Region,Apparel
Born in Japan,"42/D, New University Avenue Rd., Saya San Ward,",Bahan, 01546378,Yangon Region,Apparel
Blue Moon,"Rm C-14, 2nd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 09421090357, 09974200557",Yangon Region,Apparel
Blanco,"Rm 2071, 1st Flr, Taw Win Centre,",Dagon," 018600111 Ext.2071, 095167459",Yangon Region,Apparel
Blanco,"199, Banyar Dala Rd., Ma U Gone Ward,",Tarmwe," 01200318, 0973011322",Yangon Region,Apparel
Bossini,"Rm 3, G Flr, Junction 8 Shopping Centre,",Mayangone, 09261799165,Yangon Region,Apparel
Bo 1000,"1/18,Than Thu Mar Rd.,(Ga-Nge) Ward",Thingangyun,,Yangon Region,Apparel
Blanco,"2nd Flr, United Living Mall,",Tarmwe," 01246286, 095167459, 0943085791",Yangon Region,Apparel
"Blanco [Blanco Co.,Ltd.]","Rm 3, G Flr, Hledan Centre,",Kamayut," 09420030216, 09420022235",Yangon Region,Apparel
Blanco,"Rm 2085, 1st Flr, Taw Win Centre,",Dagon," 018600111 Ext.2022/2071/2585, 095167459, 095167678",Yangon Region,Apparel
Boss,"Rm K-9, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 0973043083, 09420034459",Yangon Region,Apparel
Casablanca,"Rm G/12, Mya Yar Gone St., Shwe Mya Yar Centre,",Mingalar Taung Nyunt," 09265626817 Ext.107, 09263726842 Ext.107",Yangon Region,Apparel
Casablanca,"1st Flr,Gamone Pwint Shopping Mall",Botahtaung, 01373747,Yangon Region,Apparel
Casablanca,"Rm 107, 1st Flr, Myanmar Plaza,",Bahan, 09450424228,Yangon Region,Apparel
Captain,"Khay Mar Thi Rd., Corner of Min Yan Aung 1st St.,Za Myin Zwel Ward,",North Okkalapa ," 09795383755, 09795383644",Yangon Region,Apparel
Capital A,"89, Myanma Gone Yee St., Kan Daw Kalay (South) Ward,",Mingalar Taung Nyunt," 0973044632, 09961319996",Yangon Region,Apparel
Casablanca,"1st Flr, Gamone Pwint Shopping Mall,",Kamayut," 01383806, 01373747",Yangon Region,Apparel
Bullet Garment,"Rm K-7, 3rd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 09420088001, 01394772, 09974021430",Yangon Region,Apparel
Candy,"Rm H-6/I-6, 3rd Flr, Yuzana Plaza,",Mingalar Taung Nyunt, 0973630779,Yangon Region,Apparel
BSX,"1st Flr, Gamone Pwint Shopping Mall,",Mayangone, 01653653 Ext. 8091,Yangon Region,Apparel
Bravo,"Rm 37, 2nd Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 09425301197, 09795807181",Yangon Region,Apparel
Ciliberto,"New East A Shed, Rm 10, Bogyoke Aung San Market,",Pabedan, 09254134109,Yangon Region,Apparel
Cherry Sane,"Rm 550,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 095050613, 0973206982, 09401589908, 09428038946",Yangon Region,Apparel
Cheq,"Rm 110, G Flr, Junction Centre Maw Tin,",Lanmadaw," 09421129622, 09971242231",Yangon Region,Apparel
Cho [Ma],"Rm S-11, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 09252406300, 09252406400",Yangon Region,Apparel
Chan Myae,"519, Innwa St., Near 16 Curve Bus Stop, Shwe Paukkan Ward (16),",North Okkalapa , 09453650585,Yangon Region,Apparel
Cho [Ma],"Rm SB-5, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095105033, 0973093488, 01200747 Ext.1727, 098032514",Yangon Region,Apparel
Charming Style,"Rm F-6, 2nd Flr, AKK Shopping Mall,",Thingangyun," 01566080 Ext.006, 018550991 Ext.006, 01562142 Ext.006",Yangon Region,Apparel
Casablanca [Aura],"Rm 235, 2nd Flr, Gamone Pwint Shopping Mall,",Kamayut," 095109331, 01383806",Yangon Region,Apparel
Casablanca,"54, Yangon-Insein Rd., Ward (2),",Kamayut, 0976672282,Yangon Region,Apparel
Conqueror,"Rm F/1/B, 1st Flr, Dagon Centre I,",Sanchaung," 095417379, 095069423, 09421135161",Yangon Region,Apparel
Confident,"Rm I-4, 2nd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 09965096464, 095096464, 0932052546, 09790714199",Yangon Region,Apparel
Comet,"Rm F/26,1st Flr,Junction Zawana Shopping Centre",Thingangyun," 01573929 Ext.216, 09421051603",Yangon Region,Apparel
"CNC [Myanmar Mercury Garment Co.,Ltd.]","Rm 2/A, 2nd Flr, Sein Gay Har Parami Centre,",Hlaing, 01201943,Yangon Region,Apparel
Cool,"693/701, Rm 9, G Flr, Classic Strand Condominium,",Pabedan," 01250078, 096800123, 0932219567, 09259469788",Yangon Region,Apparel
CNC,"1st Flr, Gamone Pwint Shopping Mall,",Mayangone, 018619877,Yangon Region,Apparel
CNC,"1st Flr,Gamone Pwint Shopping Mall",Botahtaung," 018619187, 01376360, 01201943",Yangon Region,Apparel
"Compass Co.,Ltd.","468, Lower Kyee Myin Daing Rd., Kayin Ah Myoe Thar Ward,",Kyeemyin Daing, 012301321,Yangon Region,Apparel
Conqueror,"Rm F/113, 1st Flr, Junction Square,",Kamayut, 01527242 Ext.2013,Yangon Region,Apparel
City Boy,"B Shed, Rm 364, Thein Gyi Market,",Pabedan," 0931131954, 0943138599, 095164719, 01376622 Ext.429",Yangon Region,Apparel
Daniel Lewis,"Rm 2, 2nd Flr, Sein Gay Har Parami Centre,",Hlaing, 01522640~63,Yangon Region,Apparel
DAKS,"Rm 2055, 1st Flr, Taw Win Centre,",Dagon," 018600111 Ext.2055, 09254028899",Yangon Region,Apparel
D4D Collection & ZM Fashion,"50, Sein Chel St.,",Pazundaung," 01297920, 0973162755, 0973237092",Yangon Region,Apparel
CY Ko [Gora],"Rm 326, 3rd Flr, Gamone Pwint Shopping Mall,",Kamayut, 09254203650,Yangon Region,Apparel
Crocodile,"Rm 2, 2nd Flr, Sein Gay Har Parami Centre,",Hlaing, 01522640~42,Yangon Region,Apparel
Cotton N Cotton [CNC],"93, Rm 10, Sule Pagoda Rd., Upper Middle Block,",Kyauktada," 095059106, 09421067461",Yangon Region,Apparel
Creator,"1st Flr,Gamone Pwint Shopping Mall",Botahtaung, 095170120,Yangon Region,Apparel
Crocodile,"1st Flr,Gamone Pwint Shopping Mall",Botahtaung, 095170120,Yangon Region,Apparel
Crewman,"6, Yarza Di Yit Rd., Corner of Pyi Htaung Su Rd.,Ward (38),",North Dagon, 09421137625,Yangon Region,Apparel
D-Prize,"Rm 155, 2nd Flr, Mingalar Market,",Mingalar Taung Nyunt, 09250299655,Yangon Region,Apparel
De Moe,"Rm 364,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095158782, 095014045",Yangon Region,Apparel
Daniel Lewis/Manchester,"1st Flr,Gamone Pwint Shopping Mall",Botahtaung," 01206231 [Off], 01206230 [Off], 01206231 Ext.212",Yangon Region,Apparel
Delight,"8, West Race Course Rd., Tarmway Gyee (Kha) Ward,",Tarmwe, 095175424,Yangon Region,Apparel
Day Walker,"17/B, Yadanar Rd., 16/2 Ward,",Thingangyun," 095503763, 0973108722, 0943162359, 0973114309",Yangon Region,Apparel
Day Walker,"132,Yarza Di Yit Rd.,Near Gate Haung Bus Stop,Ward (8)",East Dagon," 0943162359, 095503763, 0973108722",Yangon Region,Apparel
Dapper,"Rm G/021/022, G Flr, Junction Square,",Kamayut," 09420280355, 01527242 Ext.1045",Yangon Region,Apparel
Dead Sea,"Rm 212, 2nd Flr, Mingalar Market,",Mingalar Taung Nyunt," 0973042856, 09250123560, 09794117786",Yangon Region,Apparel
Danny,"Rm O-17/18, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095417399, 09420004481",Yangon Region,Apparel
Daniel Lewis [DL],"Rm 114, 1st Flr, Myanmar Plaza,",Bahan, 09262808839,Yangon Region,Apparel
Dream,"Rm 5, 1st Flr, Hledan Centre,",Kamayut, 0973026187,Yangon Region,Apparel
Dragon,"1/A, Than St., Ward (7),",Hlaing," 09421742854, 09422556234",Yangon Region,Apparel
"Daniel Lewis, Manchester","2nd Flr, United Living Mall,",Tarmwe," 01206230, 01206231",Yangon Region,Apparel
Dorado,"Rm 3050, 2nd Flr, Taw Win Centre,",Dagon," 09421061967, 01584330 [Res], 018600111 Ext.3050",Yangon Region,Apparel
DK,"407, Min Nandar Rd., Near Yan Aung Bus Stop, Yan Pyae Ward (3),",Thaketa, 09420287942,Yangon Region,Apparel
"Dice Shirt Maker Co.,Ltd.","60, Bogyoke Aung San Rd.,",Pazundaung," 01398766, 01292627, 0973058963",Yangon Region,Apparel
Doh Yoe Yar,"Rm G-11, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1718, 095179952, 095052239",Yangon Region,Apparel
Dino,"Rm 15, 3rd Flr, Dagon Centre II,",Sanchaung," 01516603~10 Ext.415, 095179034",Yangon Region,Apparel
Diamond 31,"125, Anawrahta Rd.,",Pazundaung, 09421072301,Yangon Region,Apparel
Demo,"151/153,Banyar Dala Rd.,Ma U Gone Ward",Tarmwe," 01205079, 09250587561, 095124847, 09420722444, 09420040546, 09265020500",Yangon Region,Apparel
Discovery,"Rm 45,2nd Flr,Mingalar Market",Mingalar Taung Nyunt," 09450002872, 0925028923",Yangon Region,Apparel
Easy Riders,"Rm 6, 2nd Flr, Gamone Pwint Shopping Mall,",Mayangone," 01389953, 09795670078",Yangon Region,Apparel
EBS,"876, Myittar Rd., Ward (10),",South Okkalapa , 0943113974,Yangon Region,Apparel
Echo,"37, Than St., Ward (7),",Hlaing, 09421749218,Yangon Region,Apparel
Easy Rider,"Rm 221, 1st Flr, Junction Centre Maw Tin,",Lanmadaw, 01218152~8 Ext.1221,Yangon Region,Apparel
Easy Rider,"Rm 2059, 1st Flr, Taw Win Centre,",Dagon, 018600111 Ext.2059,Yangon Region,Apparel
DSK [Thet Paing],"Rm R-31/Q-24, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 09448009773, 09254069361, 01200871, 01200747 Ext.1113/1083",Yangon Region,Apparel
Dream Land,"Bldg 7, Rm 04, Hnin Si St., Yuzana Mingalar City Housing,",Mingalar Taung Nyunt," 09777696707, 09777337740, 09777696700, 09970424144, 09451457800, 09451457744",Yangon Region,Apparel
Easy Rider,"Rm B/117, 1st Flr, Junction Square,",Kamayut," 09451077701, 09976653934",Yangon Region,Apparel
Dream,"Rm B/110/113, 1st Flr, Junction Square,",Kamayut, 01504768,Yangon Region,Apparel
Dun Lop,"125, Si Pin Rd., Ward (18),",South Dagon, 0973066180,Yangon Region,Apparel
Ever Style,"Rm F-20, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095080539, 0973243501, 09771035987",Yangon Region,Apparel
Eye Boutique,"30, U Tun Linn Chan St., Ward (1),",Kamayut," 0943056509, 095062137",Yangon Region,Apparel
Family,"Bldg 1, Rm 5/6, Bayint Naung Rd., Bayint Naung Housing,",Hlaing, 01530928,Yangon Region,Apparel
Ei Hay Mhan,"Bldg A/84, Rm 7, Kyan Sit Thar St., Nawaday Shop House,",Hlaing Thar Yar," 09254449599, 095001002",Yangon Region,Apparel
Ever,"Nga Mout St., Corner of Eaindra Nilar St., Kyaikkasan Ward,",Bahan, 09450039800,Yangon Region,Apparel
ECHO,"26/24, G Flr, Thida St., Kyauk Myaung Gyi Ward,",Tarmwe," 095000987, 09450541728, 09240253032",Yangon Region,Apparel
Ever Style,"Rm E-17/18, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 0973243501, 01200747 Ext.1249, 09250657710",Yangon Region,Apparel
Ever Fancy,"Rm K-29, 3rd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 098534453, 09422456627",Yangon Region,Apparel
Ei Ei,"Bldg 4, C Shed, Rm O/7/8, G Flr, Thein Gyi Market,",Pabedan," 01371800 Ext.308, 095108619",Yangon Region,Apparel
Full Colour,"Butar Yon St.,Infront Of B.E.H.S (1),Ward (6)",Hlaing," 095174527, 095180834, 0973219417",Yangon Region,Apparel
Five Star,"Rm J-28, 3rd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 09450062777, 09420055861",Yangon Region,Apparel
Fashion Star,"367, Shwe Bon Tha St., Upper Block,",Pabedan, 01388660,Yangon Region,Apparel
Fashion Media,"147, Anawrahta Rd.,",Kyauktada," 09420186780, 095400350",Yangon Region,Apparel
Fashion Power,"Rm B/29, Underground, Myanmar Culture Valley, People's Park Compound, Pyay (East) Ward,",Dagon, 09253675512,Yangon Region,Apparel
Fashion Palace,"Rm 3073, 2nd Flr, Taw Win Centre,",Dagon," 095059718, 09784887021",Yangon Region,Apparel
Fashion Corner,"36, Kyar Kwet Thit St., Pathein Nyunt Ward,",Tarmwe," 01549890, 09428210614, 09784916832",Yangon Region,Apparel
Every Boy Style [EBS],"809/B,Than Thu Mar Rd.,Ward (13)",South Okkalapa , 0943113974,Yangon Region,Apparel
Fashion Complex,"156/158, Anawrahta Rd.,",Botahtaung," 095131987, 09450001607",Yangon Region,Apparel
First Generation,"1st Flr,Gamone Pwint Shopping Mall",Botahtaung," 09264007082, 01392031 EXt.212",Yangon Region,Apparel
Family,"Rm 213/G/3, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 095182941, 09795170124, 09261413539",Yangon Region,Apparel
Genius,"362, Rm 2, Banyar Dala Rd., Kyauk Myaung (Upper) Ward,",Tarmwe," 09250044484, 095000872, 0973095829, 095047685",Yangon Region,Apparel
Giffini,"Rm 2, 2nd Flr, Sein Gay Har Parami Centre,",Hlaing," 01522640~43, 01548996, 09971248545",Yangon Region,Apparel
GI,"Rm B-7, 1st Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095129999, 01375593",Yangon Region,Apparel
Genius,"2nd Flr,Hledan Centre",Kamayut, 09797069222,Yangon Region,Apparel
Genius,"Rm 1F-204, 1st Flr, Kan Tharyar Recreation Centre,",North Okkalapa , 09797069333,Yangon Region,Apparel
Gani [U] & Family,"Rm 395/396,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01296980, 01206201, 01572973, 098636779, 0973027002",Yangon Region,Apparel
Galaxy [3],"198, Ta Pin Shwe Htee St., Ward (1),",Hlaing Thar Yar," 09421126730, 09795330136",Yangon Region,Apparel
Ga Ni [U] Family,"Rm 731/753/754,G Flr,Mingalar Market",Mingalar Taung Nyunt," 098636779, 01296980, 01572973",Yangon Region,Apparel
Gafar [U] [Family],"B Shed, Rm 398, Thein Gyi Market,",Pabedan," 01378270, 09799900098",Yangon Region,Apparel
G2000,"Rm B/012, G Flr, Junction Square,",Kamayut," 01527242 Ext.1037, 09250587066",Yangon Region,Apparel
Gold Star,"Rm O-3/4, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 0973087386, 0931133150",Yangon Region,Apparel
Glory,"Rm 20, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 09262513083, 09265208423",Yangon Region,Apparel
Gold Finger,"Rm O-45,G Flr,Yuzana Plaza",Mingalar Taung Nyunt,,Yangon Region,Apparel
Glory,"Rm W-14, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1858, 095146936",Yangon Region,Apparel
"Golden Bee Textiles Co.,Ltd.","41, 141st St., Ma U Gone Ward,",Tarmwe," 09260032811, 09797889433",Yangon Region,Apparel
Gioven Kelvin,"Rm 2, 2nd Flr, Sein Gay Har Parami Centre,",Hlaing, 01210818 [Off],Yangon Region,Apparel
"Giorenzo, i-MAX","Rm 2/A, 2nd Flr, Sein Gay Har Parami Centre,",Hlaing," 01522633 [Office], 01522637 [Office], 01522638 [Office]",Yangon Region,Apparel
Giordano,"Rm G/002/003, G Flr, Junction Square,",Kamayut, 09780404995,Yangon Region,Apparel
Giordano,"Rm 2, G Flr, Junction 8 Shopping Centre,",Mayangone, 09977116959,Yangon Region,Apparel
GQ,"1st Flr, Gamone Pwint Shopping Mall,",Mayangone, 01653653 Ext. 9,Yangon Region,Apparel
Gora,"Rm 27, 2nd Flr, Gamone Pwint Shopping Mall,",Mayangone," 09250136680, 01378687, 09254203650, 09420036907",Yangon Region,Apparel
Golden Star,"Rm O-12/P-12, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095187694, 0973025792, 01200747 Ext.1311, 09448050339",Yangon Region,Apparel
Gorgeous,"100, Lan Thit St., Upper Block,",Lanmadaw," 09444009885, 09792729152",Yangon Region,Apparel
Golli,"Rm 301, 3rd Flr, United Living Mall,",Tarmwe," 01551177 Ext.301, 095125789",Yangon Region,Apparel
Golli,"Rm R-17, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1785, 095125789, 09444555999",Yangon Region,Apparel
Golden Myanmar,"4, Min Nandar Rd., Bo Htun Zan Ward,",Dawbon," 09420209724, 0949576536, 09254817083, 0973236993",Yangon Region,Apparel
Golden Family,"Bldg 1, C Shed, Rm 14, G Flr, Thein Gyi Market,",Pabedan," 095044190, 01242899, 0973020877, 0931066331",Yangon Region,Apparel
Golden Crown,"Rm F/2, 1st Flr, Junction 8 Shopping Centre,",Mayangone, 01650771~5 Ext.119/154,Yangon Region,Apparel
"Golden Cherry Int'l Co.,Ltd.","Rm R-22/P-33/34/35, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1123/1213, 01298874, 01200586",Yangon Region,Apparel
Guy's Corner,"Rm 2, 2nd Flr, Sein Gay Har Parami Centre,",Hlaing," 095067898, 09795533600, 0973032606",Yangon Region,Apparel
Guy's Corner,"1st Flr, Gandamar Wholesales Center,",Mayangone, 09973245712,Yangon Region,Apparel
Guy's Corner,"Rm F/114, 1st Flr, Junction Square,",Kamayut, 0973032606,Yangon Region,Apparel
Guy Xpress,"Rm 346/347, 3rd Flr, Gamone Pwint Shopping Mall,",Kamayut," 095021767, 09252592369",Yangon Region,Apparel
Guy Xpress,"123, Yangon-Insein Rd., Ward (1),",Kamayut," 09976212220, 095021767, 09252592369",Yangon Region,Apparel
Guy's Corner,"Rm 204/205, 2nd Flr, United Living Mall,",Tarmwe," 095067898, 0973032606, 0973024351",Yangon Region,Apparel
Guy Xpress,"2nd Flr, Gamone Pwint Shopping Mall,",Kamayut, 09964049345,Yangon Region,Apparel
Great,"433/A,Kyee Myin Daing Kannar Rd.,Thayet Taw (North) Ward",Kyeemyin Daing, 095503654,Yangon Region,Apparel
Guy Laroche,"1st Flr, Gamone Pwint Shopping Mall,",Mayangone, 0973254644,Yangon Region,Apparel
HBT,"Rm 210/211, 2nd Flr, Gamone Pwint Shopping Mall,",Kamayut, 095044001,Yangon Region,Apparel
Guy Xpress,"Rm J-25, 3rd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.4777, 0943139652, 09975570999",Yangon Region,Apparel
H2.M,"Rm 597, Yar Yee Mingalar Market,",Mingalar Taung Nyunt, 095037460,Yangon Region,Apparel
Habitude [HBT],"2nd Flr, United Living Mall,",Tarmwe, 09971251615,Yangon Region,Apparel
Harley,"Bawdi Nyaung Pin St.,Near Phawkan Market,Phawh Kan Ward",Insein," 0973253815, 09421180850",Yangon Region,Apparel
GZ,"144, Kanbei Butar Yon Rd., Ward (11),",Yankin, 09254494707,Yangon Region,Apparel
H.M.O,"Rm B-12,C-11,2nd Flr,Yuzana Plaza",Mingalar Taung Nyunt,,Yangon Region,Apparel
Guy's Corner,"Rm 18, 2nd Flr, Gamone Pwint Shopping Mall,",Mayangone," 095038120, 095067898",Yangon Region,Apparel
Guy's Corner,"Rm 2009, 1st Flr, Taw Win Centre,",Dagon," 095067898, 0973032606, 0973024351",Yangon Region,Apparel
Guy's Corner,"2nd Flr,Hledan Centre",Kamayut," 0973032606, 0973024351, 095067898",Yangon Region,Apparel
H & H Fashion,"Rm 10/S,G Flr,City Center",Pabedan," 0943135568, 09421145325",Yangon Region,Apparel
Hla Shwe [U],"B Shed, Rm 370, Thein Gyi Market,",Pabedan, 09783704142,Yangon Region,Apparel
Hla Myo Nwe,"East A Shed, Rm 42, Bogyoke Aung San Market,",Pabedan," 0931068921, 01223091 [Res]",Yangon Region,Apparel
Hla Than [U],"B Shed, Rm 313, Thein Gyi Market,",Pabedan," 09440735932, 09450024741, 01224343 [Res], 01371822 Ext.514",Yangon Region,Apparel
