name,street,contact,state,township,Category
Sann La Thawdar,"883/A, Barani 12th St., Corner of Barani St.,Ward (12),"," 09428012545, 09799650372",Yangon Region,South Okkalapa ,Media
"Power of Success Co.,Ltd.","39, Upper Kyee Myin Daing Rd., Oh Bo Ward,"," 095001824, 095127176",Yangon Region,Kyeemyin Daing,Media
Tharaphi,"68, 2nd Flr, Aw Ba St., Kyauk Myaung Gyi Ward,"," 01541704, 01552322",Yangon Region,Tarmwe,Media
Phoenix Art Creation Group,"50, U Aye Lane (2), Ward (16),"," 09784012334, 09451510661",Yangon Region,Hlaing,Media
Nway Moe Saung,"175/2/A, 1st Flr, 51st St., Upper Block,"," 01298855, 095040622, 0973002947",Yangon Region,Pazundaung,Media
Y  Yint Thitsar,"669, Thudhamar Rd., Za Gwel Ward,"," 0930075413, 0931637343",Yangon Region,North Okkalapa ,Media
Shwe Mya,"Bldg 4, Rm 102, 1st Flr, Ma Soe Yein Kyaung St., Myittar Nyunt Housing Estate,"," 095010372, 0973005333, 09420302359, 09799222170, 0931680734",Yangon Region,Tarmwe,Media
Myat Thu [Ko],"989, Thu Mingalar Rd., Ward (4),"," 01577980, 0973158724",Yangon Region,South Okkalapa ,Media
San Lin,"74, 7th Flr, 31st St., Lower Middle Block,"," 095501557, 01384074, 09448036590",Yangon Region,Pabedan,Media
Ah Hla Kabar,"173, Anawrahta Rd.,"," 01380957, 01248922",Yangon Region,Kyauktada,Equipment & Supplies
Chit [Saya] Bayint Naung,"47, Anawrahta Rd.,", 09421072795,Yangon Region,Pazundaung,Miscellaneous
Kha Yan Pyar,"27/A, Pin Lon Rd., Near Ma Wa Ta Junction, Ward (29),"," 0973073167, 09420221978",Yangon Region,North Dagon,Health & Medicine
Ingyin Su,"Rm 9, Yarza Di Yit Rd., Ward (38),"," 09448006778, 09442000024, 09777177800",Yangon Region,North Dagon,Health & Medicine
Kaung,"Bldg B/88, Rm 2, Nawaday Zay St., Nawaday Shop House,"," 095004866, 09420062639",Yangon Region,Hlaing Thar Yar,Miscellaneous
Chaw Kalayar,"Rm 3, Thar Yar Gone St., BOC Curve, U.S.D.A Shop Room, Nant Thar Gone Ward,"," 095172613, 0973021343, 0973174911",Yangon Region,Insein,Merchant
"Machinery & Solutions Co.,Ltd. [M & S]","146/L/2, Shwe Hnin Si St., Corner of Pyay Rd.,Ward (4),"," 01667110, 019669562~3",Yangon Region,Mayangone,Industrial
"Han Sein Thant Trading Co.,Ltd.","112,Rm 28/29,3rd Flr,Pyay Rd.,8 Mile,Ward (4)"," 01656494, 01650488, 01661030, 01651251, 095013421, 095102352, 095121830",Yangon Region,Mayangone,Industrial
"Grand Nawaplastics Myanmar Co.,Ltd.","8/9/10/11/12, Ayeyar St., Shwe Than Lwin Industrial Zone,"," 098633988, 098632288, 098633788, 098632388, 09261748077, 09789874755",Yangon Region,Hlaing Thar Yar,Industrial
"Grand Elephant Enterprises Co.,Ltd.","8~12, Ayeyar St., Shwe Than Lwin Industrial Zone,"," 098633788, 09789874755, 09261748077, 098632288, 0979261888, 098633988, 098632388",Yangon Region,Hlaing Thar Yar,Industrial
Han Sein Thant [Showroom],"110, Rm 4/5/12/13, G Flr, Pyay Rd., 8 Mile, Ward (4),"," 01650822, 01656494, 01650488",Yangon Region,Mayangone,Industrial
"Grand Nawaplastics Myanmar Co.,Ltd.","8/9/10/11/12, Ayeyar St., Shwe Than Lwin Industrial Zone,"," 098633988, 098632288, 098633788, 098632388, 09261748077, 09789874755",Yangon Region,Hlaing Thar Yar,Industrial
"Grand Elephant Enterprises Co.,Ltd.","8~12, Ayeyar St., Shwe Than Lwin Industrial Zone,"," 098633788, 09789874755, 09261748077, 098632288, 0979261888, 098633988, 098632388",Yangon Region,Hlaing Thar Yar,Industrial
Dogs Wonder Land House MM,"12,May Yu St.,Saya San (South) Ward", 09421099019,Yangon Region,Bahan,Beauty
Diamond,"4/8 Shed, Rm D, Kyauk Sein St., Sawbwargyi Gone Warehouses,"," 01647603, 09250666035, 0973037612, 095004540",Yangon Region,Insein,Construction
Golden Top,"34 Shed, Rm 9, Kyauk Sein 4th St., Sawbwargyi Gone Warehouses,"," 09797446558, 095080102, 09788829558, 09250800078",Yangon Region,Insein,Construction
Madina,"4/2 Shed, Rm A, Pearl St., Sawbwargyi Gone Warehouses,"," 01644571, 01646556, 01646696",Yangon Region,Insein,Construction
Dana Myay,"Aung See Gone Pagoda St.,Near Kyaung Gyi Dhamar Yone,Kyaung Gyi Ward"," 0973007045, 09254999171",Yangon Region,Mingalardon,Construction
Shwe Min Thar,"Rm 3, Pearl 4th St., Sawbwargyi Gone Warehouses, Saw Bwar Gyi Gone Ward,",,Yangon Region,Insein,Construction
"Shwe Tha Pyay Co.,Ltd.","83/85, Thamain Bayan Rd., Tarmway Gyee (Kha/Ga-Nge) Ward,"," 095063551, 095556600",Yangon Region,Tarmwe,Construction
"Takumi Style Co.,Ltd.","2/6, Thamaing Butar Yon Rd., Ward (2),"," 09453197934, 09252536667",Yangon Region,Mayangone,Construction
"Falcon Engineering Co.,Ltd.","95, Yangon-Insein Rd., Near Kha Wei Chan Bus Stop, Ward (3),"," 09964911300, 09777717161",Yangon Region,Mayangone,Construction
Zaw Myanmar,"144, Bo Soon Pat St., Upper Middle Block,"," 01253925, 01374053, 01243680, 095005530, 01377923, 095138786, 0973338786, 09420182377",Yangon Region,Pabedan,Construction
Family,"25, Oakkyin Butar Yon St., Ward (16),"," 01521012, 095197486, 0973017204",Yangon Region,Hlaing,Equipment & Supplies
Shwe Ohe Gyi,"G/29, Sein Pan St., Bayint Naung Warehouses,"," 01680251, 095131687, 01683050, 01372620, 09425008653",Yangon Region,Mayangone,Equipment & Supplies
Global Pump House,"17/B,Yadanar Rd.,Ward (16/2)", 0949201904,Yangon Region,Thingangyun,Construction
Hlaing Family,"12,P Moe Ninn St.,Ward (1)", 0973072804,Yangon Region,Hlaing Thar Yar,Construction
Kaung Myat Win,"A/11, Kyaikkasan Rd., Army Recruit Compound, Tarmway Lay Ward,"," 09259869192, 09401525856, 09976224188",Yangon Region,Tarmwe,Construction
Miba Myittar Padaethar,"181,Bo Soon Pat St.,Upper Middle Block"," 01383374, 09420055234",Yangon Region,Pabedan,Construction
ZA,"231, Bo Soon Pat St., Upper Middle Block,"," 098615834, 09254263378",Yangon Region,Pabedan,Construction
Yangon Zoological Gardens [Htoo Group of Companies],"Kan Yeik Thar St.,Infront Of Aquarium,Ou Yin Ward"," 01246045, 01371121, 01372923",Yangon Region,Mingalar Taung Nyunt,Garden
Hlawga Wildlife Park,"Pyay Rd.,Htauk Kyant,Htauk Kyant (North) Ward"," 01600054, 01600059",Yangon Region,Mingalardon,Garden
"Bridge Trading Co.,Ltd.","445,4th Flr,Merchant Rd.",,Yangon Region,Botahtaung,Food
"Lakshmi Trading Co.,Ltd. [Star Asia Co.,Ltd.]","137,Anawrahta Rd."," 01296487, 095003223, 09972665541",Yangon Region,Botahtaung,Food
"Kris Int'l Trading Co.,Ltd.","304, Shwe Bon Tha St., Upper Middle Block,"," 01371632, 01380210",Yangon Region,Pabedan,Food
Shwe Hnin Si,"Rm B/342, Underground, Nyaung Pin Lay Plaza,"," 01211233 Ext.411, 09254210571, 09250521039",Yangon Region,Lanmadaw,Food
Jet [Ko],"Rm B/468, Underground, Nyaung Pin Lay Plaza,"," 01227411, 01211233 Ext.248, 01710170, 0931069189, 09254515734",Yangon Region,Lanmadaw,Food
Myanmar Mercantile Marine College,"Bayint Naung Rd.,Ward (4)"," 01536712, 01539463, 01539464~5 Ext.120",Yangon Region,Kamayut,Education
Myanmar Maritime University,"Thi La Wah St.,"," 05622170, 05622173, 05622175, 05622184",Yangon Region,Than Lyin,Education
Int'l Theravada Buddhish Missionary University,"Swel Taw Myat St.,Dhama Parla Kone,Ward (5)"," 01650712, 01650707, 01650702, 01650713, 01650715",Yangon Region,Mayangone,Education
Institute of Economic [Yangon],"No.(2) Main Rd.,Ywar Thar Gyi,Ywar Thar Gyi"," 01585065, 01585070~72, 01585064, 01585074, 01585075, 01585096",Yangon Region,South Dagon,Education
Co-operative University [Thanlyin],"Thama Kyaung St., Ah Hmu Htan Ward,"," 05623255, 05621734, 05621541",Yangon Region,Than Lyin,Education
Hlegu Education College,"Yangon-Bago Main Rd., Dayal Bo Village,"," 01629150, 01629079",Yangon Region,Hlegu,Education
Co-operative College [Phaung Gyi],"Phaung Gyi St., Min Gone Village,"," 01626274, 01626074",Yangon Region,Hlegu,Education
Civil Aviation Training Institute [CATI],"Airport Rd.,Kyan Khin Su Ward", 01533025~6,Yangon Region,Mingalardon,Education
Information Communication Technology Research Centre,"Parami Rd., Hlaing Compus, Padamyar Hostel, Ward (12),"," 01652542, 01652529",Yangon Region,Hlaing,Education
Myanmar Institute of Theology [MIT],"Yangon-Insein Rd.,Near Gyoh Gone Bus Stop,Gyoh Gone (East) Ward"," 01640168, 01643115",Yangon Region,Insein,Education
Thingangyun Education College,"U Ba Han St.,Near Than Lan,(Nga/Ka) Ward"," 018564562, 018564561, 018560234",Yangon Region,Thingangyun,Education
State Pariyatti Sasana University [Yangon],"Kaba Aye Pagoda Rd.,Kaba Aye Sasana University Entrance,Ward (7)"," 01662148, 01664395, 09400040334",Yangon Region,Mayangone,Education
Sitagu Int'l Missionary Centre,"10, Pin Lon Rd., Ward (33),"," 01581777, 01581582, 01581888",Yangon Region,North Dagon,Education
Nationalities Youth Resource Development Degree College,"Sittaung St., Corner of Ayeyar Wun Rd., Ward (61),"," 01591510, 01591527",Yangon Region,Dagon Seikkan,Education
University of Dagon,"Dagon University Compound,"," 01585171, 01585003~5, 01585007, 01585009~10, 01585013, 095092616, 09799637502",Yangon Region,East Dagon,Education
National Management Degree College,"273/279, Merchant Rd.,"," 01200639, 01292121, 01291910, 01292566",Yangon Region,Botahtaung,Education
Technological University [Hmawbi],"Pyay Rd., Hle Ngote Chaung Village Track,"," 01620072, 01620454",Yangon Region,Hmaw Bi,Education
Technological University [Than Lyin],"Than Lyin Thone Kwa Rd.,"," 05625058, 05625059, 05625060",Yangon Region,Than Lyin,Education
"University of Computer Studies, Yangon","No.(4) Main Rd.,Hlaw Gar Ward"," 01610622, 01610655, 01610633, 01610889",Yangon Region,Shwe Pyi Thar,Education
"University of Medicine [2], Yangon","Khay Mar Thi Rd.,Near Okkar Bus Stop,Sa Lein Ward"," 019699853~4, 019699589, 019690127~9, 09402739868",Yangon Region,North Okkalapa ,Education
National Universtiy of Arts & Culture [Yangon],"Aung Zeya St.,Ward (26)"," 01590252, 01590253, 01590263, 01590264, 01590250 (Rector)",Yangon Region,South Dagon,Education
University of Information Technology [UIT],"14/20, Than Lwin Rd., Shwe Taung Gyar Ward (2),"," 01537393, 01534315, 01537150",Yangon Region,Bahan,Education
University of Information Technology [UIT],"Parami Rd.,Hlaing University Campus,Infront of Tharaphi Hall,Ward (12)"," 01537393, 01534315, 01537150",Yangon Region,Hlaing,Education
"University of Foreign Languages [UFL], Yangon","119/131, University Avenue Rd., Ward (10),"," 01535985, 01513193, 01514372, 01513191, 01514371",Yangon Region,Kamayut,Education
University of Economic Yangon,"Inya Rd.,Ward (9)"," 01536761, 095004781",Yangon Region,Kamayut,Education
University of East Yangon [Tar Wa],"Kha Yan Thone Kwa St.,"," 05621780, 05621861~4",Yangon Region,Than Lyin,Education
"University of Dental Medicine, Yangon","582, Than Thu Mar Rd., (Nga/Ka) Ward,"," 01571273, 01571270, 01571767, 01571271",Yangon Region,Thingangyun,Education
"University of Medicine [1], Yangon",Lanmadaw St.," 01251032, 01251037, 01251136, 01251157, 01251596",Yangon Region,Lanmadaw,Education
University of Medical Technology,"Lower Mingalardon Rd., Sint Ngu Ward,"," 01645742~3, 01645763~4, 01645746, 01645753",Yangon Region,Insein,Education
"University of Medicine [1], Yangon","Pyay Rd.,Ward (9)"," 01526221, 01534071, 01534495, 01534605, 01534955",Yangon Region,Kamayut,Education
Yangon Buddha University,"Nat Sin St., Thar Du Monastery Compound, Thar Du (East) Ward,"," 0973016644, 09450028099",Yangon Region,Kyeemyin Daing,Education
Yangon University of Distance Education,"47/A, Inya Rd., Ward (9),"," 01537414, 01537411~12, 01535615, 01525138",Yangon Region,Kamayut,Education
Yangon Technological University [YTU],"Yangon-Insein Rd.,Gyoh Gone,Gyoh Gone (East) Ward"," 01642410, 019663269, 01642959",Yangon Region,Insein,Education
Yangon University of Education,"Tha Htone Rd.,Ward (10)", 01527075,Yangon Region,Kamayut,Education
University of Public Health,"246, Myoe Ma Kyaung Rd.,"," 01395210~1, 01395213~4, 01395207, 01395209",Yangon Region,Latha,Education
University of Yangon,"Ah-Di-Pa-Ti Rd.,Ward (9)"," 01534390, 01514908, 01536001, 01536503, 01527067, 01534098",Yangon Region,Kamayut,Education
West Yangon Technological University [WYTU],No.(5) Main Rd.," 01685255, 01685266, 01685277, 01710705",Yangon Region,Hlaing Thar Yar,Education
University of Nursing,"677/709, Bogyoke Aung San Rd.,"," 01222883~5, 01228426, 01228205, 01228405, 01222258",Yangon Region,Lanmadaw,Education
University of Pharmacy,"May Darwi Rd.,Wai Bar Gi Ward (8)"," 019699870, 019699877, 019690485~6, 019699897",Yangon Region,North Okkalapa ,Education
University of West Yangon,Yangon-Htan Ta Pin Rd.," 01613799, 01613801, 01613804, 01613844, 01613855",Yangon Region,Htan Ta Pin,Education
Yankin Education College,"Thitsar Rd.,Near Police Station,Ward (11)", 018566614~5,Yangon Region,Yankin,Education
Yangon University of Education,"Tha Htone Rd., Ward (10),"," 01503904, 01504771~2, 01513234, 01527075",Yangon Region,Kamayut,Education
Kyaw Tint [U] & Family,"118/A, 25th St., Upper Middle Block,"," 01373394, 01248051, 01382600 Ext.181, 095197168, 0973203153",Yangon Region,Pabedan,Accessories
Htet,"229, Kyauk Pahtoe St., Industrial Zone (3),"," 09420106998, 09250265431",Yangon Region,South Dagon,Home
"Myanmar Zhulian Direct Marketing Co.,Ltd.","17, Kaba Aye Pagoda Rd., Near Hnin Si Gone Boe Bwar Yeikthar, Shwe Taung Gyar Ward (2),"," 018603103, 018603186, 018603101",Yangon Region,Bahan,Service
CAG,"38/A, 3rd Flr, Moe Kaung Rd., Ward (13),", 09257070200,Yangon Region,Yankin,Service
United Nations Department of Safety & Security [UNDSS],"6, Nat Mauk Rd., Nat Mauk Ward,"," 01542910~19, 01554625",Yangon Region,Tarmwe,Organization
United Nations Children's Fund [UNICEF],"23/A, Inya Myaing St., Shwe Taung Gyar Ward (2),"," 012305960~9, 0933232706",Yangon Region,Bahan,Organization
United Nation Action for Corporation Againsc Trafficking in Person [UNACT],"5, Kan Baw Za Rd., Shwe Taung Gyar Ward (2),", 012305976~77,Yangon Region,Bahan,Organization
Myanmar Information Management Unit [MIMU],"5, 1st Flr, Kan Baw Za Rd., Shwe Taung Gyar Ward (2),", 012305663,Yangon Region,Bahan,Organization
Livelihoods & Food Security Trust Fund [LIFT],"12/O, Pyi Thu St., 7 Mile, Ward (6),"," 01657281~87 Ext.100/700/122, 01657702~03 Ext.100/700/122",Yangon Region,Mayangone,Organization
International Organization for Migration [IOM],"318/A, Ahlone Rd., Corner of Pyay Rd.,Pyay (West) Ward,"," 01210588 Ext.5000, 012301960~2, 0973236679~80",Yangon Region,Dagon,Organization
Food & Agriculture Organization [FAO],"Yangon-Insein Rd.,Seed Division Compound [MAS],Gyoh Gone (West) Ward", 01641672~3 Ext.10,Yangon Region,Insein,Organization
Joint United Nations Programme on HIV/AIDS [UNAIDS],"137/1, Than Lwin St., Ward (10),"," 01504832, 01534498, 01538087, 01538938, 01503816",Yangon Region,Kamayut,Organization
International Labour Organization [ILO],"1/A, Thitsar Rd., Ward (6),"," 01578925, 01579956, 012336538~9",Yangon Region,Yankin,Organization
United Nations Information Centre [UNIC],"6, Nat Mauk Rd., Nat Mauk Ward,"," 01542910~19, 01546933, 01546934",Yangon Region,Tarmwe,Organization
United Nations Human Settlements Programme [UN-Habitat],"8/C, Saw Maha St., Ngarr Htatt Gyee (West) Ward,", 01543685,Yangon Region,Bahan,Organization
United Nations Industrial Development Organization [UNIDO],"35/B/15, Rm 1/G, G Flr, New University Avenue Rd., Saya San Ward,", 095405282,Yangon Region,Bahan,Organization
United Nations High Commissioner For Refugees [UNHCR],"287, Pyay Rd., Kyun Taw (South) Ward,"," 01524022, 01524024~6, 012305522",Yangon Region,Sanchaung,Organization
United Nations Office for the Coordination of Humanitarian Affairs [UNOCHA],"5, Rm 210, 2nd Flr, Kan Baw Za Rd., Shwe Taung Gyar Ward (2),", 012305682~3,Yangon Region,Bahan,Organization
"United Nations Educational, Scientific & Cultural Organization [UNESCO]","6, Nat Mauk Rd., Nat Mauk Ward,", 01542910~19 Ext.110/109/130,Yangon Region,Tarmwe,Organization
United Nations High Commissioner For Refugees [Office of The Programme Manager] UNHCR/IND Project,"7, Myintzu St., Ward (8),"," 01657971, 01660294",Yangon Region,Yankin,Organization
United Nations Development Programme [UNDP],"6, Nat Mauk Rd., Nat Mauk Ward,", 01542910~19,Yangon Region,Tarmwe,Organization
United Nations Human Settlements Programme [UN-Habitat],"6, Nat Mauk Rd., Nat Mauk Ward,"," 01543685, 01542910~19",Yangon Region,Tarmwe,Organization
United Nations Office For Project Services [UNOPS],"12/O, Pyi Thu St., 7 Mile, Ward (6),"," 01657281~87 Ext.100/700/122, 01657702~03 Ext.100/700/122",Yangon Region,Mayangone,Organization
World Health Organization [WHO],"2, Pyay Rd., Corner of Parami Rd., 7 Mile, Ward (7),"," 01650405~6, 01650416",Yangon Region,Mayangone,Organization
United Nations Population Fund [UNFPA],"6, Nat Mauk Rd., Nat Mauk Ward,"," 01542910~19, 01546309 [Direct]",Yangon Region,Tarmwe,Organization
United Nations Office on Drugs & Crime [UNODC],"11/A, Malikha St., Ward (7),"," 019660398, 019660538, 019660556, 019666903, 019664539",Yangon Region,Mayangone,Organization
World Food Programme [WFP],"5, Kan Baw Za Rd., Shwe Taung Gyar Ward (2),", 012305971~6,Yangon Region,Bahan,Organization
United Nations Office of the Resident Coordinator/Humanitarian [UNRC],"6, Nat Mauk Rd., Nat Mauk Ward,"," 01542910~19, 01292637",Yangon Region,Tarmwe,Organization
Titan Gym,"10, 2nd Flr, Banyar Dala Rd., Tha Pyay Gone Ward,"," 09254215507, 09450228415",Yangon Region,Mingalar Taung Nyunt,Sport & Wellness
Talent of Meditation & Yoga Training Centre,"16, 4th Flr, Latha St., Lower Block,"," 0973037157, 09979007741, 09780770584",Yangon Region,Latha,Sport & Wellness
My Health,"44, Oakkar St., Corner of Oakkar 2nd St.,Ga Nge Ward,"," 09961255242, 09793161518",Yangon Region,North Okkalapa ,Sport & Wellness
Kyann Mar Hla Pa [Thiri Yaw Ga],"1235, Thitsar Rd., Ward (6),"," 09402516934, 09254000600",Yangon Region,South Okkalapa ,Sport & Wellness
Yoga,"281/A/B, 6th Flr, Shwe Gon Daing Rd., Shwe Gon Daing (Mid) Ward,"," 0949296470, 095134787",Yangon Region,Bahan,Sport & Wellness
Mother & Child Club,"Bldg 4/2, Rm 2, Yan Shin St., Shwe Ohn Pin Housing, Ward (3),", 09263003007,Yangon Region,Yankin,Sport & Wellness
Princess Yoger,"312, 2nd Flr, Shwe Gon Daing Rd., Shwe Gon Daing (East) Ward,"," 09261929162, 09974492814",Yangon Region,Bahan,Sport & Wellness
Fitness Wharf.Com,"G Flr, Pyay Rd., 9 Mile, Ward (4),", 09420280430,Yangon Region,Mayangone,Sport & Wellness
Healthy Paradise,"468, 1st Flr, Lower Kyee Myin Daing Rd., Corner of U Lu Mg St., Kayin Ah Myoe Thar Ward,"," 09799635549, 09250512958",Yangon Region,Kyeemyin Daing,Sport & Wellness
Hanbit Nano Medical,"311, Thu Mingalar Rd., Ward (4),", 09794725024,Yangon Region,South Okkalapa ,Sport & Wellness
Jenny Yoga,"E/32, May Kha St., May Kha Housing,"," 09784614588 [Hot Line], 09421025389, 09420016773, 0931395699, 09972805175, 0978461588",Yangon Region,Thingangyun,Sport & Wellness
Hmwe [Ma],"B Shed, Rm 372, Thein Gyi Market,"," 09453345052, 09265524214",Yangon Region,Pabedan,Equipment & Supplies
Bo Shwe Ou [U],"3 Shed, Rm 229, New Bogyoke Aung San Market,"," 095125929, 0936138120, 01242009 Ext.537",Yangon Region,Pabedan,Equipment & Supplies
"C.W.M.M Co.,Ltd.","Bldg 7, Rm 004, Sabei St., Yuzana Mingalar City Housing,"," 01296574, 01203133, 01203101",Yangon Region,Mingalar Taung Nyunt,Equipment & Supplies
"CWMM Co.,Ltd.","Bldg 22, Rm 002, Aung Thapyay St., Yuzana Mingalar City Housing,"," 01205185, 01296574, 01205085, 01203403",Yangon Region,Mingalar Taung Nyunt,Equipment & Supplies
Akarit,"17/B, Gandamar St., Mont Let Saung Gone (South) Ward,"," 09450056227, 09253817602, 09252580963",Yangon Region,Sanchaung,Equipment & Supplies
Family,"East A Shed, Rm 32, Bogyoke Aung San Market,"," 0931278241, 09262601862",Yangon Region,Pabedan,Equipment & Supplies
Arkar Moe,"48, 100 Houses 3rd St., Pa-La-Ya Ward,", 09420098649,Yangon Region,Mingalardon,Apparel
Zarni,"3, Oak Pon Seik St., Near Lan Wa Bus Stop, Ward (8),"," 095092687, 09421022034",Yangon Region,Mayangone,Equipment & Supplies
International Committee of The Red Cross [ICRC],"2/C/5, Kaba Aye Pagoda Rd., 8 Mile Junction, Ward (7),"," 01650605, 01662613, 01663330, 01664524, 01650136",Yangon Region,Mayangone,Health & Medicine
International Committee of The Red Cross [ICRC],"2/C/5, Kaba Aye Pagoda Rd., 8 Mile Junction, Ward (7),"," 01650605, 01662613, 01663330, 01664524, 01650136",Yangon Region,Mayangone,Health & Medicine
"Kormar Trading Co.,Ltd.","Bldg B, Rm 5/E, 5th Flr, Alanpya Pagoda Rd., Asia Pacific Condo, Hpa-Sa-Pa-La Ward,"," 09261779992, 09261779993",Yangon Region,Mingalar Taung Nyunt,Equipment & Supplies
"Ultra Klean Co.,Ltd.","42, 1st Flr, Baho Rd., Than Tadar Ward,"," 098626870, 0933184549, 09972382336",Yangon Region,Sanchaung,Equipment & Supplies
U Lay Gyi [Shwe Ohoe Wai],"32, Banyar Dala Rd., Byine Ywar Ma Ward,"," 01546818, 095071520, 09250499205, 095171403",Yangon Region,Tarmwe,Apparel
Sin Min,"25, Yangon-Insein Rd., Corner of Butar Yon St.,Ward (9),"," 01521136, 09402604967",Yangon Region,Hlaing,Apparel
Khaing Mar Mar,"694, 2nd Flr, Maha Bandoola Rd.,"," 09421071343, 0973050175",Yangon Region,Latha,Apparel
Mar Tar,"Rm 55, 1st Flr, Shwe Mingalar Market,", 095170961,Yangon Region,Mingalar Taung Nyunt,Apparel
Lin Latt,"Rm 121, G Flr, Shwe Mingalar Market, Entrance (1),"," 095167583, 095404270",Yangon Region,Mingalar Taung Nyunt,Apparel
U Lay Gyi,"Bldg C, Rm 004, G Flr, Shwe Gon Daing Rd., Delta Plaza,"," 095071520, 09250499205",Yangon Region,Bahan,Apparel
Shwe Lab Kaung,"D Shed, Rm B/80/81, G Flr, Thein Gyi Market,"," 0973144100, 09795354754",Yangon Region,Latha,Apparel
Hla Sann Tin,"Bldg B/2, Rm 011, Banyar Dala Rd., Yuzana Mingalar City Housing,"," 095504125, 095168477, 0973140918, 09450055233, 01542295",Yangon Region,Tarmwe,Apparel
La Pyae Wun,"44, 1st Flr, Hledan Rd., Ward (3),", 09420714159,Yangon Region,Kamayut,Apparel
Latt Yar Mon,"667, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 0949321856, 09402551906, 012315638",Yangon Region,Kyeemyin Daing,Home
Htet Nay Lin,"647/631/A, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 01229698, 095054153, 09777391390, 09799547644",Yangon Region,Kyeemyin Daing,Home
Aung Mingalar,"623, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 01216804, 0943170582",Yangon Region,Kyeemyin Daing,Home
Ba Yi [Ko] + Yi [Ma],"661/A, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 01229743, 09254004488, 095147052, 095178560, 0949583551",Yangon Region,Kyeemyin Daing,Home
Aung Pyae Sone,"655, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 012315313, 01225342, 09254209254, 095115385, 09260146140, 09799861275, 095072836",Yangon Region,Kyeemyin Daing,Home
Aung Myin,"657/A, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 095168613, 095023357, 09254043915, 0973003627",Yangon Region,Kyeemyin Daing,Home
"Kyi Maung [U], Hla Hla [Daw]","625/A, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 012316706, 095181556",Yangon Region,Kyeemyin Daing,Home
Shwe Yaung Chi,"647/B, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 095171385, 095030126",Yangon Region,Kyeemyin Daing,Home
Shwe Pyi [Than Tun [U]  + Htay Htay [Daw]],"615/B, Lower Kyee Myin Daing Rd., Corner of Taw Win St.,Pade Tan, Bawga Ward,"," 095150012, 0973219445, 09423707746, 01229248",Yangon Region,Kyeemyin Daing,Home
Pyi Lone Chan Thar,"659, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 01212319, 0973046039, 09795975189",Yangon Region,Kyeemyin Daing,Home
Phone Pyae Shan,"649, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 095186389, 0973003917, 09250356007",Yangon Region,Kyeemyin Daing,Home
Shwe Tharaphu,"625/B, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 012301142, 0973121792",Yangon Region,Kyeemyin Daing,Home
Paukkan,"669, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 09423722805, 09250671890, 09261971187, 0930232637, 09795072071",Yangon Region,Kyeemyin Daing,Home
Shwe Lamin,"104, Taw Win St., Corner of Lower Kyee Myin Daing Rd.,Bawga Ward,"," 0973003687, 0943030231, 09254004494",Yangon Region,Kyeemyin Daing,Home
Ngwe Setkyar,"617/A, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 0973078474, 095065707, 092001524, 01211337 [Res]",Yangon Region,Kyeemyin Daing,Home
Nyunt [U] & Sons,"619/B, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 01225368, 09450002953, 095130801",Yangon Region,Kyeemyin Daing,Home
Nan Hteik Lin,"631, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 095197406, 09450014756",Yangon Region,Kyeemyin Daing,Home
Toe Yi [Ko] + Nu Nu [Ma],"651/B, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 01220358, 095134661, 095030126",Yangon Region,Kyeemyin Daing,Home
Yadanar Pon,"635/633, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 01229713, 09420125131, 095192186",Yangon Region,Kyeemyin Daing,Home
Shwe Zee Kwat,"661/B, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 0973037002, 095118193, 0973175718",Yangon Region,Kyeemyin Daing,Home
Soe Oo [Ko] + Ni Ni Myint [Ma],"655, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 095085205, 0973181523, 0973239702",Yangon Region,Kyeemyin Daing,Home
Zabu Tun,"615/A, Lower Kyee Myin Daing Rd., Corner of Taw Win St.,Pade Tan, Bawga Ward,"," 01228872, 0943114476, 0931851558",Yangon Region,Kyeemyin Daing,Home
Thit Sann,"619/A, Lower Kyee Myin Daing Rd., Pade Tan, Bawga Ward,"," 0973146046, 0931851559, 09254253253",Yangon Region,Kyeemyin Daing,Home
